,https://roic.ai/company/CAE,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,1027300000,657600000,809800000,867300000,922400000,1070100000,1164300000,1191400000,1126499363,1130499486,1093200420,453000000,1107199907,1250699954,1423600453,1662200000,1526300000,1629000000,1821000000,2104500000,2114900000,2246300000,2512600000,2704500000,2830000000,3304100000,3623200000,2981900000
2,COGS,- -,- -,815000000,495500000,603500000,645200000,687400000,797200000,989100000,963300000,884200127,908899662,971600210,583000000,972300327,1053199954,1172099578,1358600000,1262200000,1370700000,1221000000,1482800000,1518000000,1642600000,1816700000,1893300000,1953100000,2362600000,2539600000,2216900000
3,Gross Profit,- -,- -,212300000,162100000,206300000,222100000,235000000,272900000,175200000,228100000,242299236,221599824,121600210,-130000000,134899580,197500000,251500875,303600000,264100000,258300000,600000000,621700000,596900000,603700000,695900000,811200000,876900000,941500000,1083600000,765000000
4,Gross Profit Ratio,- -,- -,0.2067,0.2465,0.2548,0.2561,0.2548,0.2550,0.1505,0.1915,0.2151,0.1960,0.1112,-0.2870,0.1218,0.1579,0.1767,0.1826,0.1730,0.1586,0.3295,0.2954,0.2822,0.2688,0.2770,0.2999,0.3099,0.2849,0.2991,0.2565
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000000,- -,- -,- -,- -,- -,- -,62000000,60600000,68400000,64100000,87600000,111000000,114900000,101400000,137500000,104700000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105000000,- -,- -,- -,- -,- -,- -,256000000,269900000,287100000,264600000,311500000,364400000,380800000,415200000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105000000,- -,- -,- -,- -,- -,- -,256000000,269900000,287100000,264600000,311500000,364400000,380800000,415200000,- -,- -
9,Other Expenses,- -,- -,148500000,99400000,123100000,136500000,135700000,152000000,33700000,29700000,- -,- -,- -,- -,4000467,- -,1029,- -,- -,- -,- -,-2600000,-12900000,-4100000,-22700000,-5900000,1300000,7400000,447600000,404300000
10,Operating Expenses,- -,- -,148500000,99400000,123100000,136500000,135700000,152000000,33700000,29700000,- -,- -,- -,205000000,4000467,- -,1029,- -,- -,- -,318000000,327900000,342600000,324600000,376400000,469500000,497000000,524000000,585100000,509000000
11,COGS and Expenses,- -,- -,963500000,594900000,726600000,781700000,823100000,949200000,1022800000,993000000,884200127,908899662,971600210,788000000,976300794,1053199954,1172100607,1358600000,1262200000,1370700000,1539000000,1810700000,1860600000,1967200000,2193100000,2362800000,2450100000,2886600000,3124700000,2725900000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,1300000,- -,- -,2500000,1600000,2000000,7900000,8200000,9900000,8500000,8300000,10600000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33000000,- -,- -,- -,24200000,27300000,30700000,- -,58300000,58900000,61100000,62600000,61000000,58800000,65700000,124800000,118700000
14,Depreciation and Amortization,- -,- -,43200000,16600000,22700000,28300000,29900000,35000000,33700000,29700000,43100701,70599383,75400052,- -,77600420,71600554,78299558,91000000,93200000,96900000,92000000,157300000,167100000,189100000,217800000,211900000,199600000,217200000,305400000,319500000
15,EBITDA,- -,- -,-340900000,47200000,103200000,109800000,126400000,142400000,173000000,205600000,264000956,247999118,160000000,- -,161600887,248701569,191199466,397500000,324500000,356200000,331000000,390100000,446000000,509800000,530500000,559600000,634500000,672500000,815400000,351300000
16,EBITDA ratio,- -,- -,-0.3318,0.0718,0.1274,0.1266,0.1370,0.1331,0.1486,0.1726,0.2344,0.2194,0.1464,- -,0.1460,0.1988,0.1343,0.2391,0.2126,0.2187,0.1818,0.1854,0.2109,0.2270,0.2111,0.2069,0.2242,0.2035,0.2250,0.1178
17,Operating Income,- -,- -,63800000,62700000,83200000,85600000,99300000,120900000,141500000,198400000,242299235,221599824,111600210,- -,134899580,197500000,251499846,303600000,230000000,259300000,239000000,245700000,291800000,332800000,335500000,364700000,461000000,480600000,537100000,48400000
18,Operating Income ratio,- -,- -,0.0621,0.0953,0.1027,0.0987,0.1077,0.1130,0.1215,0.1665,0.2151,0.1960,0.1021,- -,0.1218,0.1579,0.1767,0.1826,0.1507,0.1592,0.1312,0.1167,0.1380,0.1482,0.1335,0.1348,0.1629,0.1455,0.1482,0.0162
19,Total Other Income Expenses (Gains),- -,- -,-447900000,-400000,-2700000,-4100000,-2800000,-13500000,-10000000,4100000,-22699171,-30399589,-23900840,- -,-44899580,-18700415,-17500257,-20200000,-26000000,-30700000,- -,-68200000,-70700000,-70900000,-75200000,-72400000,-76200000,-80900000,-144400000,-135600000
20,Income Before Tax,- -,- -,-384100000,62300000,80500000,81500000,96500000,107400000,131500000,202500000,219600064,191200235,87699370,- -,90000000,178799585,233999589,283400000,204000000,228600000,239000000,177500000,221100000,261900000,260300000,292300000,384800000,399700000,392700000,-87200000
21,Income Before Tax Ratio,- -,- -,-0.3739,0.0947,0.0994,0.0940,0.1046,0.1004,0.1129,0.1700,0.1949,0.1691,0.0802,- -,0.0813,0.1430,0.1644,0.1705,0.1337,0.1403,0.1312,0.0843,0.1045,0.1166,0.1036,0.1081,0.1360,0.1210,0.1084,-0.0292
22,Income Tax expense (Gain),- -,- -,10900000,15000000,21900000,21200000,26300000,30100000,40800000,67800000,70299554,60199794,20599423,- -,19099720,49700185,69199671,82900000,59500000,58800000,57000000,35100000,30000000,57800000,20400000,35200000,29100000,59600000,73800000,-39700000
23,Net Income,- -,- -,-395000000,15600000,58600000,60300000,70200000,77300000,98500000,108100000,150600701,117199941,64000525,- -,64900747,127400830,43700237,199400000,144500000,169800000,182000000,139400000,190000000,201800000,229700000,251500000,347000000,330000000,311400000,-47200000
24,Net Income ratio,- -,- -,-0.3845,0.0237,0.0724,0.0695,0.0761,0.0722,0.0846,0.0907,0.1337,0.1037,0.0585,- -,0.0586,0.1019,0.0307,0.1200,0.0947,0.1042,0.0999,0.0662,0.0898,0.0898,0.0914,0.0930,0.1226,0.0999,0.0859,-0.0158
25,EPS,- -,- -,-1.82,0.07,0.27,0.28,0.32,0.35,0.46,0.50,0.69,0.53,0.27,- -,0.26,0.51,0.60,0.78,0.56,0.66,0.70,0.54,0.73,0.76,0.85,0.94,1.29,1.24,1.17,-0.17
26,EPS Diluted,- -,- -,-1.82,0.07,0.27,0.28,0.32,0.35,0.46,0.37,0.69,0.53,0.27,- -,0.26,0.50,0.60,0.78,0.56,0.66,0.70,0.54,0.73,0.76,0.85,0.93,1.29,1.23,1.16,-0.17
27,Weighted Average Shares Outstanding,- -,- -,217032967,222857143,217037037,215357143,219375000,220857143,214130435,215600000,217600000,219400000,233200000,247900000,249800000,251100000,253400000,254800000,255800000,256700000,260000000,258982945,261312832,265526316,268804733,268693589,268235077,266580019,265951131,277647059
