,https://roic.ai/company/ARKO,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,4064883000,4128690000,3910715000,7417398000
2,COGS,3923682000,3991918000,3652353000,7049919000
3,Gross Profit,141201000,136772000,258362000,367479000
4,Gross Profit Ratio,0.0347,0.0331,0.0661,0.0495
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,62017000,69311000,94424000,124667000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",62017000,69311000,94424000,124667000
9,Other Expenses,43271000,66137000,83624000,100730000
10,Operating Expenses,105288000,135448000,178048000,225397000
11,COGS and Expenses,4028970000,4127366000,3830401000,7275316000
12,Interest Income ,10020000,1451000,1245000,3005000
13,Interest Expense (Gain),29951000,43263000,51673000,74212000
14,Depreciation and Amortization,53814000,62404000,74396000,97194000
15,EBITDA,86798000,68295000,137757000,242238000
16,EBITDA ratio,0.0214,0.0165,0.0352,0.0327
17,Operating Income,35913000,1324000,80314000,142082000
18,Operating Income ratio,0.0088,0.0003,0.0205,0.0192
19,Total Other Income Expenses (Gains),-19931000,-41812000,-50428000,-71207000
20,Income Before Tax,15982000,-40488000,29886000,70875000
21,Income Before Tax Ratio,0.0039,-0.0098,0.0076,0.0096
22,Income Tax expense (Gain),-7933000,6167000,-1499000,11634000
23,Net Income,10966000,-43539000,13187000,59198000
24,Net Income ratio,0.0027,-0.0105,0.0034,0.0080
25,EPS,0.16,-0.63,0.14,0.83
26,EPS Diluted,0.16,-0.63,0.14,0.83
27,Weighted Average Shares Outstanding,69221000,69221000,71074000,71074000
28,Weighted Average Shares Outstanding Diluted,69221000,69221000,71074000,71074000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1823794/000156459021015259/0001564590-21-015259-index.htm,https://www.sec.gov/Archives/edgar/data/1823794/000095017022002099/0000950170-22-002099-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,32117000,293666000,252141000
32,Short-Term Investments,- -,- -,- -,58807000
33,Cash and Short-Term Investments,- -,32117000,293666000,310948000
34,Net Receivables,- -,59845000,92864000,118303000
35,Inventory,- -,157752000,163686000,197836000
36,Other Current Assets,- -,40397000,59190000,56536000
37,Total Current Assets,- -,290111000,609406000,683623000
38,PP&E,- -,1340794000,1651391000,1806329000
39,Goodwill,- -,133952000,173937000,197648000
40,Intangible Assets,- -,24971000,218132000,185993000
41,Intangible Assets,- -,158923000,392069000,383641000
42,Investments,- -,3770000,2715000,2998000
43,Tax Assets,- -,- -,40655000,41047000
44,Other Non-Current Assets,- -,53767000,43573000,24637000
45,Total Non-Current Assets,- -,1557254000,2130403000,2258652000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,- -,1847365000,2739809000,2942275000
48,Accounts Payable,- -,128828000,155714000,172918000
49,Short-Term Debt,- -,144134000,97700000,98028000
50,Tax Payable,- -,21764000,33338000,31381000
51,Deferred Revenue,- -,9294000,11328000,11654000
52,Other Current Liabilities,- -,58225000,122309000,125834000
53,Total Current Liabilities,- -,340481000,387051000,408434000
54,Long-Term Debt,- -,1237708000,1908937000,1982745000
55,Deferred Revenue,- -,22049000,22806000,23872000
56,Deferred Tax Liabilities,- -,1041000,2816000,2546000
57,Other Non-Current Liabilities,- -,51196000,100324000,171002000
58,Total Non-Current Liabilities,- -,1311994000,2034883000,2180165000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,1061207000,1256847000,1363764000
61,Total Liabilities,- -,1652475000,2421934000,2588599000
62,Preferred Stock,- -,- -,100000000,100000000
63,Common Stock,- -,6000,12000,12000
