,https://roic.ai/company/FGPRB,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,24566000,596400000,653600000,804300000,667400000,624100000,952199000,1468670000,1034796000,1221639000,1379381000,1754114000,1895470000,1992440000,2290689000,2069522000,2099060000,2423215000,2339092000,1975467000,2405860000,2024390000,2039367000,1930277000,2073142000,1684392000,1497826000,1754310000
2,COGS,13211000,339600000,356300000,470100000,342600000,273400000,524155000,930117000,533437000,690969000,825845000,1140298000,1231627000,1304392000,1628396000,1760956000,1775186000,2144852000,1697209000,1320061000,1698742000,1323090000,1312417000,1294212000,1399422000,992768000,686056000,894664000
3,Gross Profit,11355000,256800000,297300000,334200000,324800000,350700000,428044000,538553000,501359000,530670000,553536000,613816000,663843000,688048000,662293000,308566000,323874000,278363000,641883000,655406000,707118000,701300000,726950000,636065000,673720000,691624000,811770000,859646000
4,Gross Profit Ratio,0.4622,0.4306,0.4549,0.4155,0.4867,0.5619,0.4495,0.3667,0.4845,0.4344,0.4013,0.3499,0.3502,0.3453,0.2891,0.1491,0.1543,0.1149,0.2744,0.3318,0.2939,0.3464,0.3565,0.3295,0.3250,0.4106,0.5420,0.4900
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66543000,74535000,86483000,469027000,87333000,109990000,126224000,113063000,93829000,96532000,98760000,81640000,90342000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66543000,74535000,86483000,469027000,87333000,109990000,126224000,113063000,93829000,96532000,98760000,81640000,90342000
9,Other Expenses,13746000,200900000,234800000,265300000,271600000,288500000,367576000,411862000,382444000,400870000,452003000,538028000,552621000,561280000,551352000,82494000,82491000,86119000,83841000,410050000,446228000,437457000,459178000,432412000,471748000,468868000,573536000,551198000
