,https://roic.ai/company/TMGI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,146407,105402,105402,- -,1740,4983,4616,4252,5745,5269,552,60
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,146407,105402,105402,- -,1740,4983,4616,4252,5745,5269,- -,- -
4,Gross Profit Ratio,1.0000,1.0000,1.0000,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,148389,175689,11551947,- -,589133,298079,481550,668639,487016,670078,641090,471274
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",148389,175689,11551947,- -,589133,298079,481550,668639,487016,670078,641090,471274
9,Other Expenses,- -,57640,-25000,- -,- -,- -,243000,- -,- -,- -,- -,- -
10,Operating Expenses,148389,233329,11526947,- -,589133,298079,724550,668639,487016,670078,641090,471274
11,COGS and Expenses,148389,233329,27649,- -,589133,298079,724550,668639,487016,670078,641090,471274
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,921,- -,56370,105376,365181,463699,416847,648288,792400,989135
14,Depreciation and Amortization,- -,- -,822,- -,- -,72712,222197,403610,7374,3305,3564,3096
15,EBITDA,-1982,-247927,-246184,- -,-587393,-189949,-642785,-429084,-201443,-2998853,-148849,-1832494
16,EBITDA ratio,-0.0135,-2.3522,-2.3357,- -,-337.5822,-38.1194,-139.2515,-100.9135,-35.0641,-569.1503,-269.6540,-30541.5667
17,Operating Income,-1982,-247927,-11526947,- -,-587393,-293096,-719934,-664387,-481271,-664809,-640538,-471214
18,Operating Income ratio,-0.0135,-2.3522,-109.3617,- -,-337.5822,-58.8192,-155.9649,-156.2528,-83.7721,-126.1737,-1160.3949,-7853.5667
19,Total Other Income Expenses (Gains),- -,- -,11279020,- -,-56370,-74941,-510229,-632006,-144393,-2985637,-304275,-2353511
20,Income Before Tax,-1982,-247927,-247927,- -,-643763,-368037,-1230163,-1296393,-625664,-3650446,-944813,-2824725
21,Income Before Tax Ratio,-0.0135,-2.3522,-2.3522,- -,-369.9787,-73.8585,-266.4998,-304.8902,-108.9058,-692.8157,-1711.6178,-47078.7500
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1982,-247927,-247927,- -,-643763,-368037,-1230163,-1296393,-625664,-3650446,-944813,-2824725
24,Net Income ratio,-0.0135,-2.3522,-2.3522,- -,-369.9787,-73.8585,-266.4998,-304.8902,-108.9058,-692.8157,-1711.6178,-47078.7500
25,EPS,-165.17,-20660.58,-960655.67,- -,-14305.84,-7077.63,-15976.14,-861.39,-340.80,-30.09,-0.01,-0.00
26,EPS Diluted,-165.17,-20660.58,-960655.67,- -,-14305.84,-7077.63,-15976.14,-861.39,-340.80,-30.09,-0.01,-0.00
