,https://roic.ai/company/GVP,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,85300000,96000000,79700000,73800000,66699000,55715000,50331000,43116000,25019000,29514000,21950000,27502000,31900000,29004000,40060000,47213000,51126000,52246000,47562000,37930000,56803000,53101000,70880000,92249000,82975000,57620000,55183000
2,COGS,56900000,63000000,57200000,48100000,39828000,38635000,36381000,31801000,19175000,22715000,18603000,19602000,22217000,21187000,29736000,36081000,34781000,34509000,34981000,26551000,42406000,37857000,52336000,69119000,62677000,42835000,43325000
3,Gross Profit,28400000,33000000,22500000,25700000,26871000,17080000,13950000,11315000,5844000,6799000,3347000,7900000,9683000,7817000,10324000,11132000,16345000,17737000,12581000,11379000,14397000,15244000,18544000,23130000,20298000,14785000,11858000
4,Gross Profit Ratio,0.3329,0.3438,0.2823,0.3482,0.4029,0.3066,0.2772,0.2624,0.2336,0.2304,0.1525,0.2873,0.3035,0.2695,0.2577,0.2358,0.3197,0.3395,0.2645,0.3000,0.2535,0.2871,0.2616,0.2507,0.2446,0.2566,0.2149
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1380000,1391000,899000,710000,686000,626000
6,General and Administrative Exp.,- -,24100000,27300000,20300000,22646000,17853000,10857000,12303000,6443000,6517000,7643000,5614000,7214000,- -,- -,- -,- -,- -,- -,17570000,14217000,11334000,13997000,16309000,16169000,14734000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",19700000,24100000,27300000,20300000,22646000,17853000,10857000,12303000,6443000,6517000,7643000,5614000,7214000,7383000,7749000,11683000,12672000,14865000,15836000,17570000,14217000,11334000,13997000,16309000,16169000,14734000,14908000
9,Other Expenses,2600000,2700000,3500000,3500000,3481000,3882000,1375000,540000,392000,280000,431000,186000,258000,446000,2012000,681000,1445000,875000,777000,738000,987000,672000,1585000,2993000,2763000,3201000,2298000
10,Operating Expenses,22300000,26800000,30800000,23800000,26127000,21735000,12232000,12843000,6835000,6797000,8074000,5800000,7472000,7829000,9761000,12364000,14117000,15740000,16613000,18308000,15204000,13386000,16973000,20201000,19642000,18621000,17832000
11,COGS and Expenses,79200000,89800000,88000000,71900000,65955000,60370000,48613000,44644000,26010000,29512000,26677000,25402000,29689000,29016000,39497000,48445000,48898000,50249000,51594000,44859000,57610000,51243000,69309000,89320000,82319000,61456000,61157000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000,- -,- -,- -,162000,105000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1000000,400000,- -,400000,- -,687000,886000,277000,504000,176000,416000,764000,433000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,988000,623000,159000
