,https://roic.ai/company/TVE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,10382000000,11255000000,10874000000,11841000000,11220000000,10956000000,11137000000,11003000000,10616000000,10739000000,11233000000,11318000000,10249000000,10503000000
2,COGS,4159000000,4705000000,3140000000,2800000000,2509000000,2652000000,2555000000,2444000000,2126000000,2169000000,2049000000,1896000000,1584000000,1737000000
3,Gross Profit,6223000000,6550000000,7734000000,9041000000,8711000000,8304000000,8582000000,8559000000,8490000000,8570000000,9184000000,9422000000,8665000000,8766000000
4,Gross Profit Ratio,0.5994,0.5820,0.7112,0.7635,0.7764,0.7579,0.7706,0.7779,0.7997,0.7980,0.8176,0.8325,0.8454,0.8346
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,8198000000,9282000000,8632000000,10404000000,9920000000,9503000000,9548000000,8788000000,8290000000,8764000000,8921000000,8507000000,7538000000,5921000000
10,Operating Expenses,8198000000,9282000000,8632000000,10404000000,9920000000,9503000000,9548000000,8788000000,8290000000,8764000000,8921000000,8507000000,7538000000,5921000000
11,COGS and Expenses,12357000000,13987000000,11772000000,10404000000,9920000000,9503000000,9548000000,8788000000,8290000000,8764000000,8921000000,8507000000,9122000000,7658000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-1376000000,-1272000000,-1294000000,1305000000,1273000000,1226000000,1169000000,1133000000,1136000000,1346000000,1243000000,1198000000,-1142000000,1088000000
14,Depreciation and Amortization,1244000000,1618000000,1743000000,2059000000,2211000000,1991000000,2167000000,2354000000,2169000000,2104000000,2936000000,2633000000,1848000000,1555000000
15,EBITDA,685000000,1072000000,1421000000,3526000000,3544000000,3488000000,3805000000,4598000000,4538000000,4135000000,5298000000,5248000000,2058000000,4155000000
16,EBITDA ratio,0.0660,0.0952,0.1307,0.2978,0.3159,0.3184,0.3417,0.4179,0.4275,0.3850,0.4716,0.4637,0.2008,0.3956
17,Operating Income,2184000000,1973000000,2242000000,1437000000,1300000000,1453000000,1589000000,2215000000,2326000000,1975000000,2312000000,2811000000,2711000000,2845000000
18,Operating Income ratio,0.2104,0.1753,0.2062,0.1214,0.1159,0.1326,0.1427,0.2013,0.2191,0.1839,0.2058,0.2484,0.2645,0.2709
19,Total Other Income Expenses (Gains),-1367000000,-1247000000,-1270000000,-1275000000,-1240000000,-1182000000,-1120000000,-1104000000,-1093000000,-1290000000,-1193000000,-1394000000,-1359000000,-1333000000
20,Income Before Tax,817000000,726000000,972000000,162000000,60000000,271000000,469000000,1111000000,1233000000,685000000,1119000000,1417000000,1352000000,1512000000
21,Income Before Tax Ratio,0.0787,0.0645,0.0894,0.0137,0.0053,0.0247,0.0421,0.1010,0.1161,0.0638,0.0996,0.1252,0.1319,0.1440
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,817000000,726000000,972000000,162000000,60000000,271000000,469000000,1111000000,1233000000,685000000,1119000000,1417000000,1352000000,1512000000
24,Net Income ratio,0.0787,0.0645,0.0894,0.0137,0.0053,0.0247,0.0421,0.1010,0.1161,0.0638,0.0996,0.1252,0.1319,0.1440
25,EPS,1556.19,1382.86,1851.43,308.57,114.29,516.19,893.33,2116.19,2348.57,1304.76,2131.43,2699.05,2575.24,2880.00
26,EPS Diluted,1556.19,1382.86,1851.43,308.57,114.29,516.19,893.33,2116.19,2348.57,1304.76,2131.43,2699.05,2575.24,2880.00
27,Weighted Average Shares Outstanding,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000
28,Weighted Average Shares Outstanding Diluted,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000,525000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1376986/000137698608000067/0001376986-08-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698609000113/0001376986-09-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698610000089/0001376986-10-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698611000074/0001376986-11-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698612000043/0001376986-12-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698613000056/0001376986-13-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698614000041/0001376986-14-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698615000047/0001376986-15-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698616000080/0001376986-16-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698617000031/0001376986-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698618000046/0001376986-18-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698619000037/0001376986-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698620000030/0001376986-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698621000028/0001376986-21-000028-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,213000000,201000000,328000000,507000000,868000000,1602000000,500000000,300000000,300000000,300000000,299000000,299000000,500000000,499000000
32,Short-Term Investments,106000000,983000000,1128000000,554000000,785000000,151000000,162000000,166000000,196000000,226000000,220000000,464000000,3198000000,- -
33,Cash and Short-Term Investments,319000000,1184000000,1456000000,1061000000,1653000000,1753000000,662000000,466000000,496000000,526000000,519000000,763000000,3698000000,499000000
34,Net Receivables,1405000000,1303000000,1639000000,1739000000,1666000000,1567000000,1676000000,1600000000,1747000000,1569000000,1657000000,1739000000,1529000000,1566000000
35,Inventory,779000000,961000000,1012000000,1028000000,1097000000,1091000000,1056000000,1031000000,993000000,1065000000,961000000,999000000,1003000000,950000000
36,Other Current Assets,- -,-983000000,-259000000,215000000,90000000,495000000,394000000,409000000,408000000,286000000,293000000,-223000000,-2984000000,483000000
37,Total Current Assets,2503000000,2465000000,3848000000,4043000000,4506000000,4906000000,3788000000,3506000000,3644000000,3446000000,3430000000,3278000000,3246000000,3498000000
38,PP&E,25779000000,26761000000,27830000000,29305000000,29727000000,29923000000,30350000000,32407000000,34043000000,34947000000,35414000000,35133000000,35811000000,36629000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,1168000000,- -,- -,- -,2011000000,2257000000,2603000000,2862000000,2968000000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,11877000000,13101000000,11277000000,11458000000,10901000000,10550000000,9021000000,6961000000,9088000000,13768000000,12329000000
45,Total Non-Current Assets,25779000000,26761000000,27830000000,42350000000,42828000000,41200000000,41808000000,45319000000,46850000000,46571000000,45237000000,47189000000,49579000000,48958000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,28282000000,29226000000,31678000000,46393000000,47334000000,46106000000,45596000000,48825000000,50494000000,50017000000,48667000000,50467000000,52825000000,52456000000
48,Accounts Payable,1333000000,2108000000,1698000000,1840000000,1922000000,1627000000,2029000000,2127000000,2163000000,1940000000,1982000000,1812000000,- -,- -
49,Short-Term Debt,54000000,463000000,74000000,1537000000,2308000000,32000000,75000000,79000000,27000000,53000000,46000000,23000000,198000000,68000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,105000000,102000000,100000000,100000000,100000000,100000000,100000000,10000000,- -,- -,- -
52,Other Current Liabilities,2865000000,1706000000,1830000000,1427000000,2656000000,3223000000,2245000000,1629000000,3572000000,4308000000,2816000000,2477000000,4513000000,4911000000
53,Total Current Liabilities,4252000000,4277000000,3602000000,4909000000,6988000000,4982000000,4449000000,3935000000,5862000000,6401000000,4854000000,4312000000,4711000000,4979000000
54,Long-Term Debt,185000000,844000000,27000000,22412000000,21250000000,23626000000,23227000000,23930000000,22148000000,21438000000,21307000000,20183000000,1048000000,1006000000
55,Deferred Revenue,- -,- -,- -,612000000,510000000,410000000,310000000,210000000,110000000,10000000,- -,- -,- -,- -
