,https://roic.ai/company/NAUH,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,89796000,106808000,118894000,129176000,127753000,117891000,96113000,86587000,77184000,37265000,24442000,15492000
2,COGS,- -,- -,- -,- -,21180000,22956000,27831000,36160000,36100000,34548000,30760000,31134000,29596000,12884000,11123000,6497000
3,Gross Profit,- -,- -,- -,- -,68616000,83852000,91063000,93016000,91653000,83343000,65353000,55453000,47588000,24381000,13319000,8995000
4,Gross Profit Ratio,- -,- -,- -,- -,0.7641,0.7851,0.7659,0.7201,0.7174,0.7069,0.6800,0.6404,0.6166,0.6543,0.5449,0.5806
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,- -,- -,565106,906812,51962000,67362000,82223000,82906000,85286000,73301000,72211000,61639000,56183000,30258000,20368000,14404000
10,Operating Expenses,- -,- -,565106,906812,51962000,67362000,82223000,82906000,85286000,73301000,72211000,61639000,56183000,30258000,20368000,14404000
11,COGS and Expenses,- -,- -,565106,906812,73142000,90318000,110054000,119066000,121386000,107849000,102971000,92773000,85779000,43142000,31491000,20901000
12,Interest Income ,- -,- -,- -,- -,206000,148000,133000,111000,142000,148000,87000,102000,76000,136000,138000,89000
13,Interest Expense (Gain),- -,- -,- -,- -,525000,- -,594000,1044000,770000,891000,870000,850000,846000,1291000,1558000,1271000
14,Depreciation and Amortization,- -,- -,- -,- -,2320000,2861000,4239000,5650000,6356000,6127000,5596000,5086000,4642000,2580000,2008000,1391000
15,EBITDA,- -,- -,-565106,-906812,19365000,19502000,13565000,15838000,12917000,18167000,-1776000,-1889000,-6905000,-21191000,-89000,-3415000
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,0.2157,0.1826,0.1141,0.1226,0.1011,0.1541,-0.0185,-0.0218,-0.0895,-0.5687,-0.0036,-0.2204
17,Operating Income,- -,- -,-565106,-906812,16625000,16408000,9160000,10010000,6253000,11752000,-7593000,-7238000,-11501000,-6891000,-7049000,-5409000
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,0.1851,0.1536,0.0770,0.0775,0.0489,0.0997,-0.0790,-0.0836,-0.1490,-0.1849,-0.2884,-0.3491
19,Total Other Income Expenses (Gains),- -,- -,1048371,377546,-101000,271000,-340000,-826000,-479000,-565000,-605000,-539000,-842000,-1172000,3399000,-345000
20,Income Before Tax,- -,- -,483265,-529266,16524000,16679000,8820000,9184000,5774000,11187000,-8198000,-7777000,-12343000,-8063000,-3650000,-5754000
21,Income Before Tax Ratio,- -,- -,Infinity,-Infinity,0.1840,0.1562,0.0742,0.0711,0.0452,0.0949,-0.0853,-0.0898,-0.1599,-0.2164,-0.1493,-0.3714
22,Income Tax expense (Gain),- -,- -,204123,-114379,6485000,6375000,3683000,3698000,2306000,4433000,-2894000,-1550000,-232000,31000,-4705000,15000
23,Net Income,- -,- -,279142,-414887,10035000,10266000,5049000,5446000,3485000,6716000,-5348000,-6275000,-12161000,-25093000,1050000,-6092000
24,Net Income ratio,- -,- -,Infinity,-Infinity,0.1118,0.0961,0.0425,0.0422,0.0273,0.0570,-0.0556,-0.0725,-0.1576,-0.6734,0.0430,-0.3932
25,EPS,- -,- -,0.03,-0.05,3.23,0.39,0.19,0.21,0.14,0.27,-0.22,-0.26,-0.50,-1.02,0.04,-0.25
26,EPS Diluted,- -,- -,0.03,-0.05,3.23,0.38,0.19,0.21,0.14,0.27,-0.22,-0.26,-0.50,-1.02,0.04,-0.25
27,Weighted Average Shares Outstanding,- -,- -,8188800,8188800,3103847,26236783,26488265,25556391,25093096,25160729,24651521,24154541,24239888,24421461,24648150,24608913
28,Weighted Average Shares Outstanding Diluted,- -,- -,8188800,8188800,3103959,26836039,26638427,25561468,25094361,25165732,24651521,24154541,24239888,24421461,24648150,24608913
29,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1399855/000114420409016469/0001144204-09-016469-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000114420409044941/0001144204-09-044941-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000095012310078867/0000950123-10-078867-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000095012311073614/0000950123-11-073614-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000119312512334702/0001193125-12-334702-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000119312513317482/0001193125-13-317482-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000119312514302691/0001193125-14-302691-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000135448815003634/0001354488-15-003634-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000165495416001234/0001654954-16-001234-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000165495417006965/0001654954-17-006965-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000165495418010162/nauh_10k.htm,https://www.sec.gov/Archives/edgar/data/1399855/000165495419010917/nauh_10k.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,858347,190665,96482,8695000,25716000,15658000,11130000,4154000,23300000,21713000,11974000,5324000,1335000,1206000,1570000
32,Short-Term Investments,- -,- -,- -,- -,11109000,19085000,14917000,20748000,15435000,4102000,4117000,4183000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,858347,190665,96482,19804000,44801000,30575000,31878000,19589000,27402000,25830000,16157000,5324000,1335000,1206000,1570000
34,Net Receivables,- -,- -,155399,150486,2775000,3695000,4144000,4472000,16823000,15553000,6166000,5654000,3561000,753000,5949000,1384000
35,Inventory,- -,- -,- -,- -,920000,1057000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,60695,72936,3333000,2282000,2527000,2194000,3868000,4486000,4699000,1649000,1552000,1004000,704000,543000
37,Total Current Assets,- -,858347,406759,319904,26832000,51835000,37252000,38544000,40280000,47441000,36695000,23460000,10437000,3092000,7859000,3497000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12684000,13493000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,363000,363000,363000,363000
40,Intangible Assets,- -,- -,- -,- -,768000,956000,1241000,1107000,1000000,804000,817000,1111000,2048000,1497000,1048000,521000
41,Intangible Assets,- -,- -,- -,- -,768000,956000,1241000,1107000,1000000,804000,817000,1111000,2411000,1860000,1411000,884000
42,Investments,- -,- -,- -,- -,- -,- -,312000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,19141,222610,378536,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,52543772,53034322,52761303,19686000,25147000,44293000,48431000,47177000,38299000,33204000,33021000,35959000,33093000,5684000,6062000
45,Total Non-Current Assets,- -,52562913,53256932,53139839,20454000,26103000,45846000,49538000,48177000,39103000,34021000,34132000,38370000,34953000,19779000,20439000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,53421260,53663691,53459743,47286000,77938000,83098000,88082000,88457000,86544000,70716000,57592000,48807000,38045000,27638000,23936000
48,Accounts Payable,- -,104656,59290,290590,4637000,4830000,4834000,6470000,4380000,3246000,2913000,3076000,1991000,2763000,9981000,10585000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,800000,- -,1501000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,305000,294000,236000,195000,341000,1459000,1649000,1691000,3758000,2798000,1801000,1125000
52,Other Current Liabilities,- -,47009,57051,62149,17456000,7234000,7597000,8036000,9845000,8130000,7346000,7444000,4540000,7725000,9205000,4690000
53,Total Current Liabilities,- -,151665,116341,352739,22398000,12358000,12667000,14701000,14566000,12835000,11908000,12211000,11089000,14086000,20987000,17901000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7200000,15700000,- -,17807000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,1151000,2827000,5098000,5720000,4168000,3283000,2190000,194000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,17334393,17334393,17334393,2380000,4248000,14621000,16873000,18528000,17900000,16253000,15247000,13545000,16417000,14279000,1427000
58,Total Non-Current Liabilities,- -,17334393,17334393,17334393,3531000,7075000,19719000,22593000,22696000,21183000,18443000,15441000,20745000,32117000,14279000,19234000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,10500000,10460000,12303000,12097000,11852000,11568000,11237000,10857000,13773000,11441000
61,Total Liabilities,- -,17486058,17450734,17687132,25929000,19433000,32386000,37294000,37262000,34018000,30351000,27652000,31834000,46203000,35266000,37135000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,620,620,620,2000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
64,Retained Earnings,- -,44190,323332,-117014,2389000,9549000,11239000,12610000,11573000,13751000,4012000,-6622000,-19873000,-45209000,-44623000,-50861000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-20827000,-21104000,-24469000,-27375000,-31752000,-32641000,-36532000,-39974000,-38525000,-19639000,-16310000,- -
66,Other Total Stockholders Equity,- -,35890392,35889005,35889005,40088000,70314000,64108000,65679000,71517000,71521000,72946000,76549000,75334000,56605000,53302000,37001000
67,Total Stockholders Equity,- -,35935202,36212957,35772611,21652000,58762000,50881000,50917000,51341000,52634000,40429000,29956000,16939000,-8240000,-7628000,-13857000
68,Total Liabilities And Stockholders Equity,- -,53421260,53663691,53459743,47581000,78195000,83267000,88211000,88603000,86652000,70780000,57608000,48773000,37963000,27638000,23278000
69,Minority Interest,- -,- -,- -,- -,-295000,-257000,-169000,-129000,-146000,-108000,-64000,-16000,34000,82000,- -,658000
70,Total Liabilities & Equity,- -,53421260,53663691,53459743,47286000,77938000,83098000,88082000,88457000,86544000,70716000,57592000,48807000,38045000,27638000,23936000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1399855/000114420409016469/0001144204-09-016469-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000114420409044941/0001144204-09-044941-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000095012310078867/0000950123-10-078867-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000095012311073614/0000950123-11-073614-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000119312512334702/0001193125-12-334702-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000119312513317482/0001193125-13-317482-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000119312514302691/0001193125-14-302691-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000135448815003634/0001354488-15-003634-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000165495416001234/0001654954-16-001234-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000165495417006965/0001654954-17-006965-index.html,https://www.sec.gov/Archives/edgar/data/1399855/000165495418010162/nauh_10k.htm,https://www.sec.gov/Archives/edgar/data/1399855/000165495419010917/nauh_10k.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,279142,-414887,10035000,10266000,5049000,5446000,3485000,6716000,-5348000,-6275000,-12161000,-25093000,1050000,-6092000
74,Depreciation and Amortization,- -,- -,- -,- -,2320000,2861000,4239000,5650000,6356000,6127000,5596000,5086000,4642000,2580000,2008000,1391000
75,Deferred Income Tax,- -,- -,-203469,-261303,-453000,1540000,2107000,1194000,-1881000,-1534000,-1379000,625000,-194000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,1104000,560000,453000,1535000,-855000,557000,167000,245000,171000,- -,- -
77,Change in Working Capital,- -,- -,-195240,130169,-2597000,-3463000,-3070000,-1448000,-17561000,-5536000,1698000,-3627000,-442000,1486000,-3348000,2820000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-5659000,-16383000,-4332000,6764000,-3707000,-2098000,438000,-500000,425000
79,Inventory,- -,- -,- -,- -,440000,-137000,1051000,-51000,448000,348000,-236000,- -,713000,512000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,324000,-665000,-142000,1112000,-1839000,230000,-372000,-224000,-698000,1267000,5095000,-749000
81,Other Working Capital,- -,- -,57051,62149,359000,-167000,353000,811000,1426000,-1008000,-2279000,759000,4219000,35000,-5373000,-839000
82,Other Non-Cash Items,- -,- -,- -,- -,3777000,3469000,3972000,4640000,3976000,3930000,6182000,4840000,4114000,15405000,-4687000,-867000
83,Cash Provided by Operating Activities,- -,- -,-119567,-546021,13082000,15777000,12857000,15935000,-4090000,8848000,7306000,816000,-3796000,-5451000,-4977000,-2748000
84,CAPEX,- -,- -,- -,- -,-5017000,-7113000,-13790000,-8864000,-4979000,-1454000,-1263000,-6112000,-2025000,-795000,-79000,-79000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1269000,- -,-551000,- -
86,Purchases of Investments,- -,- -,- -,- -,-16397000,-35995000,-67993000,-39927000,-36980000,-50141000,-3897000,-7721000,-9747000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,9687000,27982000,72087000,34046000,42277000,61478000,3881000,7652000,4668000,- -,- -,- -
88,Other Investing Activites,- -,- -,-490550,471668,-186000,-501000,-270000,-214000,1162000,5043000,-212000,-296000,-211000,-5849000,14459000,1918000
89,Cash Used for Investing Activites,- -,- -,-490550,471668,-11567000,-15173000,-9381000,-14742000,1727000,15069000,-1187000,-5912000,-8324000,-6644000,13829000,1839000
90,Debt Repayment,- -,- -,- -,- -,-11959000,- -,-100000,-40000,-157000,-206000,-244000,-284000,-331000,-380000,-11617000,-6783000
91,Common Stock Issued,- -,- -,- -,- -,- -,32077000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-8145000,-10084000,-1770000,-64000,-32000,-3022000,-4000,-15000,-14000,-6000,- -
93,Dividends Paid,- -,- -,- -,- -,-3781000,-13391000,-3350000,-3911000,-4392000,-4533000,-4440000,-4355000,-2184000,- -,- -,- -
94,Other Financing Activites,- -,- -,-57565,- -,19412000,5876000,- -,- -,- -,- -,- -,- -,8001000,8500000,2642000,8056000
