,https://roic.ai/company/AWH,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2933000,5010000,8935000,19049000,39300000,58372000,40181000,27246000,18215000,44000,124000,- -,1175000,1923000,2094000,2566000,2521000,2177000,2642000,3121000,3053000,4538000,4651000,6812000
2,COGS,1068000,-235000,-6813000,6614000,12758000,27845000,15075000,13693000,9338000,28000,24000,- -,88000,129000,131000,170000,1230000,2309000,2698000,2914000,3142000,3343000,3415000,3750000
3,Gross Profit,1865000,5245000,15748000,12435000,26542000,30527000,25106000,13553000,8877000,16000,100000,- -,1087000,1794000,1963000,2396000,1291000,-132000,-56000,207000,-89000,1195000,1236000,3062000
4,Gross Profit Ratio,0.6359,1.0469,1.7625,0.6528,0.6754,0.5230,0.6248,0.4974,0.4873,0.3636,0.8065,- -,0.9251,0.9329,0.9374,0.9337,0.5121,-0.0606,-0.0212,0.0663,-0.0292,0.2633,0.2657,0.4495
5,Research and Development Exp.,4733000,3139000,7475000,12895000,20754000,24920000,19268000,13196000,11474000,8213000,5289000,2346000,3848000,5387000,2216000,2595000,4667000,3751000,2172000,837000,550000,1018000,2104000,5314000
6,General and Administrative Exp.,4762000,7788000,20323000,27321000,35329000,40658000,40512000,34866000,23229000,13033000,7309000,2562000,8984000,8509000,4508000,4184000,5942000,5533000,5928000,5543000,5052000,5810000,8270000,13257000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2019000,455000,2857000,5539000,4653000,4480000,9893000,9833000,6798000,4268000,5642000,9645000,8843000,17086000
8,"Selling, General and Administrative Exp.",4762000,7788000,20323000,27321000,35329000,40658000,40512000,34866000,23229000,13033000,9328000,3017000,11841000,14048000,9161000,8664000,15835000,15366000,12726000,9811000,10694000,15455000,17113000,30343000
9,Other Expenses,279000,2308000,10611000,1650000,829000,829000,- -,- -,-6929000,-1610000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,9774000,13235000,38409000,41866000,56912000,66407000,59780000,48062000,27774000,19636000,14617000,5363000,15689000,19435000,11377000,11259000,20502000,19117000,14898000,10648000,11244000,16473000,19217000,35657000
11,COGS and Expenses,10842000,13000000,31596000,48480000,69670000,94252000,74855000,61755000,37112000,19664000,14641000,5363000,15777000,19564000,11508000,11429000,21732000,21426000,17596000,13562000,14386000,19816000,22632000,39407000
12,Interest Income ,175000,- -,2644000,4125000,1543000,702000,505000,839000,843000,734000,399000,28000,40000,64000,28000,23000,40000,28000,- -,- -,- -,- -,10000,- -
13,Interest Expense (Gain),488000,- -,170000,150000,152000,857000,2001000,1993000,2254000,2302000,2035000,1691000,491000,396000,206000,- -,- -,- -,28000,42000,- -,- -,- -,48000
14,Depreciation and Amortization,1041000,2308000,10611000,7370000,4221000,6322000,7805000,6371000,4902000,1491000,928000,335000,114000,77000,86000,72000,141000,291000,723000,786000,675000,333000,265000,302000
