,https://roic.ai/company/FCCN,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,182,14113,34553,55012,17772,347,- -,182109,- -,- -,- -,- -,- -,- -,239,0,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,55012,17772,347,- -,182109,- -,- -,- -,- -,- -,- -,- -,0,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,- -,1.0000,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,- -,2254152,-464023,146204,54862,118,3861,110210,- -,81107,330760,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,292563,92019,1418549,1946698,3981159,3095257,992419,576061,189883,190004,178359,179184,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,292563,92019,1418549,1946698,3981159,3095257,992419,576061,189883,190004,178359,179184,- -,28230
9,Other Expenses,- -,67371,1604656,913543,608565,9152,- -,25286,957,957,426969,1705008,- -,- -,- -,- -,- -,168,144000
10,Operating Expenses,- -,67371,3858808,449520,754769,356577,92137,1447696,2057865,3982116,3603333,3028187,576061,189883,190004,178359,179184,168,172230
11,COGS and Expenses,17823,67371,3858808,449520,754769,356577,92137,1447696,2057865,3982116,3603333,3028187,576061,189883,190004,178359,179184,168,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,113761,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,3206,807,2858,8900,9392,9152,- -,239,957,957,426969,1705008,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-12817,-66564,-4088299,-426507,-716667,-292030,-79998,-1449235,-2056908,-2683684,-3176364,-1323179,-340177,-199106,-190004,-178359,-177813,- -,- -
16,EBITDA ratio,-Infinity,-Infinity,-22463.1813,-30.2209,-20.7411,-5.3085,-4.5014,-4176.4697,-Infinity,-14.7367,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-743.9874,- -,- -
17,Operating Income,-17823,-67371,-3858626,-435407,-720216,-301182,-74365,-1447349,-2057865,-3800007,-11626500,-6640927,-813061,-189883,-190004,-178359,-178945,- -,- -
18,Operating Income ratio,-Infinity,-Infinity,-21201.2418,-30.8515,-20.8438,-5.4748,-4.1844,-4171.0346,-Infinity,-20.8667,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-748.7238,- -,- -
19,Total Other Income Expenses (Gains),-1800,-8260,-230900,- -,-5823,- -,-5633,-2125,- -,1001605,- -,- -,1116,9223,- -,- -,- -,- -,- -
20,Income Before Tax,-19623,-75631,- -,- -,- -,-301182,-79998,-1449474,-2057865,-2798402,-11626500,-6640927,-811945,-180660,-190004,-178359,-178945,- -,- -
21,Income Before Tax Ratio,-Infinity,-Infinity,- -,- -,- -,-5.4748,-4.5014,-4177.1585,-Infinity,-15.3666,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-748.7238,- -,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-19623,-75631,-4091157,-435407,-726059,-301182,-79998,-1449474,-2057865,-2798402,-10558890,-4624524,-807731,-183494,-189601,-177535,-177813,- -,- -
24,Net Income ratio,-Infinity,-Infinity,-22478.8846,-30.8515,-21.0129,-5.4748,-4.5014,-4177.1585,-Infinity,-15.3666,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-743.9874,- -,- -
25,EPS,-1.07,-4.99,-119.94,-10.99,-14.99,-6.46,-1.70,-0.04,-0.02,-0.03,-0.09,-0.04,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,- -
26,EPS Diluted,-1.07,-4.99,-119.94,-10.99,-14.99,-6.46,-1.70,-0.04,-0.02,-0.03,-0.09,-0.04,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,- -
27,Weighted Average Shares Outstanding,18325,18323,36233,39635,40512,46654,47106,37307924,101207623,101207623,111257897,117857623,117857623,117857623,117857623,117857623,117857623,117857623,117857623
28,Weighted Average Shares Outstanding Diluted,18325,18323,36233,39635,40512,46654,47106,37307924,101207623,101207623,111257897,117857623,117857623,117857623,117857623,117857623,117857623,117857623,117857623
