,https://roic.ai/company/MORF,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,3358000,16977000,44945000,19794000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,14103000,22631000,53732000,73630000,87789000
6,General and Administrative Exp.,2826000,5355000,10233000,18495000,27811000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2826000,5355000,10233000,18495000,27811000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,16929000,27986000,63965000,92125000,115600000
11,COGS and Expenses,16929000,27986000,63965000,92125000,115600000
12,Interest Income ,14000,871000,4666000,1630000,272000
13,Interest Expense (Gain),- -,- -,4666000,1630000,272000
14,Depreciation and Amortization,434000,539000,821000,1126000,1030000
15,EBITDA,-16495000,-23292000,-36929000,-42813000,-94240000
16,EBITDA ratio,-Infinity,-6.9363,-2.1752,-0.9526,-4.7610
17,Operating Income,-16929000,-24628000,-46988000,-47180000,-95806000
18,Operating Income ratio,-Infinity,-7.3341,-2.7677,-1.0497,-4.8402
19,Total Other Income Expenses (Gains),9000,797000,4572000,1611000,264000
20,Income Before Tax,-16920000,-23831000,-42416000,-45569000,-95542000
21,Income Before Tax Ratio,-Infinity,-7.0968,-2.4984,-1.0139,-4.8268
22,Income Tax expense (Gain),- -,- -,912000,-570000,- -
23,Net Income,-16920000,-23831000,-43328000,-44999000,-95542000
24,Net Income ratio,-Infinity,-7.0968,-2.5522,-1.0012,-4.8268
25,EPS,-1.27,-1.79,-2.69,-1.47,-2.67
26,EPS Diluted,-1.27,-1.79,-2.69,-1.47,-2.67
27,Weighted Average Shares Outstanding,13308141,13308141,16101928,30594897,35797969
28,Weighted Average Shares Outstanding Diluted,13308141,13308141,16101928,30594897,35797969
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1679363/000155837020001653/0001558370-20-001653-index.htm,https://www.sec.gov/Archives/edgar/data/1679363/000155837021002073/0001558370-21-002073-index.htm,https://www.sec.gov/Archives/edgar/data/1679363/000167936322000010/0001679363-22-000010-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,20750000,185901000,101559000,102047000,171434000
32,Short-Term Investments,- -,- -,135457000,126217000,236701000
33,Cash and Short-Term Investments,20750000,185901000,237016000,228264000,408135000
34,Net Receivables,- -,- -,3467000,7314000,2307000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,479000,1222000,3090000,3857000,7892000
37,Total Current Assets,21229000,187123000,243573000,239435000,418334000
38,PP&E,1725000,1843000,3446000,2606000,7389000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,288000,339000,416000,341000,567000
45,Total Non-Current Assets,2013000,2182000,3862000,2947000,7956000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,23242000,189305000,247435000,242382000,426290000
48,Accounts Payable,883000,1745000,5167000,3845000,4798000
49,Short-Term Debt,315000,- -,- -,- -,1211000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,29862000,23450000,25266000,20628000
52,Other Current Liabilities,1319000,3296000,6733000,10327000,11627000
53,Total Current Liabilities,2517000,34903000,35350000,39438000,38264000
54,Long-Term Debt,315000,- -,- -,- -,3838000
55,Deferred Revenue,- -,66781000,70954000,57672000,47489000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,50103000,140173000,213000,75000,- -
58,Total Non-Current Liabilities,50418000,206954000,71167000,57747000,51327000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,5049000
61,Total Liabilities,52935000,241857000,106517000,97185000,89591000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,3000,3000,4000
64,Retained Earnings,-30354000,-54185000,-97513000,-142512000,-238054000
65,Other Comprehensive Income/Loss,-671000,-1210000,44000,-21000,-482000
66,Other Total Stockholders Equity,1332000,2843000,238384000,287727000,575231000
67,Total Stockholders Equity,-29693000,-52552000,140918000,145197000,336699000
68,Total Liabilities And Stockholders Equity,23242000,189305000,247435000,242382000,426290000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,23242000,189305000,247435000,242382000,426290000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1679363/000155837020001653/0001558370-20-001653-index.htm,https://www.sec.gov/Archives/edgar/data/1679363/000155837021002073/0001558370-21-002073-index.htm,https://www.sec.gov/Archives/edgar/data/1679363/000167936322000010/0001679363-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-16920000,-23831000,-43328000,-44999000,-95542000
74,Depreciation and Amortization,434000,539000,821000,1126000,1030000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,289000,997000,3532000,11053000,21184000
77,Change in Working Capital,608000,133508000,-1187000,-13620000,-11352000
78,Accounts Receivable,- -,- -,-3467000,-3847000,5007000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,285000,862000,3164000,-1071000,970000
81,Other Working Capital,18712000,152220000,-2295000,-11531000,-14821000
82,Other Non-Cash Items,174000,-34876000,-1489000,450000,1219000
83,Cash Provided by Operating Activities,-15415000,76337000,-41651000,-45990000,-83461000
84,CAPEX,-945000,-659000,-2158000,-544000,-1020000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-296328000,-145275000,-244160000
87,Sales/Maturities of Investments,- -,- -,162500000,154000000,132000000
88,Other Investing Activites,38000,3000,- -,- -,- -
89,Cash Used for Investing Activites,-907000,-656000,-135986000,8181000,-113180000
90,Debt Repayment,-333000,-652000,- -,- -,- -
91,Common Stock Issued,- -,- -,93268000,33653000,265218000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,20594000,90122000,27000,4644000,1095000
95,Cash Used/Provided by Financing Activities,20261000,89470000,93295000,38297000,266313000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,3939000,165151000,-84342000,488000,69672000
98,Cash at the End of Period,21025000,186176000,101834000,102322000,171994000
99,Cash at the Beginning of Period,17086000,21025000,186176000,101834000,102322000
100,Free Cash Flow,-16360000,75678000,-43809000,-46534000,-84481000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1679363/000155837020001653/0001558370-20-001653-index.htm,https://www.sec.gov/Archives/edgar/data/1679363/000155837021002073/0001558370-21-002073-index.htm,https://www.sec.gov/Archives/edgar/data/1679363/000167936322000010/0001679363-22-000010-index.htm
102,false,,,,,
