,https://roic.ai/company/TRGP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,7998900000,4536000000,5469200000,6994500000,5885700000,6556000000,8616500000,6658600000,6690900000,8814900000,10484000000,8671100000,8260000000,16949800000
2,COGS,7218500000,3791100000,4687700000,6039000000,5076600000,5650400000,7397900000,5550100000,5680600000,7715600000,9054100000,7090100000,- -,14600100000
3,Gross Profit,780400000,744900000,781500000,955500000,809100000,905600000,1218600000,1108500000,1010300000,1099300000,1429900000,1581000000,8260000000,2349700000
4,Gross Profit Ratio,0.0976,0.1642,0.1429,0.1366,0.1375,0.1381,0.1414,0.1665,0.1510,0.1247,0.1364,0.1823,1.0000,0.1386
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,120400000,144400000,- -,139800000,151500000,148000000,161700000,187200000,203400000,256900000,280700000,254000000,273200000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,120400000,144400000,136100000,139800000,151500000,148000000,161700000,187200000,203400000,256900000,280700000,254000000,273200000
9,Other Expenses,545900000,407300000,441000000,468300000,317400000,382000000,434900000,505500000,554200000,624400000,725600000,864200000,525000000,747100000
10,Operating Expenses,545900000,527700000,585400000,604400000,457200000,533500000,582900000,667200000,741400000,827800000,982500000,1144900000,779000000,1020300000
11,COGS and Expenses,7764400000,4318800000,5273100000,6643400000,5533800000,6183900000,7980800000,6217300000,6422000000,8543400000,10036600000,8235000000,779000000,15620400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),141200000,132100000,110900000,111700000,120800000,134100000,147100000,231900000,254200000,233700000,185800000,337800000,- -,387900000
14,Depreciation and Amortization,160900000,168800000,174700000,181000000,197600000,271900000,351000000,677100000,757700000,809500000,815900000,971600000,11000,870600000
15,EBITDA,358700000,350900000,293100000,350000000,393400000,519300000,668400000,1006900000,724000000,700100000,1008800000,1012300000,-1076989000,1344500000
16,EBITDA ratio,0.0448,0.0774,0.0536,0.0500,0.0668,0.0792,0.0776,0.1512,0.1082,0.0794,0.0962,0.1167,-0.1304,0.0793
17,Operating Income,234500000,217200000,196100000,351100000,336300000,368200000,640500000,159300000,55800000,-122400000,237500000,192900000,-1303700000,864800000
18,Operating Income ratio,0.0293,0.0479,0.0359,0.0502,0.0571,0.0562,0.0743,0.0239,0.0083,-0.0139,0.0227,0.0222,-0.1578,0.0510
19,Total Other Income Expenses (Gains),-80800000,-117400000,-110300000,-109100000,-140100000,-118700000,-149500000,-271100000,-315500000,-170500000,-171600000,-239600000,-269300000,-427900000
