,https://roic.ai/company/HARP,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,708000,4750000,5777000,17444000,23654000
2,COGS,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,17444000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,7778000,13622000,26368000,41592000,52565000,72124000
6,General and Administrative Exp.,3369000,3614000,6106000,22391000,16210000,18327000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3369000,3614000,6106000,22391000,16210000,18327000
9,Other Expenses,- -,- -,- -,- -,- -,49954000
10,Operating Expenses,11147000,17236000,32474000,63983000,68775000,140405000
11,COGS and Expenses,11147000,17236000,32474000,63983000,68775000,- -
12,Interest Income ,6000,- -,395000,2676000,1449000,240000
13,Interest Expense (Gain),261000,285000,- -,- -,- -,- -
14,Depreciation and Amortization,198000,366000,644000,900000,2082000,- -
15,EBITDA,-10947000,-16179000,-26722000,-54672000,-47826000,-116721000
16,EBITDA ratio,-Infinity,-22.8517,-5.6257,-9.4637,-2.7417,-4.9345
17,Operating Income,-11147000,-16528000,-27724000,-58206000,-51331000,-116751000
18,Operating Income ratio,-Infinity,-23.3446,-5.8366,-10.0755,-2.9426,-4.9358
19,Total Other Income Expenses (Gains),-259000,-302000,358000,2634000,1423000,30000
20,Income Before Tax,-11406000,-16830000,-27366000,-55572000,-49908000,-116721000
21,Income Before Tax Ratio,-Infinity,-23.7712,-5.7613,-9.6195,-2.8610,-4.9345
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,-11406000,-16830000,-27366000,-55572000,-49908000,-116721000
24,Net Income ratio,-Infinity,-23.7712,-5.7613,-9.6195,-2.8610,-4.9345
25,EPS,-1.21,-2.44,-1.14,-2.55,-1.99,-3.62
26,EPS Diluted,-1.21,-2.44,-1.14,-2.55,-1.99,-3.62
27,Weighted Average Shares Outstanding,9448070,6901664,23909025,21746461,25034947,32274362
28,Weighted Average Shares Outstanding Diluted,9448070,6901664,23909025,21746461,25034947,32274362
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1708493/000156459019007829/0001564590-19-007829-index.htm,https://www.sec.gov/Archives/edgar/data/1708493/000156459020010479/0001564590-20-010479-index.html,https://www.sec.gov/Archives/edgar/data/1708493/000156459021012063/0001564590-21-012063-index.htm,https://www.sec.gov/Archives/edgar/data/1708493/000095017022003375/0000950170-22-003375-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,985000,29423000,89493000,88736000,21170000,44687000
32,Short-Term Investments,- -,- -,- -,59337000,104860000,- -
33,Cash and Short-Term Investments,985000,29423000,89493000,148073000,126030000,44687000
34,Net Receivables,6750000,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,559000,224000,730000,2544000,3724000,93008000
37,Total Current Assets,8294000,29647000,90223000,150617000,129754000,137695000
38,PP&E,90000,2087000,2998000,18398000,16771000,15375000
39,Goodwill,- -,- -,- -,- -,- -,- -
