,https://roic.ai/company/USIO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,55438,612340,2968678,4206554,119297,357566,1180753,2522572,3036554,3001487,3218674,2618864,4813257,7345974,5180362,13395131,14380459,12076358,14571158,25024124,28200535,32251823,61942316
2,COGS,127345,3653200,4995161,4690344,138009,327474,1038346,2021051,2481126,2422364,2429629,2019602,3093891,4186963,4205466,9216904,9417334,8293354,10802932,19454611,22251325,24875930,46309706
3,Gross Profit,-71907,-3040860,-2026483,-483790,-18712,30092,142407,501521,555428,579123,789045,599262,1719366,3159011,974896,4178227,4963125,3783004,3768226,5569513,5949210,7375893,15632610
4,Gross Profit Ratio,-1.2971,-4.9660,-0.6826,-0.1150,-0.1569,0.0842,0.1206,0.1988,0.1829,0.1929,0.2451,0.2288,0.3572,0.4300,0.1882,0.3119,0.3451,0.3133,0.2586,0.2226,0.2110,0.2287,0.2524
5,Research and Development Exp.,906532,767751,760082,461065,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,4094505,15752657,6423315,4822459,1726028,1374779,1696015,1673089,2027364,2211207,1694198,1185479,1342645,1761163,1698674,1892267,3683816,4503185,5347110,7468384,8989686,9614547,13144316
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4094505,15752657,6423315,4822459,1726028,1374779,1696015,1673089,2027364,2211207,1694198,1185479,1342645,1761163,1698674,1892267,3683816,4503185,5347110,7468384,8989686,9614547,13144316
9,Other Expenses,270908,940955,1555626,2514003,130671,95190,86374,80157,75531,58216,36517,23514,3722,6860,31654,40953,496368,901600,1258132,1875638,2022520,1518214,2643675
10,Operating Expenses,5271945,17461363,8739023,7797527,1856699,1469969,1782389,1753246,2102895,2269423,1730715,1208993,1346367,1768023,1730328,1933220,4180184,5404785,6605242,9344022,11012206,11132761,15787991
11,COGS and Expenses,5399290,21114563,13734184,12487871,1994708,1797443,2820735,3774297,4584021,4691787,4160344,3228595,4440258,5954986,5935794,11150124,13597518,13698139,17408174,28798633,33263531,36008691,62097697
12,Interest Income ,- -,686824,355262,81799,5122,712,950,275,623,9091,- -,- -,- -,- -,- -,- -,79005,97322,100964,76551,81790,59392,7643
13,Interest Expense (Gain),- -,140651,40079,1114798,61432,46111,171330,91408,79781,423,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4314
14,Depreciation and Amortization,270908,940955,1555626,1896535,130671,123355,226209,147769,132919,58216,36517,23514,3722,6860,31654,40953,496368,901600,1258132,1875638,2022520,1518214,2643675
