,https://roic.ai/company/CCXI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,23551000,49744000,34861000,31673000,5419000,6060000,- -,- -,11435000,82497000,42875000,35952000,64891000,32224000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,302000
3,Gross Profit,- -,49744000,34861000,31673000,- -,- -,- -,- -,- -,- -,- -,- -,64891000,31922000
4,Gross Profit Ratio,- -,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,0.9906
5,Research and Development Exp.,35056000,27474000,33527000,28359000,34569000,33541000,33815000,33183000,37945000,49495000,62736000,70276000,77882000,82990000
6,General and Administrative Exp.,9157000,6575000,7292000,7615000,10480000,11634000,13584000,14506000,14710000,16509000,20409000,24155000,42186000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",9157000,6575000,7292000,7615000,10480000,11634000,13584000,14506000,14710000,16509000,20409000,24155000,42186000,78851000
9,Other Expenses,-536000,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,-176000,- -,302000
10,Operating Expenses,43677000,34049000,40819000,35974000,45049000,45175000,47399000,47689000,52155000,66004000,83145000,94255000,120068000,162143000
11,COGS and Expenses,43677000,34049000,40819000,35974000,45049000,45175000,47399000,47689000,52155000,66004000,83145000,94255000,120068000,162445000
12,Interest Income ,1762000,297000,436000,402000,533000,501000,494000,384000,757000,1370000,3528000,4963000,2464000,859000
13,Interest Expense (Gain),129000,76000,81000,734000,794000,59000,24000,- -,- -,4000,1224000,2149000,2643000,-2695000
14,Depreciation and Amortization,707000,713000,660000,754000,592000,576000,543000,477000,348000,418000,512000,1642000,797000,3139000
15,EBITDA,-17657000,16705000,-2428000,-3129000,-38505000,-38038000,-46856000,-47212000,-39615000,18281000,-36230000,-51698000,-51916000,-131311000
16,EBITDA ratio,-0.7497,0.3358,-0.0696,-0.0988,-7.1056,-6.2769,-Infinity,-Infinity,-3.4644,0.2216,-0.8450,-1.4380,-0.8000,-4.0749
17,Operating Income,-20126000,15695000,-5958000,-4301000,-39630000,-39115000,-47399000,-47689000,-40720000,16493000,-40270000,-58303000,-55177000,-129919000
18,Operating Income ratio,-0.8546,0.3155,-0.1709,-0.1358,-7.3132,-6.4546,-Infinity,-Infinity,-3.5610,0.1999,-0.9392,-1.6217,-0.8503,-4.0317
19,Total Other Income Expenses (Gains),1633000,221000,2789000,-316000,-261000,442000,470000,384000,757000,1366000,2304000,2814000,-179000,-1836000
20,Income Before Tax,-18493000,15916000,-3169000,-4617000,-39891000,-38673000,-46929000,-47305000,-39963000,17859000,-37966000,-55489000,-55356000,-131755000
21,Income Before Tax Ratio,-0.7852,0.3200,-0.0909,-0.1458,-7.3613,-6.3817,-Infinity,-Infinity,-3.4948,0.2165,-0.8855,-1.5434,-0.8531,-4.0887
22,Income Tax expense (Gain),-23000,293000,-73000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-18470000,15623000,-3096000,-4617000,-39891000,-38673000,-46929000,-47305000,-39963000,17859000,-37966000,-55489000,-55356000,-131755000
24,Net Income ratio,-0.7843,0.3141,-0.0888,-0.1458,-7.3613,-6.3817,-Infinity,-Infinity,-3.4948,0.2165,-0.8855,-1.5434,-0.8531,-4.0887
25,EPS,-0.65,0.55,-0.11,-0.13,-1.13,-0.95,-1.08,-1.08,-0.86,0.37,-0.76,-0.98,-0.84,-1.89
26,EPS Diluted,-0.65,0.55,-0.11,-0.13,-1.13,-0.95,-1.08,-1.08,-0.86,0.36,-0.76,-0.98,-0.84,-1.89
27,Weighted Average Shares Outstanding,28210296,28471126,28210296,35254914,35406922,40916000,43275000,43890000,46432000,48413000,49814000,56898000,65688000,69851000
28,Weighted Average Shares Outstanding Diluted,28210296,28471126,28210296,35254914,35406922,40916000,43275000,43890000,46432000,49615000,49814000,56898000,65688000,69851000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1340652/000119312512143047/0001193125-12-143047-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312513107109/0001193125-13-107109-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312514099600/0001193125-14-099600-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312515090602/0001193125-15-090602-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312516503608/0001193125-16-503608-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312517082093/0001193125-17-082093-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312518079260/0001193125-18-079260-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312519070954/0001193125-19-070954-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000156459020009787/0001564590-20-009787-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000156459021009883/0001564590-21-009883-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000095017022002561/0000950170-22-002561-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,21076000,12056000,40155000,8460000,10258000,16075000,12823000,12024000,40020000,28088000,39179000,32297000,49978000
32,Short-Term Investments,- -,36055000,69519000,49335000,94234000,123055000,57282000,58455000,105740000,87271000,148896000,133607000,404273000,214514000
33,Cash and Short-Term Investments,- -,57131000,81575000,89490000,102694000,133313000,73357000,71278000,117764000,127291000,176984000,172786000,436570000,264492000
34,Net Receivables,- -,35441000,12452000,507000,1156000,393000,- -,- -,30205000,51090000,2058000,176000,169000,411000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,851000
36,Other Current Assets,- -,953000,558000,1322000,630000,596000,972000,757000,722000,1449000,2342000,1400000,4831000,3423000
37,Total Current Assets,- -,93525000,94585000,91319000,104480000,134302000,74329000,72035000,148691000,179830000,181384000,174362000,441570000,269177000
38,PP&E,- -,1582000,2127000,1541000,1421000,1399000,1208000,949000,905000,1210000,1536000,3858000,52071000,57075000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,8185000,1261000,6596000,16262000,16561000,41263000,5011000,5997000,7929000,- -,29454000,23800000,97856000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,177000,160000,2095000,160000,160000,181000,160000,279000,359000,390000,1409000,1458000,1544000
45,Total Non-Current Assets,- -,9944000,3548000,10232000,17843000,18120000,42652000,6120000,7181000,9498000,1926000,34721000,77329000,156475000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,103469000,98133000,101551000,122323000,152422000,116981000,78155000,155872000,189328000,183310000,209083000,518899000,425652000
48,Accounts Payable,- -,994000,891000,536000,750000,909000,748000,675000,671000,1400000,966000,1532000,12875000,6746000
49,Short-Term Debt,- -,447000,337000,501000,522000,314000,- -,- -,- -,- -,- -,1503000,7147000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,6792000,3628000,3628000,3761000,- -,- -,- -,29019000,22962000,50461000,37742000,12587000,10993000
52,Other Current Liabilities,- -,6167000,7017000,4692000,6267000,5649000,7442000,4819000,8645000,8575000,12969000,18303000,18949000,45278000
53,Total Current Liabilities,- -,14400000,11873000,9357000,11300000,6872000,8190000,5494000,38335000,32937000,64396000,59080000,51558000,63017000
54,Long-Term Debt,- -,- -,- -,10472000,- -,- -,- -,- -,- -,4676000,19689000,19786000,18099000,4715000
55,Deferred Revenue,- -,11288000,8163000,4535000,- -,- -,- -,- -,67547000,72197000,84100000,63095000,24000000,24772000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,479000,1324000,1190000,677000,242000,185000,154000,101000,251000,387000,1122000,39629000,47028000
58,Total Non-Current Liabilities,- -,11767000,9487000,16197000,677000,242000,185000,154000,67648000,77124000,104176000,84003000,81728000,76515000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,454000,1282000,1448000,901000,330000,- -,- -,- -,- -,- -,1503000,39516000,- -
61,Total Liabilities,- -,26167000,21360000,25554000,11977000,7114000,8375000,5648000,105983000,110061000,168572000,143083000,133286000,139532000
62,Preferred Stock,- -,49000,49000,49000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,4000,4000,4000,36000,43000,43000,44000,48000,49000,51000,60000,69000,70000
64,Retained Earnings,- -,-86585000,-89681000,-94298000,-134189000,-172862000,-219791000,-267096000,-307059000,-289200000,-374497000,-429986000,-485342000,-617097000
65,Other Comprehensive Income/Loss,- -,-21000,83000,-31000,2000,40000,-70000,-40000,-50000,-119000,-198000,318000,114000,-483000
66,Other Total Stockholders Equity,- -,163855000,166318000,170273000,244497000,318087000,328424000,339599000,356950000,368537000,389382000,495608000,870772000,903630000
67,Total Stockholders Equity,- -,77302000,76773000,75997000,110346000,145308000,108606000,72507000,49889000,79267000,14738000,66000000,385613000,286120000
68,Total Liabilities And Stockholders Equity,- -,103469000,98133000,101551000,122323000,152422000,116981000,78155000,155872000,189328000,183310000,209083000,518899000,425652000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,103469000,98133000,101551000,122323000,152422000,116981000,78155000,155872000,189328000,183310000,209083000,518899000,425652000
