,https://roic.ai/company/ASRT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,300000,600000,800000,115327,1776218,3673326,1661186,981990,202569,4405329,9551218,65582000,34842000,57728000,80764000,132973000,90816000,134205000,390363000,342735000,455897000,380724000,311770000,229504000,106275000,111014000
2,COGS,- -,-200000,-500000,-643491,-561763,- -,- -,- -,- -,908521,1600744,2597000,5772000,5257000,8097000,5544000,6039000,7091000,15146000,67898000,87414000,72598000,18476000,9505000,19872000,15832000
3,Gross Profit,300000,800000,1300000,758818,2337981,3673326,1661186,981990,202569,3496808,7950474,62985000,29070000,52471000,72667000,127429000,84777000,127114000,375217000,274837000,368483000,308126000,293294000,219999000,86403000,95182000
4,Gross Profit Ratio,1.0000,1.3333,1.6250,6.5797,1.3163,1.0000,1.0000,1.0000,1.0000,0.7938,0.8324,0.9604,0.8343,0.9089,0.8997,0.9583,0.9335,0.9472,0.9612,0.8019,0.8083,0.8093,0.9407,0.9586,0.8130,0.8574
5,Research and Development Exp.,400000,900000,2100000,3734196,7488227,15461113,24714134,26900214,21358802,18369217,26891139,23337000,27268000,34298000,20111000,15187000,15462000,8073000,7116000,72441000,32631000,38618000,8042000,10106000,4213000,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16656000,17512000,54205000,97646000,105176000,- -,- -,- -,- -,- -,- -,104324000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23589000,31419000,27339000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",400000,1000000,2000000,1871596,2026188,2533640,5374490,3480231,5178539,11639118,22666797,26694000,26397000,40245000,48931000,81544000,97646000,105176000,121126000,199352000,204498000,195696000,119218000,108866000,104324000,56555000
9,Other Expenses,- -,200000,500000,643491,561763,- -,- -,- -,- -,- -,- -,-34584000,-7500000,- -,- -,- -,2022000,4548000,10161000,83344000,106845000,102745000,101774000,101774000,24783000,- -
10,Operating Expenses,800000,2100000,4600000,6249283,10076178,17994753,30088624,30380445,26537341,30008335,49557936,15447000,46165000,74543000,69042000,96731000,115130000,117797000,138403000,355137000,343974000,337059000,229034000,220746000,133320000,56555000
11,COGS and Expenses,800000,1900000,4100000,5605792,9514415,17994753,30088624,30380445,26537341,30916856,51158680,18044000,51937000,79800000,77139000,102275000,121169000,124888000,153549000,423035000,431388000,409657000,247510000,230251000,153192000,101590000
12,Interest Income ,- -,- -,- -,- -,222954,- -,101106,299140,489013,1445057,2030674,2273000,2349000,1050000,839000,557000,520000,662000,215000,599000,485000,681000,1197000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,105203,732566,910424,928878,459737,- -,- -,555000,1001000,572000,133000,39000,5399000,23921000,73436000,83719000,73552000,68881000,58389000,10246000,-10220000
14,Depreciation and Amortization,- -,200000,500000,643491,561763,610811,745144,1044678,1701270,1138912,1380466,865000,1148000,808000,439000,420000,2561000,6161000,12025000,85737000,109375000,105502000,106426000,102946000,26431000,- -
15,EBITDA,-500000,-1000000,-2300000,-16565309,-9141107,-16884025,-12016855,-28059996,-24144489,-22868623,-38196322,50676000,-13598000,-20214000,4903000,71675000,-27272000,16140000,249054000,35936000,128592000,75129000,213282000,-61149000,-8836000,-10773000
16,EBITDA ratio,-1.6667,-1.6667,-2.8750,-143.6377,-5.1464,-4.5964,-7.2339,-28.5746,-119.1914,-5.1911,-3.9991,0.7727,-0.3903,-0.3502,0.0607,0.5390,-0.3003,0.1203,0.6380,0.1049,0.2821,0.1973,0.6841,-0.2664,-0.0831,-0.0970
17,Operating Income,-500000,-1300000,-3300000,-5490465,-7738197,-14321427,-28427438,-29398455,-26334772,-26511527,-41607462,47538000,-17095000,-22072000,3625000,70698000,-30353000,9317000,236814000,-50400000,24509000,-42180000,43659000,-194428000,-82155000,9424000
18,Operating Income ratio,-1.6667,-2.1667,-4.1250,-47.6078,-4.3566,-3.8988,-17.1127,-29.9376,-130.0040,-6.0181,-4.3562,0.7249,-0.4906,-0.3823,0.0449,0.5317,-0.3342,0.0694,0.6067,-0.1471,0.0538,-0.1108,0.1400,-0.8472,-0.7730,0.0849
19,Total Other Income Expenses (Gains),- -,- -,500000,-12015000,-2187627,-3173409,15564333,-5359,-439865,2044255,2030674,2273000,1794000,49000,267000,424000,481000,-4737000,-23706000,-72837000,-89011000,-61745000,-5684000,-28056000,36642000,-9977000
