,https://roic.ai/company/RFIL,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6083545,6800000,6500000,6100000,8902111,9481889,8915935,9875499,11227242,13151576,15187893,14853039,17695146,14213045,16322178,19433503,30232653,36625000,23115000,32804000,30241000,30964000,50196000,55325000,43044000,57424000
2,COGS,3271470,- -,2800000,2600000,4236230,4700546,4669673,5079307,5539945,6966101,7932097,7965850,8789604,7308479,8158798,10097130,16998833,20660000,12662000,21537000,21778000,22242000,33096000,39688000,31478000,39656000
3,Gross Profit,2812075,- -,3700000,3500000,4665881,4781343,4246262,4796192,5687297,6185475,7255796,6887189,8905542,6904566,8163380,9336373,13233820,15965000,10453000,11267000,8463000,8722000,17100000,15637000,11566000,17768000
4,Gross Profit Ratio,0.4622,- -,0.5692,0.5738,0.5241,0.5043,0.4763,0.4857,0.5066,0.4703,0.4777,0.4637,0.5033,0.4858,0.5001,0.4804,0.4377,0.4359,0.4522,0.3435,0.2799,0.2817,0.3407,0.2826,0.2687,0.3094
5,Research and Development Exp.,- -,- -,- -,300000,- -,505426,644120,753562,486202,553542,516498,571237,1050574,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1989000,1479000
6,General and Administrative Exp.,1429296,- -,2100000,1800000,2627729,2876983,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1429296,- -,2100000,1800000,2627729,2876983,2964072,2849506,3154074,4890002,4311515,4625065,5341576,5788663,6021832,8200268,9158580,7810000,7239000,9126000,9560000,7506000,8173000,9710000,9980000,11874000
9,Other Expenses,462930,- -,400000,200000,168285,- -,220509,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1377000,948000,923000,747000,845000,1480000,1468000,- -,- -
10,Operating Expenses,1892226,- -,2500000,2300000,2796014,3382409,3828701,3603068,3640276,5443544,4828013,5196302,6392150,5788663,6021832,8200268,9158580,9187000,8187000,10049000,10307000,8351000,9653000,11178000,11969000,13353000
11,COGS and Expenses,5163696,- -,5300000,4900000,7032244,8082955,8498374,8682375,9180221,12409645,12760110,13162152,15181754,13097142,14180630,18297398,26157413,29847000,20849000,31586000,32085000,30593000,42749000,50866000,43447000,53009000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193429,86614,44542,37669,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28804,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,109177,50000,400000,200000,168285,237816,185716,158040,168136,222435,271209,268707,211389,239777,214266,391633,599824,652000,592000,996000,1036000,877000,513000,563000,1014000,770000
15,EBITDA,1085575,650000,1700000,1500000,2352101,1796325,957700,1373485,2232267,1061095,3034596,2347306,2983162,1339346,2305100,1575007,4710885,6310000,2990000,2305000,-3705000,1393000,7827000,5120000,566000,7987000
16,EBITDA ratio,0.1784,0.0956,0.2615,0.2459,0.2642,0.1894,0.1074,0.1391,0.1988,0.0807,0.1998,0.1580,0.1686,0.0942,0.1412,0.0810,0.1558,0.1723,0.1294,0.0703,-0.1225,0.0450,0.1559,0.0925,0.0131,0.1391
17,Operating Income,919849,6800000,1200000,1200000,1869867,1398934,417561,1193124,2047021,741931,2427783,1690887,2513392,906140,2004220,1136105,4075240,6778000,2266000,1218000,-4688000,371000,7447000,4459000,-403000,4415000
18,Operating Income ratio,0.1512,1.0000,0.1846,0.1967,0.2100,0.1475,0.0468,0.1208,0.1823,0.0564,0.1598,0.1138,0.1420,0.0638,0.1228,0.0585,0.1348,0.1851,0.0980,0.0371,-0.1550,0.0120,0.1484,0.0806,-0.0094,0.0769
19,Total Other Income Expenses (Gains),56549,- -,100000,100000,313949,159575,354423,22321,17110,96729,335604,387712,258381,193429,86614,15738,37669,20000,29000,35000,5000,29000,47000,98000,-45000,2802000
20,Income Before Tax,976398,- -,1300000,1300000,2183816,1558509,771984,1215445,2064131,838660,2763387,2078599,2771773,1099569,2090834,1151843,4112909,6798000,2295000,1253000,-4683000,400000,7494000,4557000,-448000,7217000
21,Income Before Tax Ratio,0.1605,- -,0.2000,0.2131,0.2453,0.1644,0.0866,0.1231,0.1839,0.0638,0.1819,0.1399,0.1566,0.0774,0.1281,0.0593,0.1360,0.1856,0.0993,0.0382,-0.1549,0.0129,0.1493,0.0824,-0.0104,0.1257
22,Income Tax expense (Gain),415000,- -,500000,500000,863300,684000,392300,504700,840000,394000,1222715,943376,1212540,443602,870587,378832,1500487,1830000,959000,315000,-652000,134000,1468000,1036000,-367000,1036000
23,Net Income,561398,600000,800000,800000,1320516,874509,379684,710745,1224131,444660,1540672,1135223,1559233,655967,1220247,775738,2610574,3828000,1439000,994000,-4089000,382000,5846000,3521000,-81000,6181000
24,Net Income ratio,0.0923,0.0882,0.1231,0.1311,0.1483,0.0922,0.0426,0.0720,0.1090,0.0338,0.1014,0.0764,0.0881,0.0462,0.0748,0.0399,0.0863,0.1045,0.0623,0.0303,-0.1352,0.0123,0.1165,0.0636,-0.0019,0.1076
