,https://roic.ai/company/ODP,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,33600000,132000000,314600000,625800000,1300800000,1733000000,2579500000,4266200000,5313200000,6068600000,6717500000,8997700000,10263300000,11569696000,11154081000,11356633000,12358566000,13564699000,14278944000,15010781000,15527537000,14495544000,12144467000,11633094000,11489533000,10695652000,11242000000,16096000000,14485000000,11021000000,10240000000,11015000000,10647000000,9710000000,8465000000
2,COGS,25500000,98300000,234700000,467400000,986200000,1313500000,1951600000,3239200000,4050700000,4623600000,5051500000,6349800000,7281700000,8273988000,7996098000,8032518000,8484420000,9308560000,9886921000,10343141000,11024639000,10489785000,8752283000,8275957000,8063087000,7448067000,8616000000,12320000000,10983000000,8313000000,7779000000,8464000000,8183000000,7578000000,6602000000
3,Gross Profit,8100000,33700000,79900000,158400000,314600000,419500000,627900000,1027000000,1262500000,1445000000,1666000000,2647900000,2981600000,3295708000,3157983000,3324115000,3874146000,4256139000,4392023000,4667640000,4502898000,4005759000,3392184000,3357137000,3426446000,3247585000,2626000000,3776000000,3502000000,2708000000,2461000000,2551000000,2464000000,2132000000,1863000000
4,Gross Profit Ratio,0.2411,0.2553,0.2540,0.2531,0.2419,0.2421,0.2434,0.2407,0.2376,0.2381,0.2480,0.2943,0.2905,0.2849,0.2831,0.2927,0.3135,0.3138,0.3076,0.3110,0.2900,0.2763,0.2793,0.2886,0.2982,0.3036,0.2336,0.2346,0.2418,0.2457,0.2403,0.2316,0.2314,0.2196,0.2201
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,743174000,723114000,658832000,- -,672827000,2560000000,3560000000,3042000000,2242000000,2022000000,2218000000,2101000000,1832000000,1558000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",10300000,31400000,69700000,135900000,261300000,336500000,484900000,784400000,953600000,1123100000,1266000000,1989400000,2366400000,2876466000,2795116000,2817663000,3403889000,3726164000,4043981000,3948139000,4026790000,4065836000,3631014000,3343133000,3392692000,672827000,2560000000,3560000000,3042000000,2242000000,2022000000,2218000000,2101000000,1832000000,1558000000
9,Other Expenses,200000,1000000,2800000,6600000,15300000,20800000,30400000,49600000,64800000,82500000,97000000,140900000,168600000,205710000,20561000,16599000,- -,-2000,- -,-13982000,-7493000,-7308000,- -,- -,- -,-68314000,- -,- -,- -,- -,- -,- -,- -,- -,- -
