,https://roic.ai/company/JNCE,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,37197000,71644000,65201000,147872000,62339000,26907
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,62339,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.0010,- -
5,Research and Development Exp.,11243000,22130000,34904000,67798000,70052000,67135000,78690000,88979
6,General and Administrative Exp.,4969000,8266000,16759000,23061000,26443000,27920000,28766000,28984
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4969000,8266000,16759000,23061000,26443000,27920000,28766000,28984
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,16212000,30396000,51663000,90859000,96495000,95055000,107456000,117963
11,COGS and Expenses,16212000,30396000,51663000,90859000,96495000,95055000,107456000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1106000,1470000,1944000,4422000,3831000,3851000,3401000,2827000
15,EBITDA,-15106000,-28926000,-11759000,-11985000,-23502000,60720000,-40427000,2736143
16,EBITDA ratio,-Infinity,-Infinity,-0.3161,-0.1673,-0.3605,0.4106,-0.6485,101.6889
17,Operating Income,-16212000,-30396000,-14466000,-19215000,-31294000,52817000,-45117000,-91056000
18,Operating Income ratio,-Infinity,-Infinity,-0.3889,-0.2682,-0.4800,0.3572,-0.7237,-3384.1008
19,Total Other Income Expenses (Gains),5696000,1864000,763000,2808000,3961000,4052000,1289000,90965143
20,Income Before Tax,-10516000,-28532000,-13703000,-16407000,-27333000,56869000,-43828000,-90857
21,Income Before Tax Ratio,-Infinity,-Infinity,-0.3684,-0.2290,-0.4192,0.3846,-0.7031,-3.3767
22,Income Tax expense (Gain),- -,- -,- -,36000,46000,46000,14000,15
23,Net Income,-10516000,-28532000,-13703000,-16443000,-27379000,56823000,-43842000,-90872
24,Net Income ratio,-Infinity,-Infinity,-0.3684,-0.2295,-0.4199,0.3843,-0.7033,-3.3773
25,EPS,-0.59,-1.64,-0.77,-0.57,-0.84,1.72,-1.24,-1.82
26,EPS Diluted,-0.59,-1.64,-0.77,-0.57,-0.84,1.66,-1.24,-1.82
27,Weighted Average Shares Outstanding,22089930,18521924,30162026,30055000,32567000,33080000,35426000,49931000
28,Weighted Average Shares Outstanding Diluted,22089930,18521924,30162026,30055000,32567000,34294000,35426000,49931000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1640455/000164045518000030/0001640455-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1640455/000164045519000021/0001640455-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1640455/000164045520000034/0001640455-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1640455/000164045521000055/0001640455-21-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1640455/000164045522000029/0001640455-22-000029-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,2338000,45161000,44848000,23559000,47906000,53241000,147493000,95529000
32,Short-Term Investments,- -,- -,104410000,212093000,141968000,115602000,58985000,83037000
33,Cash and Short-Term Investments,2338000,45161000,149258000,235652000,189874000,168843000,206478000,178566000
34,Net Receivables,- -,- -,709000,17706000,414000,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,527000,550000,1820000,2239000,1921000,4854000,4913000,12261000
37,Total Current Assets,2865000,45711000,151787000,255597000,192209000,173697000,211391000,190827000
38,PP&E,4339000,5093000,7241000,16151000,13540000,28287000,22192000,16759000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,108116000,22199000,5990000,1601000,6710000,41657000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,311000,2171000,4168000,2713000,2713000,2297000,3943000,3453000
45,Total Non-Current Assets,4650000,7264000,119525000,41063000,22243000,32185000,32845000,61869000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7515000,52975000,271312000,296660000,214452000,205882000,244236000,252696000
48,Accounts Payable,753000,2618000,3511000,2849000,3272000,2460000,2036000,1674000
49,Short-Term Debt,- -,- -,- -,- -,- -,2901000,3271000,7390000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,80544000,51142000,55157000,- -,1931000,- -
52,Other Current Liabilities,1709000,4104000,6618000,8560000,7117000,9039000,12086000,9834000
53,Total Current Liabilities,2462000,6722000,90673000,62551000,65546000,14400000,19324000,18898000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,9993000
55,Deferred Revenue,- -,- -,107260000,65018000,42715000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,5588000,1397000,1508000,1982000,2062000,16889000,13618000,- -
58,Total Non-Current Liabilities,5588000,1397000,108768000,67000000,44777000,16889000,13618000,9993000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,19790000,16889000,- -
61,Total Liabilities,8050000,8119000,199441000,129551000,110323000,31289000,32942000,28891000
62,Preferred Stock,27313000,102961000,139038000,- -,- -,- -,- -,- -
63,Common Stock,154000,657000,1923000,32000,33000,34000,42000,51000
64,Retained Earnings,-28005000,-59469000,-73172000,-89615000,-163907000,-107159000,-151001000,-241873000
65,Other Comprehensive Income/Loss,- -,- -,-433000,-409000,-78000,54000,-17000,-238000
66,Other Total Stockholders Equity,3000,707000,4515000,257101000,268081000,281664000,362270000,465865000
67,Total Stockholders Equity,-535000,44856000,71871000,167109000,104129000,174593000,211294000,223805000
68,Total Liabilities And Stockholders Equity,7515000,52975000,271312000,296660000,214452000,205882000,244236000,252696000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7515000,52975000,271312000,296660000,214452000,205882000,244236000,252696000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1640455/000164045518000030/0001640455-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1640455/000164045519000021/0001640455-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1640455/000164045520000034/0001640455-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1640455/000164045521000055/0001640455-21-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1640455/000164045522000029/0001640455-22-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-10516000,-28532000,-13703000,-16443000,-27379000,56823000,-43842000,-90872
74,Depreciation and Amortization,1106000,1470000,1944000,4422000,3831000,3851000,3401000,2827000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,332000,1352000,4989000,4775000,9407000,9609000,9771000,11477000
77,Change in Working Capital,-320000,38586000,22125000,131932000,-66383000,32634000,32770000,-20138000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-301000,673000,-312000,373000,562000,-944000,-296000,-329000
81,Other Working Capital,403000,38989000,61114000,193046000,126663000,159297000,192067000,171929000
82,Other Non-Cash Items,-5511000,-38615000,164333000,-215424000,16911000,-133046000,-29888000,-77569128
83,Cash Provided by Operating Activities,-14909000,-25739000,179688000,-90738000,-63613000,-30129000,-27788000,-83494000
84,CAPEX,-699000,-2202000,-2222000,-15107000,-1359000,-985000,-94000,-373000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-213286000,-179874000,-252918000,-188999000,-85895000,-130272000
87,Sales/Maturities of Investments,- -,- -,- -,156960000,340691000,221366000,137287000,70131000
88,Other Investing Activites,-10000,60000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-709000,-2142000,-215508000,-38021000,86414000,31382000,51298000,-60514000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,45000,8000
91,Common Stock Issued,22000,112000,50000,107008000,- -,3645000,70142000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,14984000,70592000,35457000,462000,1546000,437000,555000,92036000
95,Cash Used/Provided by Financing Activities,15006000,70704000,35507000,107470000,1546000,4082000,70742000,92044000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-612000,42823000,-313000,-21289000,24347000,5335000,94252000,-51964000
98,Cash at the End of Period,2338000,45161000,44848000,23559000,49176000,54511000,148763000,96799000
99,Cash at the Beginning of Period,2950000,2338000,45161000,44848000,24829000,49176000,54511000,148763000
100,Free Cash Flow,-15608000,-27941000,177466000,-105845000,-64972000,-31114000,-27882000,-83867000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1640455/000164045518000030/0001640455-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1640455/000164045519000021/0001640455-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1640455/000164045520000034/0001640455-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1640455/000164045521000055/0001640455-21-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1640455/000164045522000029/0001640455-22-000029-index.htm
102,false,,,,,,,,
