,https://roic.ai/company/RPAY,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,93951121,- -,- -,155035943,219258038
2,COGS,- -,57601336,- -,- -,41447056,- -
3,Gross Profit,- -,36349785,- -,- -,113588887,163774234
4,Gross Profit Ratio,- -,0.3869,- -,- -,0.7327,0.7469
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,1151231,- -,87302,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,1151231,- -,87302,120052895
9,Other Expenses,- -,22060699,- -,- -,99744,- -
10,Operating Expenses,- -,22060699,1151231,- -,187046,- -
11,COGS and Expenses,- -,79662035,1151231,- -,189555529,265228406
12,Interest Income ,- -,- -,2559541,- -,-14445000,- -
13,Interest Expense (Gain),- -,5706232,- -,- -,14445000,- -
14,Depreciation and Amortization,- -,7456438,- -,29979810,60806659,- -
15,EBITDA,- -,22610914,-1266349,- -,28124286,- -
16,EBITDA ratio,- -,0.2407,-Infinity,- -,0.1814,- -
17,Operating Income,- -,16389086,-1151231,- -,-32009586,-53995994
18,Operating Income ratio,- -,0.1744,-Infinity,- -,-0.2065,-0.2463
19,Total Other Income Expenses (Gains),- -,-6940842,2674659,- -,-26887470,-37078235
20,Income Before Tax,- -,9448244,1523428,- -,-58897056,- -
21,Income Before Tax Ratio,- -,0.1006,Infinity,- -,-0.3799,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,-12358025,- -
23,Net Income,- -,9448244,1523428,- -,-34769348,- -
24,Net Income ratio,- -,0.1006,Infinity,- -,-0.2243,- -
25,EPS,- -,1.45,-0.14,- -,-0.67,-0.63
26,EPS Diluted,- -,1.45,-0.14,- -,-0.67,-0.63
27,Weighted Average Shares Outstanding,- -,6523554,7166771,37530568,52180911,88273194
28,Weighted Average Shares Outstanding Diluted,- -,6523554,7166771,37530568,52180911,88273194
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1720592/000121390019004799/0001213900-19-004799-index.html,https://www.sec.gov/Archives/edgar/data/1720592/000156459020011183/0001564590-20-011183-index.html,https://www.sec.gov/Archives/edgar/data/1720592/000156459021009893/0001564590-21-009893-index.htm,https://www.sec.gov/Archives/edgar/data/1720592/000156459022008043/0001564590-22-008043-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,25817,108818,24617996,91129888,50048657
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,25817,108818,24617996,91129888,50048657
34,Net Receivables,- -,- -,- -,14631561,21310724,- -
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,130612,4632965,6925115,- -
37,Total Current Assets,- -,25817,239430,43882522,119365727,- -
38,PP&E,- -,- -,- -,1610652,11702945,- -
39,Goodwill,- -,- -,- -,389660519,458970255,- -
40,Intangible Assets,- -,- -,- -,311840801,346997138,577693902
