,https://roic.ai/company/PBF,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,228000,210671000,14960338000,20138687000,19151455000,19828155000,13123929000,15920424000,21786637000,27186093000,24508200000,15115900000,27253400000
2,COGS,- -,203971000,14513994000,19007902000,18615966000,19354343000,12386139000,15021539000,20827224000,26583478000,23595100000,16745600000,26366200000
3,Gross Profit,228000,6700000,446344000,1130785000,535489000,473812000,737790000,898885000,959413000,602615000,913100000,-1629700000,887200000
4,Gross Profit Ratio,1.0000,0.0318,0.0298,0.0561,0.0280,0.0239,0.0562,0.0565,0.0440,0.0222,0.0373,-0.1078,0.0326
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,120443000,104334000,143671000,181266000,166452000,214773000,276955000,284000000,248500000,247300000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,120443000,104334000,143671000,181266000,166452000,214773000,276955000,284000000,248500000,247300000
9,Other Expenses,6338000,42401000,139926000,92238000,111479000,180382000,179267000,209268000,-237958000,-3259000,10800000,11300000,13300000
10,Operating Expenses,6338000,42401000,139926000,212681000,215813000,324053000,360533000,375720000,-23185000,273696000,294800000,259800000,260600000
11,COGS and Expenses,6338000,246372000,14653920000,19220583000,18831779000,19678396000,12746672000,15397259000,20804039000,26857174000,23889900000,17005400000,26626800000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),10000,1388000,- -,108629000,93784000,98764000,106187000,150045000,154427000,169911000,159600000,258200000,317500000
14,Depreciation and Amortization,43000,1530000,56919000,97650000,118001000,188209000,207004000,232948000,299860000,378596000,447500000,581100000,483800000
15,EBITDA,6153000,-41439000,299590000,209510000,268006000,226324000,546317000,691454000,1185388000,710329000,1030800000,-551000000,1044400000
16,EBITDA ratio,26.9868,-0.1967,0.0200,0.0104,0.0140,0.0114,0.0416,0.0434,0.0544,0.0261,0.0421,-0.0365,0.0383
17,Operating Income,6110000,-41752000,305690000,920433000,319859000,150654000,360111000,498883000,730218000,358120000,649000000,-1416800000,597200000
18,Operating Income ratio,26.7982,-0.1982,0.0204,0.0457,0.0167,0.0076,0.0274,0.0313,0.0335,0.0132,0.0265,-0.0937,0.0219
19,Total Other Income Expenses (Gains),- -,-6051000,-63019000,-115121000,-89093000,-94795000,-77853000,-135715000,68797000,-149322000,-169500000,85600000,-269600000
20,Income Before Tax,- -,- -,242671000,805312000,230766000,55859000,282258000,363168000,799015000,208798000,479500000,-1331200000,327600000
21,Income Before Tax Ratio,- -,- -,0.0162,0.0400,0.0120,0.0028,0.0215,0.0228,0.0367,0.0077,0.0196,-0.0881,0.0120
22,Income Tax expense (Gain),- -,- -,- -,1275000,16681000,-22412000,86725000,137650000,315584000,33507000,104300000,2100000,12100000
23,Net Income,6100000,-44357000,242671000,1956000,39540000,-38237000,146401000,170811000,415517000,128315000,319400000,-1392400000,231000000
24,Net Income ratio,26.7544,-0.2106,0.0162,0.0001,0.0021,-0.0019,0.0112,0.0107,0.0191,0.0047,0.0130,-0.0921,0.0085
25,EPS,0.30,-2.16,11.84,0.08,1.22,-0.51,1.66,1.74,3.78,1.11,2.66,-11.64,1.92
26,EPS Diluted,0.30,-2.16,11.84,0.08,1.20,-0.51,1.65,1.74,3.73,1.10,2.64,-11.64,1.90
27,Weighted Average Shares Outstanding,20500000,20500000,20500000,23570240,32488369,74464494,88106999,98334302,109779407,115190262,119887646,119617998,120240009
28,Weighted Average Shares Outstanding Diluted,20500000,20500000,20500000,97230904,33061081,74464494,94138850,103606709,113898845,118773606,121853299,120660665,122638154
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1534504/000119312513084119/0001193125-13-084119-index.htm,https://www.sec.gov/Archives/edgar/data/1534504/000153450414000011/pbf-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1534504/000153450415000015/pbf-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1534504/000153450416000118/0001534504-16-000118-index.html,https://www.sec.gov/Archives/edgar/data/1534504/000153450417000017/0001534504-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1534504/000153450418000016/0001534504-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/1534504/000153450419000012/0001534504-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1534504/000153450420000030/0001534504-20-000030-index.html,https://www.sec.gov/Archives/edgar/data/1534504/000153450421000008/0001534504-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1534504/000153450422000007/0001534504-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,18771000,155457000,50166000,285884000,76970000,397873000,944320000,746274000,573021000,597286000,814900000,1609500000,1341500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,40024000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,18771000,155457000,50166000,285884000,76970000,397873000,944320000,786298000,573021000,597286000,814900000,1609500000,1341500000
34,Net Receivables,- -,36937000,316252000,503796000,596647000,551269000,454759000,620175000,952552000,718207000,835000000,512900000,1277600000
35,Inventory,- -,376629000,1516727000,1497119000,1445517000,1102261000,1174272000,1863560000,2213797000,1865831000,2122200000,1686200000,2505100000
36,Other Current Assets,79000,11106000,63359000,21105000,81372000,295268000,448660000,137222000,63589000,55608000,51600000,58800000,75000000
37,Total Current Assets,18850000,580129000,1946504000,2307904000,2200506000,2346671000,3022011000,3407255000,3802959000,3236932000,3823700000,3867400000,5199200000
38,PP&E,127000,639565000,1513947000,1635587000,1781589000,1936839000,2356638000,3328770000,3479213000,3820892000,4353800000,5760200000,5619300000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,1085000,653000,357000,219000,577000,537000,25648000,24300000,10100000,9600000
41,Intangible Assets,- -,- -,- -,1085000,653000,357000,219000,577000,537000,25648000,24300000,10100000,9600000
42,Investments,- -,- -,- -,- -,- -,234930000,234258000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,112862000,169234000,345179000,201504000,379306000,53638000,48500000,- -,- -,- -
44,Other Non-Current Assets,173000,54699000,160658000,196264000,261826000,332312000,290494000,506019000,781646000,873443000,930600000,862100000,813300000
45,Total Non-Current Assets,300000,694264000,1674605000,1945798000,2213302000,2849617000,3083113000,4214672000,4315034000,4768483000,5308700000,6632400000,6442200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,19150000,1274393000,3621109000,4253702000,4413808000,5196288000,6105124000,7621927000,8117993000,8005415000,9132400000,10499800000,11641400000
48,Accounts Payable,75000,36302000,286067000,360057000,402293000,335268000,315653000,535907000,578551000,488432000,601400000,407000000,911700000
