,https://roic.ai/company/CSWI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,142800000,171000000,199094000,231713000,261834000,319831000,327084000,326222000,350155000,385871000,419205000
2,COGS,76500000,92600000,104512000,119627000,135409000,171967000,193247000,178306000,188785000,208821000,234405000
3,Gross Profit,66300000,78400000,94582000,112086000,126425000,147864000,133837000,147916000,161370000,177050000,184800000
4,Gross Profit Ratio,0.4643,0.4585,0.4751,0.4837,0.4828,0.4623,0.4092,0.4534,0.4609,0.4588,0.4408
5,Research and Development Exp.,- -,- -,4322000,- -,5688000,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,46600000,53700000,24699000,72864000,35508000,100378000,107241000,97202000,100930000,110032000,- -
7,Selling and Marketing Exp.,- -,- -,33314000,- -,40485000,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",46600000,53700000,58013000,72864000,75993000,100378000,107241000,97202000,100930000,110032000,- -
9,Other Expenses,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,125330000
10,Operating Expenses,46700000,53800000,62335000,72864000,81681000,100378000,107241000,97202000,100930000,110032000,125330000
11,COGS and Expenses,123200000,146400000,166847000,192491000,217090000,272345000,300488000,275508000,289715000,318853000,359735000
12,Interest Income ,- -,- -,589000,- -,404000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,515000,131000,1015000,3035000,2695000,2317000,1442000,1331000,2383000
14,Depreciation and Amortization,- -,- -,6701000,9113000,10515000,14161000,15796000,14933000,13836000,14845000,23037000
15,EBITDA,20400000,24600000,39621000,46770000,56458000,61421000,40035000,20933000,76241000,74838000,76538000
16,EBITDA ratio,0.1429,0.1439,0.1990,0.2018,0.2156,0.1920,0.1224,0.0642,0.2177,0.1939,0.1826
17,Operating Income,19700000,24600000,32247000,37913000,44034000,47486000,22481000,50714000,60440000,66067000,59470000
18,Operating Income ratio,0.1380,0.1439,0.1620,0.1636,0.1682,0.1485,0.0687,0.1555,0.1726,0.1712,0.1419
19,Total Other Income Expenses (Gains),700000,- -,973000,-387000,894000,-3261000,-937000,-2467000,1001000,-8466000,-8352000
20,Income Before Tax,20400000,24600000,33220000,37526000,44928000,44225000,21544000,48247000,61441000,57601000,51118000
21,Income Before Tax Ratio,0.1429,0.1439,0.1669,0.1620,0.1716,0.1383,0.0659,0.1479,0.1755,0.1493,0.1219
22,Income Tax expense (Gain),6200000,7800000,10707000,12794000,15223000,18754000,10473000,15565000,15389000,12784000,10830000
23,Net Income,14200000,16800000,21698000,24732000,29705000,25471000,11071000,-11882000,45574000,45878000,40288000
24,Net Income ratio,0.0994,0.0982,0.1090,0.1067,0.1134,0.0796,0.0338,-0.0364,0.1302,0.1189,0.0961
25,EPS,0.91,1.08,1.40,1.59,1.93,1.63,0.70,-0.76,2.96,3.05,2.68
26,EPS Diluted,0.91,1.08,1.40,1.59,1.93,1.62,0.70,-0.76,2.93,3.02,2.66
27,Weighted Average Shares Outstanding,15600000,15600000,15489000,15583000,15489000,15625000,15773000,15671000,15414000,15039000,15032836
28,Weighted Average Shares Outstanding Diluted,15600000,15600000,15489000,15583000,15489000,15675000,15839000,15671000,15532000,15206000,15145865
