,https://roic.ai/company/ARCE,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,116505000,159270000,244382000,380981000,572837000,1001710000,1232074000
2,COGS,28039000,41324000,58517000,80745000,117258000,221130000,294407000
3,Gross Profit,88466000,117946000,185865000,300236000,455579000,780580000,937667000
4,Gross Profit Ratio,0.7593,0.7405,0.7606,0.7881,0.7953,0.7792,0.7610
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,24600000,30606000,48931000,125110000,179677000,248112000,328643000
7,Selling and Marketing Exp.,20295000,40317000,65314000,113270000,199780000,372269000,496298000
8,"Selling, General and Administrative Exp.",44895000,70923000,114245000,238380000,379457000,620381000,824941000
9,Other Expenses,2015000,-1562000,-3299000,-212000,18048000,24704000,-16673000
10,Operating Expenses,46910000,69361000,110946000,238168000,397505000,645085000,808268000
11,COGS and Expenses,74949000,110685000,169463000,318913000,514763000,866215000,1102675000
12,Interest Income ,- -,- -,- -,- -,1042000,4721000,91212000
13,Interest Expense (Gain),378000,90000,11179000,9781000,43695000,91277000,372086000
14,Depreciation and Amortization,3119000,5757000,14288000,19594000,48314000,127455000,194885000
15,EBITDA,55760000,99419000,91823000,-70990000,49475000,257834000,393314000
16,EBITDA ratio,0.4786,0.6242,0.3757,-0.1863,0.0864,0.2574,0.3192
17,Operating Income,41556000,48585000,74919000,62068000,58074000,135495000,129399000
18,Operating Income ratio,0.3567,0.3050,0.3066,0.1629,0.1014,0.1353,0.1050
19,Total Other Income Expenses (Gains),10707000,44253000,-8563000,-162969000,-100608000,-96393000,-303056000
20,Income Before Tax,52263000,92838000,66356000,-100901000,-42534000,39102000,-173657000
21,Income Before Tax Ratio,0.4486,0.5829,0.2715,-0.2648,-0.0743,0.0390,-0.1409
22,Income Tax expense (Gain),8338000,18443000,22716000,-17985000,-33103000,22322000,-15574000
23,Net Income,43925000,75129000,43640000,-82380000,-9431000,16780000,-158083000
24,Net Income ratio,0.3770,0.4717,0.1786,-0.2162,-0.0165,0.0168,-0.1283
25,EPS,3.95,6.76,3.93,-1.64,-0.18,0.30,-1.98
26,EPS Diluted,3.95,6.76,3.93,-1.64,-0.18,0.30,-1.98
27,Weighted Average Shares Outstanding,11111111,11111111,11111111,50261000,51552000,55758000,79867332
28,Weighted Average Shares Outstanding Diluted,11111111,11111111,11111111,50261000,51552000,55919000,79867332
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1740594/000110465920041137/0001104659-20-041137-index.html,https://www.sec.gov/Archives/edgar/data/1740594/000110465921045018/0001104659-21-045018-index.htm,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,4358000,834000,12301000,48900000,424410000,211143000
32,Short-Term Investments,- -,65615000,83009000,806789000,574804000,712645000,973294000
33,Cash and Short-Term Investments,- -,69973000,83843000,819090000,623704000,1137055000,1184437000
34,Net Receivables,- -,70896000,100048000,147838000,346338000,444556000,636645000
35,Inventory,- -,12550000,18820000,15131000,40106000,74076000,158582000
36,Other Current Assets,- -,8601000,7329000,6091000,18424000,24073000,67263000
37,Total Current Assets,- -,162020000,210040000,988150000,1028572000,1679760000,2046927000
38,PP&E,- -,5699000,9079000,13347000,42959000,56109000,109845000
39,Goodwill,- -,33210000,89634000,89634000,916767000,1394351000,- -
40,Intangible Assets,- -,53054000,85849000,98106000,895136000,1155286000,- -
41,Intangible Assets,- -,86264000,175483000,187740000,1811903000,2549637000,3257360000
42,Investments,- -,46006000,12853000,16232000,53264000,20003000,167635000
43,Tax Assets,- -,3719000,5860000,99460000,156748000,236903000,321223000
44,Other Non-Current Assets,- -,19161000,17094000,29949000,67977000,33868000,87129000
45,Total Non-Current Assets,- -,160849000,220369000,346728000,2132851000,2896520000,3943192000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,322869000,430409000,1334878000,3161423000,4576280000,5990119000
48,Accounts Payable,- -,11246000,18854000,15675000,152480000,696939000,902845000
49,Short-Term Debt,- -,- -,- -,- -,105406000,120448000,248570000
50,Tax Payable,- -,3035000,18454000,19849000,59546000,54407000,45728000
51,Deferred Revenue,- -,1948000,5898000,5997000,25626000,23080000,35291000
52,Other Current Liabilities,- -,36902000,44922000,36216000,128664000,139807000,206505000
53,Total Current Liabilities,- -,50096000,69674000,57888000,412176000,980274000,1393211000
54,Long-Term Debt,- -,- -,- -,- -,19012000,225891000,1625875000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,6233000,80000,1378000,- -,- -,- -
57,Other Non-Current Liabilities,- -,25372000,54920000,205728000,1135425000,1169231000,1095799000
58,Total Non-Current Liabilities,- -,31605000,55000000,207106000,1154437000,1395122000,2721674000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,25857000,35220000,43118000
61,Total Liabilities,- -,81701000,124674000,264994000,1566613000,2375396000,4114885000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,48517000,55897000,10000,11000,11000,11000
64,Retained Earnings,- -,- -,- -,-86687000,-97369000,-80589000,-238672000
65,Other Comprehensive Income/Loss,- -,187372000,242674000,1089505000,1607622000,2200645000,2203857000
66,Other Total Stockholders Equity,- -,5163000,7053000,67350000,84546000,80817000,-89962000
67,Total Stockholders Equity,- -,241052000,305624000,1070178000,1594810000,2200884000,1875234000
68,Total Liabilities And Stockholders Equity,- -,322753000,430298000,1335172000,3161423000,4576280000,5990119000
69,Minority Interest,- -,116000,111000,-294000,- -,- -,- -
70,Total Liabilities & Equity,- -,322869000,430409000,1334878000,3161423000,4576280000,5990119000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1740594/000110465920041137/0001104659-20-041137-index.html,https://www.sec.gov/Archives/edgar/data/1740594/000110465921045018/0001104659-21-045018-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,43925000,75129000,43640000,-82380000,-9431000,16780000,-173657000
74,Depreciation and Amortization,3119000,5757000,14288000,19594000,48314000,127455000,194885000
75,Deferred Income Tax,- -,- -,- -,- -,8333000,-2997000,235000
76,Stock Based Compensation,3120000,2043000,1890000,60297000,33043000,36333000,70127000
77,Change in Working Capital,-32547000,-24040000,-30940000,-50986000,-129488000,-129312000,-299059000
