,https://roic.ai/company/RGNX,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,6087000,6120000,7588000,4589000,10393000,218505000,35233000,154567000,- -
2,COGS,324000,1007000,1503000,959000,1709000,9640000,8241000,35714000,- -
3,Gross Profit,5763000,5113000,6085000,3630000,8684000,208865000,26992000,118853000,- -
4,Gross Profit Ratio,0.9468,0.8355,0.8019,0.7910,0.8356,0.9559,0.7661,0.7689,- -
5,Research and Development Exp.,5051000,4961000,17279000,45482000,57224000,83873000,124185000,166294000,- -
6,General and Administrative Exp.,5474000,3851000,11912000,23590000,27229000,36850000,51815000,63817000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5474000,3851000,11912000,23590000,27229000,36850000,51815000,63817000,- -
9,Other Expenses,- -,-47000,-26000,-102000,116000,42000,-10000,7975000,- -
10,Operating Expenses,10525000,8765000,29165000,68970000,84569000,120765000,175990000,238086000,- -
11,COGS and Expenses,10849000,9772000,30668000,69929000,86278000,130405000,184231000,273800000,310367000
12,Interest Income ,- -,- -,- -,- -,- -,8946000,2951000,4271000,- -
13,Interest Expense (Gain),611000,321000,20000,- -,- -,- -,- -,771000,- -
14,Depreciation and Amortization,- -,- -,80000,544000,2686000,3982000,7152000,8407000,- -
15,EBITDA,-4776000,-3682000,-22711000,-62858000,-70483000,108098000,-90336000,-96832000,- -
16,EBITDA ratio,-0.7846,-0.6016,-2.9930,-13.6975,-6.7818,0.4947,-2.5640,-0.6265,- -
17,Operating Income,-4776000,-3682000,-23137000,-65340000,-75885000,88100000,-148998000,-119233000,159980000
18,Operating Income ratio,-0.7846,-0.6016,-3.0492,-14.2384,-7.3015,0.4032,-4.2289,-0.7714,Infinity
19,Total Other Income Expenses (Gains),-611000,-321000,326000,1938000,2716000,16016000,51510000,13223000,- -
20,Income Before Tax,-5387000,-4003000,-22811000,-63402000,-73169000,104116000,-97488000,-106010000,- -
21,Income Before Tax Ratio,-0.8850,-0.6541,-3.0062,-13.8161,-7.0402,0.4765,-2.7670,-0.6859,- -
22,Income Tax expense (Gain),- -,- -,- -,-435000,- -,4179000,-2755000,5240000,- -
23,Net Income,-5387000,-4003000,-22811000,-62967000,-73169000,99937000,-94733000,-111250000,- -
24,Net Income ratio,-0.8850,-0.6541,-3.0062,-13.7213,-7.0402,0.4574,-2.6888,-0.7198,- -
25,EPS,-0.44,-0.58,-2.59,-2.38,-2.45,2.99,-2.58,-2.98,3.01
26,EPS Diluted,-0.44,-0.58,-2.59,-2.38,-2.45,2.73,-2.58,-2.98,2.91
27,Weighted Average Shares Outstanding,13149000,6943000,9173000,26409000,29878000,33427000,36690000,37281000,42438000
28,Weighted Average Shares Outstanding Diluted,13149000,6943000,9173000,26409000,29878000,36648000,36690000,37281000,43913000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1590877/000156459016013941/0001564590-16-013941-index.htm,https://www.sec.gov/Archives/edgar/data/1590877/000156459017003576/0001564590-17-003576-index.htm,https://www.sec.gov/Archives/edgar/data/1590877/000156459018004532/0001564590-18-004532-index.htm,https://www.sec.gov/Archives/edgar/data/1590877/000156459019004920/0001564590-19-004920-index.htm,https://www.sec.gov/Archives/edgar/data/1590877/000156459020006826/0001564590-20-006826-index.htm,https://www.sec.gov/Archives/edgar/data/1590877/000156459021009855/0001564590-21-009855-index.htm,https://www.sec.gov/Archives/edgar/data/1590877/000156459022008055/0001564590-22-008055-index.htm
30,BALANCE SHEET, , , , , , , , , 
