,https://roic.ai/company/ONTO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,22800000,30300000,36700000,20100000,38100000,88107000,79398000,57445000,58500000,- -,82918000,96400000,146300000,102100000,- -,76700000,187196000,182900000,144300000,166400000,187367000,232780000,258621000,324523000,305896000,556496000,- -
2,COGS,11600000,14200000,15700000,12400000,16700000,41193000,39798000,33576000,33214000,- -,44390000,60600000,84700000,58800000,- -,41400000,86843000,99000000,81600000,90600000,97700000,109229000,121920000,140429000,170868000,278043000,- -
3,Gross Profit,11200000,16100000,21000000,7700000,21400000,46914000,39600000,23869000,25286000,- -,38528000,35800000,61600000,43300000,- -,35300000,100353000,83900000,62700000,75800000,89667000,123551000,136701000,184094000,135028000,278453000,- -
4,Gross Profit Ratio,0.4912,0.5314,0.5722,0.3831,0.5617,0.5325,0.4988,0.4155,0.4322,- -,0.4647,0.3714,0.4211,0.4241,- -,0.4602,0.5361,0.4587,0.4345,0.4555,0.4786,0.5308,0.5286,0.5673,0.4414,0.5004,- -
5,Research and Development Exp.,2600000,2800000,3000000,5100000,5000000,9022000,11625000,11828000,13390000,- -,11901000,14300000,18600000,17100000,- -,14700000,36298000,29600000,32700000,33800000,32701000,44964000,36716000,48188000,48358000,84584000,- -
6,General and Administrative Exp.,5900000,7200000,8800000,7100000,9600000,14463000,12171000,- -,- -,- -,- -,19695000,21739000,19702000,- -,15128000,- -,21643000,22071000,24067000,22444000,- -,26340000,31795000,53017000,17174000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18605000,19561000,17798000,- -,15072000,- -,26457000,27129000,27033000,28055000,- -,30839000,37528000,28251000,48136000,- -
8,"Selling, General and Administrative Exp.",5900000,7200000,8800000,7100000,9600000,14463000,12171000,11025000,10561000,- -,20373000,38300000,41300000,37500000,- -,30200000,40826000,48100000,49200000,51100000,50499000,38562000,57179000,69323000,81268000,65310000,- -
9,Other Expenses,0,-100000,- -,5000000,2000000,1000000,339000,412000,877000,- -,876000,5300000,5700000,72200000,- -,3800000,1757000,700000,2500000,2600000,1494000,2320000,- -,96000,10445000,101882000,- -
10,Operating Expenses,8500000,9900000,11800000,17200000,16600000,24485000,24135000,23265000,24828000,- -,33150000,57900000,65600000,126800000,- -,48700000,78881000,78400000,84400000,87500000,84694000,85846000,93895000,117607000,140071000,251776000,- -
11,COGS and Expenses,20100000,24100000,27500000,29600000,33300000,65678000,63933000,56841000,58042000,- -,77540000,118500000,150300000,185600000,- -,90100000,165724000,177400000,166000000,178100000,182394000,195075000,215815000,258036000,310939000,529819000,- -
12,Interest Income ,- -,- -,- -,- -,- -,2173000,2774000,2050000,1610000,- -,1388000,3345000,4143000,1230000,- -,271000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2899000,- -
13,Interest Expense (Gain),200000,300000,400000,4200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4377000,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,300000,300000,200000,5000000,2000000,1000000,1366000,1645000,2174000,- -,2649000,8672000,10200000,11743000,- -,8646000,6323000,5892000,6936000,7113000,6096000,5997000,5930000,6382000,16410000,67578000,- -
15,EBITDA,4000000,7300000,10000000,-4300000,2700000,24145000,19605000,799000,4242000,- -,9415000,-13751000,6169000,-70521000,- -,-8240000,26717000,14923000,-16583000,-4490000,11664000,55865000,49228000,73906000,15813000,94446000,- -
16,EBITDA ratio,0.1754,0.2409,0.2725,-0.2139,0.0709,0.2740,0.2469,0.0139,0.0725,- -,0.1135,-0.1426,0.0422,-0.6907,- -,-0.1074,0.1427,0.0816,-0.1149,-0.0270,0.0623,0.2400,0.1903,0.2277,0.0517,0.1697,- -
17,Operating Income,2600000,6200000,9100000,-9500000,4800000,22429000,15465000,-2896000,458000,- -,5378000,21245000,12556000,-254952000,- -,-32137000,21472000,34266000,6604000,-1309000,32793000,52348000,59288000,51084000,-5043000,26677000,- -
18,Operating Income ratio,0.1140,0.2046,0.2480,-0.4726,0.1260,0.2546,0.1948,-0.0504,0.0078,- -,0.0649,0.2204,0.0858,-2.4971,- -,-0.4190,0.1147,0.1873,0.0458,-0.0079,0.1750,0.2249,0.2292,0.1574,-0.0165,0.0479,- -
