,https://roic.ai/company/AGS,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,58400000,72140000,123292000,166806000,211955000,285299000,304714000,167007000,259696000
2,COGS,10200000,15776000,24839000,32973000,51589000,78938000,86468000,48876000,63207000
3,Gross Profit,48200000,56364000,98453000,133833000,160366000,206361000,218246000,118131000,196489000
4,Gross Profit Ratio,0.8253,0.7813,0.7985,0.8023,0.7566,0.7233,0.7162,0.7073,0.7566
5,Research and Development Exp.,1900000,4856000,14376000,21346000,25715000,31745000,34338000,26786000,36308000
6,General and Administrative Exp.,18800000,19456000,40088000,46108000,44015000,63038000,61785000,46463000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",18800000,19456000,40088000,46108000,44015000,63038000,61785000,46463000,63749000
9,Other Expenses,61900000,33405000,61662000,80181000,71649000,77535000,91474000,85722000,139936000
10,Operating Expenses,82600000,57717000,116126000,147635000,141379000,172318000,187597000,158971000,239993000
11,COGS and Expenses,92800000,73493000,140965000,180608000,192968000,251256000,274065000,207847000,303200000
12,Interest Income ,- -,42000,82000,57000,108000,207000,163000,1179000,-1064000
13,Interest Expense (Gain),-16200000,17235000,41642000,59963000,55511000,37607000,36248000,41935000,44352000
14,Depreciation and Amortization,29900000,33463000,62158000,84883000,76329000,82087000,97852000,93143000,73938000
15,EBITDA,-36900000,24511000,29166000,60472000,84845000,90471000,116899000,43825000,93520000
16,EBITDA ratio,-0.6318,0.3398,0.2366,0.3625,0.4003,0.3171,0.3836,0.2624,0.3601
17,Operating Income,-34500000,-8421000,-29439000,-17064000,14502000,25290000,23737000,-44169000,19703000
18,Operating Income ratio,-0.5908,-0.1167,-0.2388,-0.1023,0.0684,0.0886,0.0779,-0.2645,0.0759
19,Total Other Income Expenses (Gains),-16200000,-17766000,-45195000,-67310000,-61497000,-54513000,-40707000,-47084000,-44473000
20,Income Before Tax,-50700000,-26187000,-74634000,-84374000,-46995000,-29223000,-16970000,-91253000,-24770000
21,Income Before Tax Ratio,-0.8682,-0.3630,-0.6053,-0.5058,-0.2217,-0.1024,-0.0557,-0.5464,-0.0954
22,Income Tax expense (Gain),100000,2189000,-36089000,-3000000,-1889000,-8377000,-5449000,-5875000,-2198000
23,Net Income,-50700000,-28376000,-38545000,-81374000,-45106000,-20846000,-11752000,-85378000,-22572000
24,Net Income ratio,-0.8682,-0.3933,-0.3126,-0.4878,-0.2128,-0.0731,-0.0386,-0.5112,-0.0869
25,EPS,-1.51,-1.22,-1.66,-3.51,-1.34,-0.61,-0.33,-2.40,-0.63
26,EPS Diluted,-1.51,-1.22,-1.66,-3.51,-1.34,-0.61,-0.33,-2.40,-0.63
27,Weighted Average Shares Outstanding,33600000,23209000,23209000,23209000,33628788,34404000,35424000,35639000,35639000
28,Weighted Average Shares Outstanding Diluted,33600000,23209000,23209000,23209000,33628788,34404000,35424000,35639000,35639000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1593548/000144530514001224/0001445305-14-001224-index.htm,https://www.sec.gov/Archives/edgar/data/1593548/000162828015002062/a2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1593548/000159354816000015/0001593548-16-000015-index.html,https://www.sec.gov/Archives/edgar/data/1593548/000159354817000004/0001593548-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1593548/000162828018003180/0001628280-18-003180-index.html,https://www.sec.gov/Archives/edgar/data/1593548/000159354819000013/0001593548-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1593548/000143774920004337/0001437749-20-004337-index.html,https://www.sec.gov/Archives/edgar/data/1593548/000143774921004999/0001437749-21-004999-index.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774922005866/0001437749-22-005866-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,21700000,10680000,35722000,17977000,19242000,70726000,13162000,81689000,94977000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,21700000,10680000,35722000,17977000,19242000,70726000,13162000,81689000,94977000
34,Net Receivables,7500000,9140000,23653000,24035000,32776000,44704000,61224000,41743000,49426000
35,Inventory,3900000,3175000,7087000,10729000,24455000,27438000,32875000,26902000,27534000
36,Other Current Assets,4300000,4198000,7182000,5761000,6235000,7875000,8335000,8934000,13138000
37,Total Current Assets,37400000,27193000,73644000,58502000,82708000,150743000,115596000,159268000,185075000
38,PP&E,49500000,40769000,66699000,67926000,77982000,91547000,115141000,90803000,87419000
