,https://roic.ai/company/SAVA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1,1,- -,- -,- -,- -,5080000,53918000,65984000,63725000,20563000,16809000,11484000,10890000,41119000,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,-1539091,-6158199,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,1539092,6158200,- -,- -,- -,- -,- -,- -,- -,- -,20563000,16809000,11484000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,1539092.0000,6158200.0000,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,2092119,12596169,11667689,11396000,18913000,35093000,32938000,46803000,47730000,45817000,21059000,15746000,8300000,7605000,4917000,7306000,9100000,9176000,7615000,2969000,1568000,3053000,24813000
6,General and Administrative Exp.,- -,7708740,5647021,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7182000,4837000,5127000,5102000,5781000,4334000,3693000,3391000,3739000,8055000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,7708740,5647021,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7182000,4837000,5127000,5102000,5781000,4334000,3693000,3391000,3739000,8055000
9,Other Expenses,4106446,6158199,- -,-28315000,3338000,3868000,4859000,7668000,8085000,9196000,6258000,14766000,6698000,- -,- -,- -,- -,- -,- -,- -,- -,-346000,- -
10,Operating Expenses,6198565,26463108,17314710,-16919000,22251000,38961000,37797000,54471000,55815000,55013000,27317000,30512000,14998000,14787000,9754000,12433000,14202000,14957000,11949000,6662000,4959000,6446000,32868000
