,https://roic.ai/company/GAU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,7064,7459,3076,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185167000,256203000,161918000,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150904000,193591000,129048000,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34263000,62612000,32870000,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1850,0.2444,0.2030,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,46153,491653,1530987,3129946,4004694,2814022,6249618,13011924,17561981,10898018,15564493,7461000,10953000,12577000,11660000,11828000,14757000,13477000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,17545,28485,46153,491653,1530987,3129946,4004694,2814022,6249618,13011924,17561981,10898018,15564493,7461000,10953000,12577000,11660000,11828000,14757000,13477000
9,Other Expenses,- -,6065,- -,- -,- -,4720,8866,8238,22319,31952,542313,104921,18663980,1803097,1184754,3994000,1823000,2700000,2762000,- -,- -,642000
10,Operating Expenses,- -,6065,17545,- -,46153,496373,1539853,3138184,4027014,2845974,6791932,13116845,36225961,12701115,16749247,11455000,12776000,15277000,14422000,11828000,- -,14119000
11,COGS and Expenses,- -,6065,17545,28485,46153,496373,1539853,3138184,4027014,2845974,6791932,13116845,36225961,12701115,16749247,11455000,163680000,208868000,143470000,11828000,14757000,14119000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,176370,112806,505038,1557889,1020299,1252887,1015000,634000,609000,5555000,871000,551000,257000
13,Interest Expense (Gain),8,74,- -,- -,- -,- -,- -,- -,- -,20026,18691,37279,56646,26756,89581,104000,13451000,16826000,9987000,12000,35000,32000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,4720,8866,8238,22319,31952,63404,104921,618362,149696,153930,59000,- -,- -,- -,- -,163000,148000
15,EBITDA,- -,-6065,-17545,-21504,-42599,-515551,-1530987,-3129946,-4004694,-2814022,-6728528,-13011924,-32179732,-22566788,-16595317,-11396000,11673000,46978000,-118876000,-167798000,50023000,-60191000
16,EBITDA ratio,- -,-Infinity,-Infinity,-3.0440,-5.7108,-167.6060,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.0630,0.1834,-0.7342,-Infinity,Infinity,-Infinity
17,Operating Income,- -,-6065,-17545,-21421,-38694,-493298,-1539853,-3138184,-4027014,-2845974,-6791932,-13116845,-36225961,-12701115,-16749247,-11455000,13177000,47972000,19719000,-133129000,-14757000,-14119000
18,Operating Income ratio,- -,-Infinity,-Infinity,-3.0322,-5.1872,-160.3714,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.0712,0.1872,0.1218,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-7626,-26416,-2058553,-1406278,-604321,-617882,-142173,-634293,-3427867,11008912,-8243880,165000,-14955000,-17250000,-148423000,-34799000,72133000,-54764000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1692203,-24993127,-11290000,-1778000,30722000,-128704000,-167928000,57376000,-68883000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-0.0096,0.1199,-0.7949,-Infinity,Infinity,-Infinity
