,https://roic.ai/company/TCMD,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,37176000,47736000,62872000,84542000,109283000,143751000,189492000,189492000,208057000
2,COGS,9772000,12715000,16908000,22940000,29015000,41493000,55256000,110512000,59844000
3,Gross Profit,27404000,35021000,45964000,61602000,80268000,102258000,134236000,78980000,148213000
4,Gross Profit Ratio,0.7371,0.7336,0.7311,0.7287,0.7345,0.7114,0.7084,0.4168,0.7124
5,Research and Development Exp.,2443000,2843000,4312000,4476000,5060000,5289000,5174000,5174000,5659000
6,General and Administrative Exp.,8283000,10225000,13716000,19060000,26914000,33608000,39644000,51540000,56802000
7,Selling and Marketing Exp.,14298000,18154000,24485000,33794000,44396000,60371000,78920000,78920000,86775000
8,"Selling, General and Administrative Exp.",22581000,28379000,38201000,52854000,71310000,93979000,118564000,130460000,143577000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,-11896000,739000
10,Operating Expenses,25024000,31222000,42513000,57330000,76370000,99268000,123738000,123738000,149975000
11,COGS and Expenses,34796000,43937000,59421000,80270000,105385000,140761000,178994000,234250000,209819000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,585000,706000,827000,799000,1849000,3635000,3538000,2794000,3681000
15,EBITDA,2969000,4501000,4084000,5109000,6039000,7111000,14667000,13923000,1388000
16,EBITDA ratio,0.0799,0.0943,0.0650,0.0604,0.0553,0.0495,0.0774,0.0735,0.0067
17,Operating Income,2380000,3799000,3451000,4272000,3898000,2990000,10498000,-3628000,-1762000
18,Operating Income ratio,0.0640,0.0796,0.0549,0.0505,0.0357,0.0208,0.0554,-0.0191,-0.0085
19,Total Other Income Expenses (Gains),4000,-4000,-194000,38000,292000,486000,631000,14757000,-531000
20,Income Before Tax,2384000,3795000,3257000,4310000,4190000,3476000,11129000,11129000,-2293000
21,Income Before Tax Ratio,0.0641,0.0795,0.0518,0.0510,0.0383,0.0242,0.0587,0.0587,-0.0110
22,Income Tax expense (Gain),-772000,1725000,1864000,1431000,-1665000,-3147000,158000,158000,9518000
23,Net Income,3156000,2070000,1393000,2879000,5855000,6623000,10971000,10971000,-11811000
24,Net Income ratio,0.0849,0.0434,0.0222,0.0341,0.0536,0.0461,0.0579,0.0579,-0.0568
25,EPS,0.03,0.01,0.11,0.10,0.34,0.36,0.58,-0.03,-0.61
26,EPS Diluted,0.03,0.01,0.10,0.10,0.31,0.34,0.56,-0.03,-0.61
27,Weighted Average Shares Outstanding,13348946,13348946,12985058,16833737,17355175,18252689,18919007,19346929,19346929
28,Weighted Average Shares Outstanding Diluted,13348946,13348946,14611680,16833737,18877863,19347632,19641143,19346929,19346929
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1027838/000155837017001072/0001558370-17-001072-index.html,https://www.sec.gov/Archives/edgar/data/1027838/000155837018001091/0001558370-18-001091-index.html,https://www.sec.gov/Archives/edgar/data/1027838/000155837019001320/0001558370-19-001320-index.html,https://www.sec.gov/Archives/edgar/data/1027838/000155837020001467/0001558370-20-001467-index.html,https://www.sec.gov/Archives/edgar/data/1027838/000155837021001465/0001558370-21-001465-index.htm,https://www.sec.gov/Archives/edgar/data/1027838/000155837022001758/0001558370-22-001758-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,6539000,5416000,7060000,30701000,23968000,20099000,22770000,47855000,28229000
32,Short-Term Investments,- -,- -,- -,10994000,19944000,25786000,30611000,10708000,12482000
33,Cash and Short-Term Investments,6539000,5416000,7060000,41695000,43912000,45885000,53381000,58563000,40711000
34,Net Receivables,9571000,13742000,14151000,15003000,19742000,26125000,33444000,43849000,49478000
35,Inventory,2913000,3521000,5781000,6554000,11040000,11189000,19059000,18563000,19217000
36,Other Current Assets,3794000,2438000,2368000,981000,2178000,1762000,2451000,2638000,4141000
37,Total Current Assets,22817000,25117000,29360000,64233000,76872000,84961000,108335000,123613000,113547000
38,PP&E,1378000,1303000,1346000,1563000,3776000,4810000,23293000,6957000,30734000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,31063000
40,Intangible Assets,3005000,2744000,2489000,2394000,2218000,5339000,5312000,1680000,54081000
41,Intangible Assets,3005000,2744000,2489000,2394000,2218000,5339000,5312000,1680000,85144000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,1082000,1005000,402000,2785000,2662000,8820000,8970000,- -,- -
44,Other Non-Current Assets,944000,1325000,3376000,2960000,2919000,3141000,5842000,- -,14845000
45,Total Non-Current Assets,6409000,6377000,7613000,9702000,11575000,22110000,43417000,8637000,130723000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,29226000,31494000,36973000,73935000,88447000,107071000,151752000,132250000,244270000
48,Accounts Payable,1960000,2507000,3336000,5018000,4253000,5110000,3843000,4197000,5023000
49,Short-Term Debt,8000,9000,- -,- -,- -,- -,1454000,2006000,5466000
50,Tax Payable,171000,100000,904000,823000,1070000,166000,832000,2851000,122000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,10198000,- -
52,Other Current Liabilities,3685000,3674000,6166000,8775000,10266000,10966000,16131000,10313000,23972000
53,Total Current Liabilities,5653000,6190000,9502000,13793000,14519000,16076000,21428000,26714000,34461000
54,Long-Term Debt,14000,4000,- -,- -,- -,- -,- -,19388000,75144000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,32000
57,Other Non-Current Liabilities,1352000,645000,193000,503000,1141000,1725000,17729000,3235000,6406000
58,Total Non-Current Liabilities,1366000,649000,193000,503000,1141000,1725000,17729000,22623000,81582000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,16588000,21394000,25860000
61,Total Liabilities,7019000,6839000,9695000,14296000,15660000,17801000,39157000,49337000,116043000
62,Preferred Stock,29321000,31082000,32927000,- -,- -,- -,- -,- -,- -
63,Common Stock,6000,7000,3000,17000,18000,19000,19000,19000,20000
64,Retained Earnings,-8942000,-6872000,-5652000,-2773000,3082000,9705000,20676000,- -,8245000
65,Other Comprehensive Income/Loss,-1176000,-1604000,-2153000,-11000,-44000,-8000,26000,- -,- -
66,Other Total Stockholders Equity,2998000,2042000,2153000,62406000,69731000,79554000,91874000,124731000,119962000
67,Total Stockholders Equity,22207000,24655000,27278000,59639000,72787000,89270000,112595000,124750000,128227000
68,Total Liabilities And Stockholders Equity,29226000,31494000,36973000,73935000,88447000,107071000,151752000,174087000,244270000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-41837000,- -
70,Total Liabilities & Equity,29226000,31494000,36973000,73935000,88447000,107071000,151752000,132250000,244270000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1027838/000155837017001072/0001558370-17-001072-index.html,https://www.sec.gov/Archives/edgar/data/1027838/000155837018001091/0001558370-18-001091-index.html,https://www.sec.gov/Archives/edgar/data/1027838/000155837019001320/0001558370-19-001320-index.html,https://www.sec.gov/Archives/edgar/data/1027838/000155837020001467/0001558370-20-001467-index.html,https://www.sec.gov/Archives/edgar/data/1027838/000155837021001465/0001558370-21-001465-index.htm,https://www.sec.gov/Archives/edgar/data/1027838/000155837022001758/0001558370-22-001758-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,3156000,2070000,1393000,2879000,5855000,6623000,10971000,10971000,-11811000
74,Depreciation and Amortization,585000,706000,827000,799000,1849000,3635000,3538000,2794000,3681000
75,Deferred Income Tax,-941000,1558000,852000,-611000,143000,-6182000,-146000,-1233000,10230000
76,Stock Based Compensation,132000,148000,316000,1889000,4235000,7974000,9824000,10689000,10173000
77,Change in Working Capital,-3682000,1763000,931000,30582000,11913000,6532000,18022000,9992000,-7688000
78,Accounts Receivable,-3408000,-4671000,-509000,-1420000,-3692000,-6709000,-9112000,-10405000,-9043000
79,Inventory,-884000,-608000,-2260000,-773000,-4486000,-870000,-7870000,318000,972000
80,Accounts Payable,476000,547000,829000,1737000,462000,690000,-1389000,337000,826000
81,Other Working Capital,17164000,18927000,19858000,50440000,62353000,68885000,86907000,96899000,-2294000
82,Other Non-Cash Items,325000,-7236000,-2961000,-28505000,-19803000,-9575000,-39699000,-30419000,-1954000
83,Cash Provided by Operating Activities,-425000,-991000,1358000,7033000,4192000,9007000,2510000,2794000,2631000
