,https://roic.ai/company/AVCO,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,616446,1077550,1562286,1546305,1377762,1390972
2,COGS,- -,- -,73066,829787,1174272,1206392,1342659,147167
3,Gross Profit,- -,- -,543380,247763,388014,339913,35103,1243805
4,Gross Profit Ratio,- -,- -,0.8815,0.2299,0.2484,0.2198,0.0255,0.8942
5,Research and Development Exp.,- -,- -,- -,- -,- -,1781869,883855,1025009
6,General and Administrative Exp.,- -,31006,459553,2789035,7683249,16925263,11960367,6181061
7,Selling and Marketing Exp.,- -,- -,6894,15253,335900,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,31006,466447,2804288,8019149,16925263,11960367,6181061
9,Other Expenses,- -,- -,- -,-22202,-60421,- -,- -,1895111
10,Operating Expenses,- -,31006,466447,2782086,7958728,18707132,12844222,9101181
11,COGS and Expenses,- -,31006,539513,3611873,9133000,19913524,987559,976454
12,Interest Income ,- -,- -,575,1370,4314,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,138110,314653,82908,168762,200477
14,Depreciation and Amortization,- -,- -,26,181637,522835,506744,314780,311761
15,EBITDA,- -,-31006,77534,-3144538,-6936634,-17480509,-12195896,-8578261
16,EBITDA ratio,- -,-Infinity,0.1258,-2.9182,-4.4401,-11.3047,-8.8520,-6.1671
17,Operating Income,- -,-31006,76933,-3877863,-7631135,-19377230,-12454019,374273
18,Operating Income ratio,- -,-Infinity,0.1248,-3.5988,-4.8846,-12.5313,-9.0393,0.2691
19,Total Other Income Expenses (Gains),- -,- -,575,-171782,-421161,1307069,-225419,-9464772
20,Income Before Tax,- -,-31006,77508,-4049645,-8052296,-18070161,-12679438,-9090499
21,Income Before Tax Ratio,- -,-Infinity,0.1257,-3.7582,-5.1542,-11.6860,-9.2029,-6.5354
22,Income Tax expense (Gain),- -,- -,21927,- -,- -,- -,- -,- -
23,Net Income,- -,-31006,55581,-3464285,-7774122,-18070161,-12679438,-9090499
24,Net Income ratio,- -,-Infinity,0.0902,-3.2150,-4.9761,-11.6860,-9.2029,-6.5354
25,EPS,- -,-0.02,0.00,-0.05,-0.11,-0.24,-0.16,-0.11
26,EPS Diluted,- -,-0.02,0.00,-0.05,-0.11,-0.24,-0.16,-0.11
27,Weighted Average Shares Outstanding,- -,1750000,51139475,65033472,72004081,75116895,79508149,79508149
28,Weighted Average Shares Outstanding Diluted,- -,1750000,51139475,65033472,72004081,75116895,79508149,79508149
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1630212/000161577418001839/0001615774-18-001839-index.htm,https://www.sec.gov/Archives/edgar/data/1630212/000121390019004862/0001213900-19-004862-index.htm,https://www.sec.gov/Archives/edgar/data/1630212/000121390020008655/0001213900-20-008655-index.htm,https://www.sec.gov/Archives/edgar/data/1630212/000121390021018744/0001213900-21-018744-index.htm,https://www.sec.gov/Archives/edgar/data/1630212/000121390022016231/0001213900-22-016231-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,194,2886189,3027033,2252287,764891,726577,807538
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,7528770
33,Cash and Short-Term Investments,- -,194,2886189,3027033,2252287,764891,726577,8336308
34,Net Receivables,- -,- -,70228,48648,52223,243887,- -,- -
35,Inventory,- -,- -,- -,2667,12994,- -,- -,- -
36,Other Current Assets,- -,- -,749796,156629,1307928,562317,559760,-7013266
37,Total Current Assets,- -,194,3706213,3234977,3625432,1571095,1286337,1323042
38,PP&E,- -,- -,295,48029,249555,601425,479115,506850
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,1583260,1255689,- -,- -,- -
41,Intangible Assets,- -,- -,- -,1583260,1255689,- -,- -,- -
42,Investments,- -,- -,- -,7623757,385162,483101,521758,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,179010,7879885,7834915,-521758,8412324
45,Total Non-Current Assets,- -,- -,295,9434056,9770291,8919441,479115,8919174
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,194,3706508,12669033,13395723,10490536,1765452,10242216
48,Accounts Payable,- -,900,16841,29,6695,84316,- -,- -
49,Short-Term Debt,2900,4700,- -,1500000,- -,- -,76379,- -
50,Tax Payable,- -,- -,32246,2997,4668,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,12769,28965,- -,- -,- -
52,Other Current Liabilities,- -,- -,143476,3847386,1106060,2751147,2516014,4401658
53,Total Current Liabilities,2900,5600,160317,5360184,1141720,2835463,2592393,4401658
54,Long-Term Debt,- -,- -,- -,- -,1000000,3190000,66954,5901
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,3590000,2750262
58,Total Non-Current Liabilities,- -,- -,- -,- -,1000000,3190000,3656954,2756163
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,143333,- -
61,Total Liabilities,2900,5600,160317,5360184,2141720,6025463,6249347,7157821
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,600,700,6163,7028,7383,7673,8279,8898
64,Retained Earnings,-3500,-34506,-53369,-3517654,-11291776,-29361937,- -,-51131874
65,Other Comprehensive Income/Loss,- -,- -,-87990,-85416,-230282,-251169,-183932,-165266
66,Other Total Stockholders Equity,- -,28400,3681387,11490285,23630878,34070506,4292572,54372637
67,Total Stockholders Equity,-2900,-5406,3546191,7894243,12116203,4465073,4116919,3084395
68,Total Liabilities And Stockholders Equity,- -,194,3706508,13254427,14257923,10490536,10366266,10242216
69,Minority Interest,- -,- -,- -,-585394,-862200,- -,-8600814,- -
70,Total Liabilities & Equity,- -,194,3706508,12669033,13395723,10490536,1765452,10242216
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1630212/000161577418001839/0001615774-18-001839-index.htm,https://www.sec.gov/Archives/edgar/data/1630212/000121390019004862/0001213900-19-004862-index.htm,https://www.sec.gov/Archives/edgar/data/1630212/000121390020008655/0001213900-20-008655-index.htm,https://www.sec.gov/Archives/edgar/data/1630212/000121390021018744/0001213900-21-018744-index.htm,https://www.sec.gov/Archives/edgar/data/1630212/000121390022016231/0001213900-22-016231-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,-31006,55581,-3464285,-7774122,-18070161,-12679438,-9090499
74,Depreciation and Amortization,- -,- -,26,181637,522835,506744,314780,311761
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,52550,992997,3092981,9209147,5494033,2110169
77,Change in Working Capital,- -,900,3551302,-5671103,4608919,-3748080,-41688,-1772560
78,Accounts Receivable,- -,- -,-73413,23915,-4129,-292642,7554,- -
79,Inventory,- -,- -,- -,-1509,-10612,- -,- -,- -
80,Accounts Payable,- -,- -,-3849,28,282,- -,- -,- -
81,Other Working Capital,- -,-5406,3545896,-2125207,2483712,-1264368,-1306056,-3078616
82,Other Non-Cash Items,- -,- -,-3645475,6621062,-4846637,5022479,-633787,3416650
83,Cash Provided by Operating Activities,- -,-30106,13984,-1339692,-4396024,-7079871,-7546100,-5024479
84,CAPEX,- -,- -,-700000,-7008571,-391506,-16321,- -,-17502
85,Acquisitions Net,- -,- -,-230000,72032,-803159,-159192,-57972,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-700000,-8032668,-391506,-16321,-111213,-50633
89,Cash Used for Investing Activites,- -,- -,-930334,-8014448,-1307813,-552967,-169185,-68135
