,https://roic.ai/company/JOBS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,121970723,158038448,280119086,456120121,595837645,697262665,845475349,815478000,773947000,1032219000,1299678000,1447338000,1608668000,1832453000,2055220000,2338334000,2848592000,3739701000,4000025000,3688951000,4420428000
2,COGS,84208642,92220212,151477223,224606756,269438514,293819913,349526163,377487000,305722000,345865000,370661000,405233000,442454000,496000000,569979000,663001000,763440000,1038766000,1221935000,1261731000,1676727000
3,Gross Profit,37762081,65818236,128641863,231513365,326399131,403442751,495949186,437991000,468225000,686354000,929017000,1042105000,1166214000,1336453000,1485241000,1675333000,2085152000,2700935000,2778090000,2427220000,2743701000
4,Gross Profit Ratio,0.3096,0.4165,0.4592,0.5076,0.5478,0.5786,0.5866,0.5371,0.6050,0.6649,0.7148,0.7200,0.7250,0.7293,0.7227,0.7165,0.7320,0.7222,0.6945,0.6580,0.6207
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,125981000,133511000,136647000,158355000,186460000,217765000,249275000,263067000,280002000,296608000,353557000,384072000,377438000,401827000
7,Selling and Marketing Exp.,18503675,- -,- -,- -,- -,- -,- -,215228000,214400000,277543000,329466000,370100000,459802000,563565000,654468000,783492000,917784000,1197178000,1188233000,1182677000,1790535000
8,"Selling, General and Administrative Exp.",18503675,- -,- -,- -,- -,- -,- -,341209000,347911000,414190000,487821000,556560000,677567000,812840000,917535000,1063494000,1214392000,1550735000,1572305000,1560115000,2192362000
9,Other Expenses,42541242,63547434,94860190,141124900,215797389,250879673,310020290,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,61044917,63547434,94860190,141124900,215797389,250879673,310020290,341209000,347911000,414190000,487821000,556560000,677567000,812840000,917535000,1063494000,1214392000,1550735000,1572305000,1560115000,2192362000
11,COGS and Expenses,145253559,155767646,246337413,365731655,485235903,544699587,659546453,718696000,653633000,760055000,858482000,961793000,1120021000,1308840000,1487514000,1726495000,1977832000,2589501000,2794240000,2821846000,3869089000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,26400000,15083000,18713000,42033000,61653000,75301000,88739000,93548000,58933000,77009000,113673000,175584000,228500000,212690000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212690000
