,https://roic.ai/company/NIOBF,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,270,120,- -,- -,- -,20142,18883,17375,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,5569,3937,4410,- -,- -,- -,- -,- -,- -,2905,6295,9323,9000,9000,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,14573,14946,12964,- -,- -,- -,- -,- -,- -,-2905,-6295,-9323,-9000,-9000,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.7235,0.7915,0.7462,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,5941,2854,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1421324,897559,1806693,4618893,2701000,3656000,2794000,1872000,1703000,2041000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5941,2854,22408,20144,75624,396936,262076,339659,340569,270249,227335,1645442,2818485,1421324,897559,1806693,4618893,2701000,3656000,2794000,1872000,1703000,2041000
9,Other Expenses,15962,-2524,232,403,- -,63201,16075,6450,- -,- -,- -,- -,- -,- -,-102342,-14117,- -,6566000,10108000,3241000,4564000,1729000,2051000
10,Operating Expenses,21902,329,22640,20547,- -,460137,278152,346109,- -,- -,- -,- -,- -,- -,795217,1792577,4618893,9267000,13764000,6035000,6436000,3432000,4092000
11,COGS and Expenses,21902,329,22640,20547,76078,465706,282089,350520,341125,271239,292322,1714290,2864181,1431929,798122,1798871,4628216,9276000,13773000,6035000,6436000,3432000,4092000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500,180,- -,- -,- -,6856,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),649,242,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275000,286000,375000,266000,354000,1113000
14,Depreciation and Amortization,425,48,232,403,454,63201,16075,6450,556,990,303,3408,4903,3693,2905,6295,9323,9000,9000,6000,- -,- -,- -
15,EBITDA,-30359,-19816,-22408,-20144,-66501,-400071,-597195,-225820,623786,-178512,-292019,-1710882,4823186,-1295355,1162683,-1753517,-2323901,-8922000,-13764000,-6029000,-6436000,-3432000,-3884000
16,EBITDA ratio,-112.4472,-165.8249,-Infinity,-Infinity,-Infinity,-19.8622,-31.6267,-12.9970,Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-31433,-20107,-22640,-20547,-85200,-463272,-583046,-333145,-1305481,-362975,-292322,-1714290,-2864181,-1564810,-798122,-1798871,-4628216,-9276000,-13773000,-6035000,-6436000,-3432000,-4092000
18,Operating Income ratio,-116.4271,-168.2542,-Infinity,-Infinity,-Infinity,-22.9999,-30.8774,-19.1740,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-9152,-19654,7372,-18958,-5559,- -,-30224,100874,- -,-5515,- -,- -,-7692673,-601035,-1957901,190477,-2490467,-2132000,-857000,-2462000,-900000,-569000,-298000
20,Income Before Tax,- -,- -,- -,- -,- -,-463272,-613271,- -,-1305481,-368490,- -,- -,-10556855,-2165845,-2756023,-1608394,-7118683,-11408000,-14630000,-8497000,-7336000,-4001000,-4390000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-22.9999,-32.4780,- -,-Infinity,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-34204,- -,- -,-76756,- -,- -,- -,-3230725,- -,80786,-41838,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-31433,-20107,-15308,-39530,-81637,-429068,-613271,-232271,-1228724,-368490,-292322,-1713790,-7326130,-2165845,-2836809,-1566556,-7118683,-11408000,-14630000,-8497000,-7336000,-4001000,-4390000
24,Net Income ratio,-116.4271,-168.2542,-Infinity,-Infinity,-Infinity,-21.3018,-32.4780,-13.3683,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.33,-0.32,-0.11,-0.22,-0.42,-0.78,-0.59,-0.14,-0.45,-0.08,-0.05,-0.09,-0.12,-0.03,-0.03,-0.02,-0.05,-0.07,-0.08,-0.04,-0.03,-0.02,-0.02
26,EPS Diluted,-0.33,-0.32,-0.11,-0.22,-0.42,-0.78,-0.59,-0.14,-0.45,-0.08,-0.05,-0.09,-0.12,-0.03,-0.03,-0.02,-0.05,-0.07,-0.08,-0.04,-0.03,-0.02,-0.02
27,Weighted Average Shares Outstanding,96538,62044,148768,177935,203250,554183,1093198,1472839,2968547,4142839,6165980,18142379,57589917,83584864,88118022,101976387,136045244,164038509,187810774,207255111,223160189,234610126,241967116
28,Weighted Average Shares Outstanding Diluted,96538,62044,148768,177935,203250,554183,1093198,1472839,2968547,4142839,6165980,18142379,57589917,83584864,88118022,101976387,136045244,164038509,187810774,207255111,223160189,234610126,241967116
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1512228/000161577417004839/0001615774-17-004839-index.html,https://www.sec.gov/Archives/edgar/data/1512228/000161577418009046/0001615774-18-009046-index.html,https://www.sec.gov/Archives/edgar/data/1512228/000121390019017175/0001213900-19-017175-index.html,https://www.sec.gov/Archives/edgar/data/1512228/000178598220000846/0001785982-20-000846-index.htm,https://www.sec.gov/Archives/edgar/data/1512228/000153949721001306/0001539497-21-001306-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
