,https://roic.ai/company/SGBX,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,100000,143132,122545,431587,255949,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3964796,2450665,5732776,6036953,2405784,- -,5061585,8190712,2984835,4241500
2,COGS,- -,- -,100000,119759,613492,554830,216043,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3407918,1997738,5149219,4570138,1897862,- -,4427778,7647979,2307488,- -
3,Gross Profit,- -,- -,- -,23373,-490947,-123243,39906,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,556878,452927,583557,1466815,507922,- -,633807,542733,677347,4241500
4,Gross Profit Ratio,- -,- -,- -,0.1633,-4.0063,-0.2856,0.1559,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1405,0.1848,0.1018,0.2430,0.2111,- -,0.1252,0.0663,0.2269,1.0000
5,Research and Development Exp.,- -,- -,200000,168959,156025,122355,12616,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,943883,1238103,- -,- -,- -,- -,- -,- -,- -,- -,- -,36029,31343,35520,2172101,2307923,2317836,2009776,1794310,- -,3623874,4926867,4180863,3449849
7,Selling and Marketing Exp.,- -,- -,- -,192313,481943,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,443857,85428,124496,178505,123852,- -,271092,387400,240557,230248
8,"Selling, General and Administrative Exp.",- -,- -,- -,1136196,1720046,- -,- -,- -,- -,- -,- -,- -,- -,- -,36029,31343,35520,2615958,2393351,2442332,2188281,1918162,- -,3894966,5314267,4421420,3680097
9,Other Expenses,- -,- -,600000,- -,- -,1970518,235849,56688,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31330,35082,- -,- -,74629,21286,- -
10,Operating Expenses,- -,- -,800000,1305155,1876071,2092873,248465,56688,- -,- -,- -,- -,- -,- -,- -,- -,- -,2615958,2393351,2442332,2219611,1953244,- -,3894966,5388896,4442706,3680097
11,COGS and Expenses,- -,- -,900000,1424914,2489563,2647703,464508,56688,51948,52209,41776,34061,33983,35070,36029,31343,35520,6023876,4391089,7591551,6789749,3851106,- -,8322744,13036875,6750194,3680097
12,Interest Income ,- -,- -,- -,- -,144085,- -,10664,7988,2569,2037,1675,3125,3535,2501,439,1,1,110,139,126,24,22,- -,15,4,- -,61675
13,Interest Expense (Gain),- -,- -,200000,- -,- -,- -,445,- -,- -,- -,- -,- -,- -,- -,- -,1422,2510,3733,8220,689156,1066833,1944487,- -,330388,- -,178995,9275
14,Depreciation and Amortization,- -,- -,-200000,40318,117304,440946,49262,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2163,2543,2982,3978,3728,294810,590778,596383,154745,199196
15,EBITDA,- -,- -,-900000,-1166038,-2239503,-2232293,-148633,-156688,-51948,-52209,-46664,-34061,-33983,-57065,-36029,-31343,-38345,-1903679,-1755262,-1471164,-466504,-794901,- -,-3591514,-4247638,-6586800,-4299691
16,EBITDA ratio,- -,- -,-9.0000,-8.1466,-18.2749,-5.1723,-0.5807,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.4801,-0.7162,-0.2566,-0.0773,-0.3304,- -,-0.7096,-0.5186,-2.2068,-1.0137
17,Operating Income,- -,- -,-800000,-1281782,-2367018,-2216116,-208559,-56688,-51948,-52209,-41776,-34061,-33983,-35070,-36029,-31343,-35520,-2059080,-1940424,-1858775,-752796,-1445322,- -,-3261159,-4846163,-6704012,-4582832
18,Operating Income ratio,- -,- -,-8.0000,-8.9552,-19.3155,-5.1348,-0.8148,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.5193,-0.7918,-0.3242,-0.1247,-0.6008,- -,-0.6443,-0.5917,-2.2460,-1.0805
19,Total Other Income Expenses (Gains),- -,- -,- -,75426,10211,-501924,- -,100000,- -,- -,4888,- -,- -,21995,- -,- -,2825,149505,174399,-304527,-784519,-1297794,- -,-1251521,2142,-216528,74670
20,Income Before Tax,- -,- -,- -,-1206356,-2356807,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1909575,-1766025,-2163302,-1537315,-2743116,- -,-4512680,-4844021,-6920540,-4508162
21,Income Before Tax Ratio,- -,- -,- -,-8.4283,-19.2322,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.4816,-0.7206,-0.3774,-0.2547,-1.1402,- -,-0.8916,-0.5914,-2.3186,-1.0629
22,Income Tax expense (Gain),- -,- -,- -,800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,-900000,-1207156,-2356807,-2673239,-198340,51300,-49379,-50172,-35213,-30936,-30448,-10574,-35590,-32764,-35204,-1909575,-1766025,-2163302,-1537315,-2743116,- -,-4512680,-4844021,-6920540,-4508162
24,Net Income ratio,- -,- -,-9.0000,-8.4339,-19.2322,-6.1940,-0.7749,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.4816,-0.7206,-0.3774,-0.2547,-1.1402,- -,-0.8916,-0.5914,-2.3186,-1.0629
25,EPS,- -,- -,-37.20,-31.80,-46.20,-51.60,-3.60,1.20,-1.20,-1.20,-0.60,-0.60,-0.60,-0.20,-0.60,-0.60,-0.60,-3.60,-2.40,-3.00,-0.72,-1.28,- -,-39.00,-22.80,-22.85,-0.79
26,EPS Diluted,- -,- -,-37.20,-31.80,-46.20,-51.60,-3.60,1.20,-1.20,-1.20,-0.60,-0.60,-0.60,-0.20,-0.60,-0.60,-0.60,-3.60,-2.40,-3.00,-0.72,-1.28,- -,-39.00,-22.80,-22.85,-0.79
27,Weighted Average Shares Outstanding,- -,- -,24194,42375,51127,51999,51999,51999,51999,51999,51999,51999,51999,51999,51999,51999,53725,590194,689636,705462,2145946,2145946,115503,115503,213002,302844,5959403
28,Weighted Average Shares Outstanding Diluted,- -,- -,24194,42375,51127,51999,51999,51999,51999,51999,51999,51999,51999,51999,51999,51999,53725,590194,689636,705462,2145946,2145946,115503,115503,213002,302844,5959403
