,https://roic.ai/company/KYMR,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,- -,2934000,34034000,72832000
2,COGS,- -,- -,- -,- -
3,Gross Profit,- -,- -,34034000,- -
4,Gross Profit Ratio,- -,- -,1.0000,- -
5,Research and Development Exp.,17679000,37158000,62105000,137017000
6,General and Administrative Exp.,3772000,7981000,18233000,36345000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3772000,7981000,18233000,36345000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,21451000,45139000,80338000,173362000
11,COGS and Expenses,21451000,45139000,80338000,173362000
12,Interest Income ,- -,1005000,826000,488000
13,Interest Expense (Gain),16000,46000,115000,175000
14,Depreciation and Amortization,205000,825000,1763000,2397000
15,EBITDA,-21246000,-40375000,-43715000,-97645000
16,EBITDA ratio,-Infinity,-13.7611,-1.2845,-1.3407
17,Operating Income,-21451000,-42205000,-46304000,-100530000
18,Operating Income ratio,-Infinity,-14.3848,-1.3605,-1.3803
19,Total Other Income Expenses (Gains),-16000,959000,711000,313000
20,Income Before Tax,-21467000,-41246000,-45593000,-100217000
21,Income Before Tax Ratio,-Infinity,-14.0579,-1.3396,-1.3760
22,Income Tax expense (Gain),- -,- -,- -,- -
23,Net Income,-21467000,-41246000,-45593000,-100217000
24,Net Income ratio,-Infinity,-14.0579,-1.3396,-1.3760
25,EPS,-1.07,-2.05,-3.15,-1.98
26,EPS Diluted,-1.07,-2.05,-3.15,-1.98
27,Weighted Average Shares Outstanding,20139256,20139256,17349582,50714846
28,Weighted Average Shares Outstanding Diluted,20139256,20139256,17349582,50714846
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1815442/000156459021012240/0001564590-21-012240-index.htm,https://www.sec.gov/Archives/edgar/data/1815442/000095017022001860/0000950170-22-001860-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,41260000,76015000,31004000,47976000
32,Short-Term Investments,- -,15942000,265198000,394442000
