,https://roic.ai/company/GDEN,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,92300000,59044000,34900000,1500000,4300000,- -,17600000,29872000,6700000,24300000,- -,26200000,24600000,11000000,38800000,55172000,177042000,403204000,509808000,851794000,973410000,694155000,1096543000
2,COGS,- -,- -,- -,- -,1000000,2700000,- -,10200000,10316000,8224000,28700000,- -,- -,- -,1700000,19500000,31915000,120869000,290332000,343741000,514232000,578512000,418967000,600338000
3,Gross Profit,- -,- -,59044000,- -,500000,1600000,- -,7400000,19556000,-1524000,-4400000,- -,26200000,24600000,9300000,19300000,23257000,56173000,112872000,166067000,337562000,394898000,275188000,496205000
4,Gross Profit Ratio,- -,- -,1.0000,- -,0.3333,0.3721,- -,0.4205,0.6547,-0.2275,-0.1811,- -,1.0000,1.0000,0.8455,0.4974,0.4215,0.3173,0.2799,0.3257,0.3963,0.4057,0.3964,0.4525
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,14600000,9025000,9200000,8000000,6900000,- -,16400000,- -,17800000,15300000,- -,14200000,11300000,10200000,19300000,22566000,- -,- -,- -,- -,- -,179412000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,14600000,9025000,9200000,8000000,6900000,- -,16400000,- -,17800000,15300000,- -,14200000,11300000,10200000,19300000,22566000,- -,- -,- -,- -,- -,179412000,221967000
9,Other Expenses,- -,1800000,2910000,27400000,8900000,-1900000,- -,3900000,-14643000,100000,49000000,- -,13000000,54100000,6100000,-15100000,24642000,49943000,98132000,146225000,279519000,344374000,124738000,106938000
