,https://roic.ai/company/GRIN,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,434439000,371532000,409522000,319018000,331046000,279217000,455839000
2,COGS,407577000,365735000,387408000,307925000,310520000,264111000,278942000
3,Gross Profit,26862000,5797000,22114000,11093000,20526000,15106000,176897000
4,Gross Profit Ratio,0.0618,0.0156,0.0540,0.0348,0.0620,0.0541,0.3881
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,27670000,30140000,32868000,31402000,27627000,24608000,36089000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",27670000,30140000,32868000,31402000,27627000,24608000,36089000
9,Other Expenses,1141000,1202000,1382000,1904000,1590000,-57000,-3849000
10,Operating Expenses,28811000,31342000,34250000,33306000,29217000,24551000,32240000
11,COGS and Expenses,436388000,397077000,421658000,338269000,373848000,288662000,311182000
12,Interest Income ,2407000,4774000,6839000,3787000,1979000,565000,201000
13,Interest Expense (Gain),3065000,4146000,5929000,6139000,11274000,14145000,12298000
14,Depreciation and Amortization,27729000,21551000,19680000,14291000,48763000,51549000,61953000
15,EBITDA,-55796000,-14163000,-31977000,1179000,17235000,27622000,193058000
16,EBITDA ratio,-0.1284,-0.0381,-0.0781,0.0037,0.0521,0.0989,0.4235
17,Operating Income,-1949000,-25545000,-12136000,-19251000,-42802000,-9445000,144657000
18,Operating Income ratio,-0.0045,-0.0688,-0.0296,-0.0603,-0.1293,-0.0338,0.3173
19,Total Other Income Expenses (Gains),-84641000,-14315000,-45450000,- -,- -,-30932000,-12128000
20,Income Before Tax,-86590000,-39860000,-57586000,-19251000,-42802000,-40377000,132529000
21,Income Before Tax Ratio,-0.1993,-0.1073,-0.1406,-0.0603,-0.1293,-0.1446,0.2907
22,Income Tax expense (Gain),3764000,3849000,3226000,1389000,685000,723000,-118000
23,Net Income,-90354000,-43709000,-60812000,-20640000,-43487000,-38795000,118925000
24,Net Income ratio,-0.2080,-0.1176,-0.1485,-0.0647,-0.1314,-0.1389,0.2609
25,EPS,-6.71,-3.32,-4.27,-1.48,-2.51,-2.71,6.21
