,https://roic.ai/company/XSNX,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,8000,6880,- -,- -,- -,- -,- -,- -,393522,1215632,750556,1172972,665017,1608723,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283224,912404,474030,791413,438693,856165,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110298,303228,276526,381559,226324,752558,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2803,0.2494,0.3684,0.3253,0.3403,0.4678,- -,- -
5,Research and Development Exp.,- -,- -,- -,129493,501423,949472,435534,- -,- -,292999,282492,122673,426371,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,47297,145845,1398299,859569,2334448,2087031,4004970,3316853,1470731,946459,645546,532624,527926,520800,482779,453235,428338,544698,828892,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,3979,9050,47573,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",16643,47297,145845,1398299,863548,2343498,2134604,4004970,3316853,1470731,946459,645546,532624,527926,520800,482779,453235,428338,544698,828892,2698940
9,Other Expenses,348,- -,- -,- -,18435,82941,77248,257222,661811,86948,38472,41706,34937,14729,4650,1604,164,280,580,- -,- -
10,Operating Expenses,16991,47297,145845,1527792,1383406,3375911,2647386,4262192,3978664,1850678,1267423,809925,993932,542655,525450,484383,453399,428618,545278,828892,2698940
11,COGS and Expenses,16991,47297,145845,1527792,1383406,3375911,2647386,4262192,3978664,1850678,1267423,809925,993932,825879,1437854,958413,1244812,867311,1401443,828892,2698940
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,5443,44,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,4303,45721,46215,343693,1047223,758905,216105,103763,38004,110970,71981,30536,377871
14,Depreciation and Amortization,348,- -,- -,- -,18435,82941,77248,257222,127293,86948,38472,41706,34937,14729,4650,1604,164,280,580,- -,- -
15,EBITDA,-354530,-47297,-145845,-1547168,-1364971,-3358999,-1212249,-4004970,-3851371,-1763730,-1228951,-768219,-958995,-1176253,-1099893,-137499,-460495,-3858156,2416543,-5917416,-2682716
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-419.8749,-176.1990,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.9890,-0.9048,-0.1832,-0.3926,-5.8016,1.5021,-Infinity,-Infinity
17,Operating Income,-16991,-47297,-145845,-1527792,-1383406,-3367911,-2640506,-4262192,-3978664,-1850678,-1267423,-809925,-992932,-432357,-222222,-207857,-71840,-202294,207280,-828892,-2698940
