,https://roic.ai/company/RAYT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,178000,966229,613368,731815,1276883,657839,23048,- -,186663
2,COGS,- -,165645,879446,552031,645415,1106617,745652,- -,- -,- -
3,Gross Profit,- -,12355,86783,61337,86400,170266,-87813,23048,- -,186663
4,Gross Profit Ratio,- -,0.0694,0.0898,0.1000,0.1181,0.1333,-0.1335,1.0000,- -,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,5564,1404,- -,- -,- -
6,General and Administrative Exp.,37543,129664,205925,239222,237032,204974,289333,168483,1154693,323932
7,Selling and Marketing Exp.,- -,- -,1804,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",37543,129664,207729,239222,237032,204974,289333,168483,1154693,323932
9,Other Expenses,- -,- -,4081,5441,5441,5441,5441,1074,104985,101593
10,Operating Expenses,37543,129664,211810,244663,242473,215979,296178,169557,1259678,425525
11,COGS and Expenses,37543,295309,1091256,796694,887888,1322596,1041830,169557,1259678,425525
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,10152
13,Interest Expense (Gain),- -,- -,95,- -,- -,- -,- -,- -,- -,4120
14,Depreciation and Amortization,- -,- -,4081,5441,5441,5441,5441,1074,104985,101591
15,EBITDA,-37543,-117317,-128870,-177885,-150632,-40250,-379656,-184545,-1154693,-123734
16,EBITDA ratio,-Infinity,-0.6591,-0.1334,-0.2900,-0.2058,-0.0315,-0.5771,-8.0070,-Infinity,-0.6629
17,Operating Income,-37543,-117309,-133046,-183326,-156073,-45713,-383991,-146509,-1259678,-238862
18,Operating Income ratio,-Infinity,-0.6590,-0.1377,-0.2989,-0.2133,-0.0358,-0.5837,-6.3567,-Infinity,-1.2796
19,Total Other Income Expenses (Gains),- -,-8,- -,- -,- -,22,-1106,-39110,-3038,9417
20,Income Before Tax,-37543,-117317,-133046,-183326,-156073,-45691,-385097,-185619,-1262716,-229445
21,Income Before Tax Ratio,-Infinity,-0.6591,-0.1377,-0.2989,-0.2133,-0.0358,-0.5854,-8.0536,-Infinity,-1.2292
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-37543,-117317,-133046,-183326,-156073,-45691,-385097,-185619,-1262716,-229445
24,Net Income ratio,-Infinity,-0.6591,-0.1377,-0.2989,-0.2133,-0.0358,-0.5854,-8.0536,-Infinity,-1.2292
25,EPS,-0.02,-0.07,-0.07,-0.20,-0.08,-0.02,-0.20,-0.10,-0.14,-0.02
26,EPS Diluted,-0.02,-0.07,-0.07,-0.20,-0.08,-0.02,-0.20,-0.10,-0.14,-0.02
27,Weighted Average Shares Outstanding,1722474,1731224,1818074,1830624,1836574,1871917,1886574,1886622,8858167,13026710
28,Weighted Average Shares Outstanding Diluted,1722474,1731224,1818074,1830624,1836574,1871917,1886574,1886622,8858167,13026710
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1539778/000147793212004063/0001477932-12-004063-index.html,https://www.sec.gov/Archives/edgar/data/1539778/000147793213006066/0001477932-13-006066-index.html,https://www.sec.gov/Archives/edgar/data/1539778/000147793214007374/0001477932-14-007374-index.html,https://www.sec.gov/Archives/edgar/data/1539778/000147793216007985/0001477932-16-007985-index.htm,https://www.sec.gov/Archives/edgar/data/1539778/000147793217003258/0001477932-17-003258-index.htm,https://www.sec.gov/Archives/edgar/data/1539778/000147793217006352/0001477932-17-006352-index.html,https://www.sec.gov/Archives/edgar/data/1539778/000121390018017203/0001213900-18-017203-index.html,https://www.sec.gov/Archives/edgar/data/1539778/000121390020006669/0001213900-20-006669-index.htm,https://www.sec.gov/Archives/edgar/data/1539778/000149315220023879/0001493152-20-023879-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,435437,181879,384675,69501,32745,114508,50515,127,836,2811
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,435437,181879,384675,69501,32745,114508,50515,127,836,2811
34,Net Receivables,- -,- -,170969,215645,41800,6867,- -,- -,98500,216525
35,Inventory,- -,239000,2216,245525,279913,369164,- -,- -,- -,- -
