,https://roic.ai/company/IVA,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,3064514,3282921,4874666,9445644,6520816,3197000,6998000,372000,4194000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,13747163,16283626,19639648,22144686,26733042,31637000,33791000,23717000,48452000
6,General and Administrative Exp.,3270261,2918115,3432198,3857067,5141183,6048000,5893000,8519000,11193000
7,Selling and Marketing Exp.,325573,247315,112699,50557,37781,9000,8000,349000,147000
8,"Selling, General and Administrative Exp.",3595834,3165430,3544897,3907624,5178964,6057000,5901000,8868000,11340000
9,Other Expenses,-1811626,-2698921,-3435205,-4557801,-4924676,-1279000,-3479000,-2453000,-3472000
10,Operating Expenses,15531371,16750135,19749340,21494509,26987330,36415000,36213000,30132000,56320000
11,COGS and Expenses,15531371,16750135,19749340,21494509,26987330,36415000,36213000,30132000,56320000
12,Interest Income ,42650,273839,227634,230183,276623,120000,157000,226000,57000
13,Interest Expense (Gain),630,2937,6061,7548,5316,4000,3000,66000,138000
14,Depreciation and Amortization,1382181,1228253,1301194,1648224,1422268,2316000,1579000,1888000,-1288000
15,EBITDA,-10335695,-11490924,-13716513,-10902904,-19210115,-31044000,-28636000,-31665000,-50421000
16,EBITDA ratio,-3.3727,-3.5002,-2.8138,-1.1543,-2.9460,-9.7104,-4.0920,-85.1210,-12.0222
17,Operating Income,-12466856,-13467214,-15509904,-13018905,-20915979,-33253000,-30312000,-29718000,-52114000
18,Operating Income ratio,-4.0681,-4.1022,-3.1817,-1.3783,-3.2076,-10.4013,-4.3315,-79.8871,-12.4258
19,Total Other Income Expenses (Gains),748349,745100,486137,460230,278281,-110000,95000,-3900000,2839000
20,Income Before Tax,-11718507,-12722114,-15023767,-12558675,-20637698,-33363000,-30217000,-33618000,-49275000
21,Income Before Tax Ratio,-3.8239,-3.8752,-3.0820,-1.3296,-3.1649,-10.4357,-4.3179,-90.3710,-11.7489
22,Income Tax expense (Gain),-4583688,-5228479,-6200444,-5513631,-3408614,253000,- -,- -,364000
23,Net Income,-7134818,-7493635,-8823324,-7045045,-17229085,-33617000,-30218000,-33619000,-49635000
24,Net Income ratio,-2.3282,-2.2826,-1.8100,-0.7459,-2.6422,-10.5152,-4.3181,-90.3737,-11.8348
25,EPS,-0.71,-0.75,-0.88,-0.70,-1.11,-1.64,-1.28,-0.99,-1.47
26,EPS Diluted,-0.71,-0.75,-0.88,-0.70,-1.11,-1.64,-1.28,-0.99,-1.47
27,Weighted Average Shares Outstanding,10030000,10030000,10030000,10030000,15516344,20540979,23519897,33874751,33874751
28,Weighted Average Shares Outstanding Diluted,10030000,10030000,10030000,10030000,15516344,20540979,23519897,33874751,33874751
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,13522008,17138063,22595791,24867574,59051220,56692000,35841000,105687000,86553000
32,Short-Term Investments,- -,- -,- -,- -,-3111,- -,- -,7336000,8829000
33,Cash and Short-Term Investments,13522008,17138063,22595791,24867574,59048109,56692000,35841000,113023000,95382000
34,Net Receivables,1519715,3209087,4689102,8145503,6859753,13349000,12153000,13522000,11587000
35,Inventory,528369,477014,480436,471879,473129,410000,387000,320000,392000
36,Other Current Assets,630285,680987,849554,7763542,839112,1183000,494000,6133000,8217000
37,Total Current Assets,16200377,21505151,28614883,41248498,67220103,71634000,48875000,132998000,115578000
38,PP&E,6032041,5910303,5572825,4957546,4516171,4261000,3721000,3281000,3198000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,1999251,2206560,2375063,2073300,1806087,1543000,1228000,935000,770000
41,Intangible Assets,1999251,2206560,2375063,2073300,1806087,1543000,1228000,935000,770000
42,Investments,- -,- -,- -,- -,238621,- -,- -,1698000,1745000
43,Tax Assets,78177,112370,156874,194604,252683,- -,- -,- -,- -
44,Other Non-Current Assets,62807102,43399519,23855498,385826,333333,2374000,3135000,8000,695000
45,Total Non-Current Assets,70916571,51628752,31960260,7611276,7146895,8178000,8084000,5922000,6408000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,87116948,73133903,60575143,48859774,74366998,79812000,56959000,138920000,121985000
48,Accounts Payable,1674873,1884679,3610472,4364428,5381691,8372000,7491000,6923000,14602000
49,Short-Term Debt,60945,58747,194012,145746,262133,2129000,2100000,3216000,1282000
50,Tax Payable,248257,149256,177487,357787,600087,746000,845000,859000,1057000
51,Deferred Revenue,1499605,1502583,1711056,1678435,592650,548000,- -,- -,- -
52,Other Current Liabilities,2384491,2093262,2230524,2412614,2558205,4033000,4274000,3769000,6969000
53,Total Current Liabilities,5619914,5539271,7746064,8601223,8794679,15082000,13865000,13908000,22853000
54,Long-Term Debt,99445,45715,503993,481858,219933,74000,2000,10038000,8837000
55,Deferred Revenue,- -,- -,- -,- -,- -,1673000,- -,- -,- -
56,Deferred Tax Liabilities,22157175,15704552,9084632,3012580,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,229907,337112,470624,1041422,1343486,1387000,1701000,3762000,1428000
58,Total Non-Current Liabilities,22486527,16087379,10059249,4535860,1563419,3134000,1703000,13800000,10265000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,37000,2000,130000
61,Total Liabilities,28106441,21626650,17805313,13137083,10358098,18216000,15568000,27708000,33118000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,100300,100300,100300,100300,164445,223000,268000,386000,409000
64,Retained Earnings,-7134818,-7493635,-8823324,-7045045,-17229085,-33617000,-30218000,-33619000,-49635000
65,Other Comprehensive Income/Loss,66045025,58900588,51492855,42667436,36081725,17530000,-14670000,4777000,-26979000
66,Other Total Stockholders Equity,- -,- -,- -,- -,44991815,77460000,86012000,139668000,165072000
67,Total Stockholders Equity,59010507,51507253,42769831,35722691,64008900,61596000,41392000,111212000,88867000
68,Total Liabilities And Stockholders Equity,87116948,73133903,60575144,48859774,74366998,79812000,56960000,138920000,121985000
69,Minority Interest,- -,- -,-1,- -,- -,- -,-1000,- -,- -
70,Total Liabilities & Equity,87116948,73133903,60575143,48859774,74366998,79812000,56959000,138920000,121985000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-7134818,-7493635,-8823324,-7045045,-17229085,-33617000,-30218000,-33619000,-49635000
74,Depreciation and Amortization,1382181,1228253,1301194,1648224,1422268,2316000,1579000,1888000,-1288000
75,Deferred Income Tax,-6759811,-8195140,-9812118,-9807597,-7872153,-4718000,-4297000,-7654000,-3270000
76,Stock Based Compensation,2217,44950,67460,- -,683606,833000,1407000,938000,2089000
77,Change in Working Capital,186561,76930,1760016,-2680098,2548295,974000,-769000,-1973000,979000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-528369,51355,-3422,8557,-1250,30000,22000,68000,-72000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
