,https://roic.ai/company/SURG,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,10000,10000,10000,- -,- -,1451,1880,2832853,3296750,13459980,15244160,25742940,54406788,51060589
2,COGS,- -,- -,- -,20000,40000,20000,10000,- -,1180,1190,2332194,2328470,8096080,8570240,20305450,51938111,44890610
3,Gross Profit,- -,- -,- -,-10000,-30000,-10000,- -,- -,271,690,500659,968280,5363900,6673920,5437490,2468677,6169979
4,Gross Profit Ratio,- -,- -,- -,-1.0000,-3.0000,-1.0000,- -,- -,0.1868,0.3670,0.1767,0.2937,0.3985,0.4378,0.2112,0.0454,0.1208
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,20000,70000,10000,650000,870000,370000,650000,36624,50010,1186528,3269270,5152680,8059740,12978190,9417706,12162547
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36601,- -,- -,- -,- -,273031,- -
8,"Selling, General and Administrative Exp.",- -,20000,70000,10000,650000,870000,370000,650000,36624,50010,1223129,3269270,5152680,8059740,12978190,9690737,12162547
9,Other Expenses,- -,-3093,2773,-0,1113,9006,4157,2889,108,157,501091,396164,-2386771,149644,-758307,1173369,- -
10,Operating Expenses,- -,16907,72773,10000,651113,879006,374157,652889,36732,50167,1724220,3665434,2765909,8209384,12219883,10864106,12162547
11,COGS and Expenses,- -,20000,70000,30000,1110000,1350000,430000,650000,37912,51350,4056414,6510670,10668100,16736510,33992160,62802217,57053157
12,Interest Income ,- -,- -,- -,- -,- -,900,- -,- -,- -,- -,65,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,46,- -,- -,437,49618,37057,13129,37494,40629,15201,1660338,416959,140457,227016,3383996,-3840616
14,Depreciation and Amortization,- -,- -,- -,- -,5799,6943,1530,130,108,159,501091,433118,119262,149642,55608,1370750,917468
15,EBITDA,- -,-20000,-70000,-30000,-1093764,-1323439,-500000,-670000,-24686,-14832,-819811,-2506724,3304081,-1168751,-8164406,-5966880,-16454292
16,EBITDA ratio,- -,-Infinity,-Infinity,-3.0000,-109.3764,-132.3439,-Infinity,-Infinity,-17.0131,-7.8894,-0.2894,-0.7604,0.2455,-0.0767,-0.3172,-0.1097,-0.3223
17,Operating Income,- -,-20407,-72773,-20000,-1097297,-1334256,-425335,-651939,-36461,-49478,-1320967,-3106814,-2069070,-1535469,-7768028,-10145668,-5992568
18,Operating Income ratio,- -,-Infinity,-Infinity,-2.0000,-109.7297,-133.4256,-Infinity,-Infinity,-25.1282,-26.3181,-0.4663,-0.9424,-0.1537,-0.1007,-0.3018,-0.1865,-0.1174
19,Total Other Income Expenses (Gains),- -,407,2773,-10000,-2703,-45744,-34665,-8061,-25827,-6142,-15136,-1493366,4836930,76619,-679002,-575959,-7538576
20,Income Before Tax,- -,-20000,-70000,-30000,-1100000,-1380000,-460000,-660000,-62288,-55620,-1336103,-4600180,2767860,-1458850,-8447030,-10721627,-13531144
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-3.0000,-110.0000,-138.0000,-Infinity,-Infinity,-42.9276,-29.5851,-0.4716,-1.3954,0.2056,-0.0957,-0.3281,-0.1971,-0.2650
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82230,- -,- -,- -
23,Net Income,- -,-20000,-70000,-30000,-1100000,-1380000,-460000,-660000,-62288,-55620,-1336103,-4600180,2767860,-1541080,-8447030,-10721626,-13531144
24,Net Income ratio,- -,-Infinity,-Infinity,-3.0000,-110.0000,-138.0000,-Infinity,-Infinity,-42.9276,-29.5851,-0.4716,-1.3954,0.2056,-0.1011,-0.3281,-0.1971,-0.2650
25,EPS,- -,-72.02,-7.67,-3.00,-92.00,-103.50,-23.00,-34.50,-3.32,-2.97,-2.00,-5.00,-1.50,-1.00,-4.50,-5.00,-0.10
26,EPS Diluted,- -,-72.02,-7.67,-3.00,-92.00,-103.50,-23.00,-34.50,-3.32,-2.97,-2.00,-5.00,-1.50,-1.00,-4.50,-5.00,-0.10
27,Weighted Average Shares Outstanding,- -,284,14217,10000,12013,13782,16576,18743,18743,18743,664422,895926,1523667,1631337,1923734,2134416,130222802
28,Weighted Average Shares Outstanding Diluted,- -,284,14217,10000,12013,13782,16576,18743,18743,18743,664422,895926,1523667,1631337,1923734,2134416,130222802
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1392694/000114420409041231/0001144204-09-041231-index.htm,https://www.sec.gov/Archives/edgar/data/1392694/000114420410040165/0001144204-10-040165-index.html,https://www.sec.gov/Archives/edgar/data/1392694/000137482611000074/0001374826-11-000074-index.html,https://www.sec.gov/Archives/edgar/data/1392694/000147124212000985/0001471242-12-000985-index.html,- -,https://www.sec.gov/Archives/edgar/data/1392694/000149315214002278/0001493152-14-002278-index.html,- -,https://www.sec.gov/Archives/edgar/data/1392694/000149315217014457/0001493152-17-014457-index.htm,https://www.sec.gov/Archives/edgar/data/1392694/000149315218005000/0001493152-18-005000-index.htm,https://www.sec.gov/Archives/edgar/data/1392694/000149315219004471/0001493152-19-004471-index.html,https://www.sec.gov/Archives/edgar/data/1392694/000149315220008410/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1392694/000149315221007818/0001493152-21-007818-index.htm,https://www.sec.gov/Archives/edgar/data/1392694/000149315222007663/0001493152-22-007663-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,70000,- -,190000,30000,- -,- -,- -,482,320,69489,63710,1274160,444610,346040,673995,6283496
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,414612,- -
33,Cash and Short-Term Investments,- -,70000,- -,190000,30000,- -,- -,- -,482,320,69489,63710,1274160,444610,346040,1088607,6283496
34,Net Receivables,- -,- -,- -,60000,40000,10000,- -,- -,244,370,275092,126430,24530,396680,3071170,393120,3249889
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178309,4359296
36,Other Current Assets,- -,10000,- -,-10000,80000,260000,10000,- -,- -,- -,1462,568700,1690730,2218530,157680,-409007,- -
37,Total Current Assets,- -,80000,- -,240000,150000,270000,10000,- -,726,690,346043,758840,2989420,3059820,3574890,1251029,13892681
38,PP&E,- -,- -,- -,520000,180000,50000,- -,- -,2068,1910,14422,14430,25960,30990,505430,605448,486668
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,866780,- -,866780,866780,866782,866782
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2266358,217200,- -,65270,4769120,4125742,3433484
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2266358,1083980,- -,932050,5635900,4992524,4300266
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203700,414612,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
