,https://roic.ai/company/TEAM,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,148512000,215109000,319521000,457058000,626684000,880978000,1210127000,1614173000,2089132000
2,COGS,33031000,37986000,52932000,75783000,119161000,172690000,210285000,268807000,336021000
3,Gross Profit,115481000,177123000,266589000,381275000,507523000,708288000,999842000,1345366000,1753111000
4,Gross Profit Ratio,0.7776,0.8234,0.8343,0.8342,0.8099,0.8040,0.8262,0.8335,0.8392
5,Research and Development Exp.,57301000,78640000,140853000,208306000,310169000,415776000,579134000,763022000,963326000
6,General and Administrative Exp.,26266000,40814000,57330000,110774000,144528000,167559000,268011000,555232000,315242000
7,Selling and Marketing Exp.,18795000,34968000,67989000,67989000,93391000,134908000,187315000,- -,372909000
8,"Selling, General and Administrative Exp.",45061000,75782000,125319000,178763000,237919000,302467000,455326000,555232000,688151000
9,Other Expenses,- -,- -,- -,86000,15773000,36765000,28744000,13026000,- -
10,Operating Expenses,102362000,154422000,266172000,387155000,563861000,755008000,1063204000,1331280000,1651477000
11,COGS and Expenses,135393000,192408000,319104000,462938000,682518000,927023000,1273489000,1600087000,1987498000
12,Interest Income ,474000,317000,226000,2116000,4851000,9877000,33500000,27801000,7174000
13,Interest Expense (Gain),272000,228000,74000,2421000,4683000,873000,-7443000,-20899000,122713000
14,Depreciation and Amortization,12060000,13316000,15511000,21926000,61546000,79435000,70248000,97398000,92848000
15,EBITDA,23735000,35772000,14836000,36244000,38060000,-15976000,-542751000,-269710000,-419103000
16,EBITDA ratio,0.1598,0.1663,0.0464,0.0793,0.0607,-0.0181,-0.4485,-0.1671,-0.2006
17,Operating Income,13119000,22701000,417000,-5880000,-63086000,-53748000,-63362000,14086000,101634000
18,Operating Income ratio,0.0883,0.1055,0.0013,-0.0129,-0.1007,-0.0610,-0.0524,0.0087,0.0486
19,Total Other Income Expenses (Gains),-1716000,-473000,-1166000,973000,10686000,-4383000,-542194000,-360295000,-736298000
20,Income Before Tax,11403000,22228000,-749000,-4907000,-52400000,-58131000,-605556000,-346209000,-634664000
21,Income Before Tax Ratio,0.0768,0.1033,-0.0023,-0.0107,-0.0836,-0.0660,-0.5004,-0.2145,-0.3038
22,Income Tax expense (Gain),642000,3246000,-7524000,7524000,9280000,17148000,32065000,4445000,61651000
23,Net Income,10761000,18982000,6775000,4373000,-37449000,-113432000,-637621000,-350654000,-696315000
24,Net Income ratio,0.0725,0.0882,0.0212,0.0096,-0.0598,-0.1288,-0.5269,-0.2172,-0.3333
25,EPS,0.05,0.09,0.03,0.02,-0.19,-0.52,-2.67,-1.43,-2.79
26,EPS Diluted,0.05,0.09,0.03,0.02,-0.19,-0.52,-2.67,-1.43,-2.79
27,Weighted Average Shares Outstanding,208675129,208675129,208675129,182773000,222224000,231184000,238611000,244844000,249679000
28,Weighted Average Shares Outstanding Diluted,208675129,208675129,208675129,193481000,222224000,231184000,238611000,244844000,249679000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1650372/000165037216000018/0001650372-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/1650372/000165037217000022/0001650372-17-000022-index.html,https://www.sec.gov/Archives/edgar/data/1650372/000165037218000038/0001650372-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1650372/000165037219000020/a20-f06302019.htm,https://www.sec.gov/Archives/edgar/data/1650372/000165037220000030/0001650372-20-000030-index.htm,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,116766000,187094000,259709000,244420000,1410339000,1268441000,1479969000,919227000
32,Short-Term Investments,- -,45235000,30251000,483405000,305499000,323134000,445046000,676072000,313001000
33,Cash and Short-Term Investments,- -,162001000,217345000,743114000,549919000,1733473000,1713487000,2156041000,1232228000
34,Net Receivables,- -,6162000,14310000,21246000,39252000,64344000,87722000,111283000,183365000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,3040000,6976000,14178000,23317000,24214000,240902000,376462000,211913000
37,Total Current Assets,- -,171203000,238631000,778538000,612488000,1822031000,2042111000,2643786000,1627506000
38,PP&E,- -,16038000,41948000,58762000,41173000,51656000,81459000,315331000,271521000
39,Goodwill,- -,1724000,7152000,7138000,311900000,311943000,608907000,645140000,725758000
40,Intangible Assets,- -,18984000,21099000,13577000,120789000,63577000,150975000,129690000,124590000
41,Intangible Assets,- -,20708000,28251000,20715000,432689000,375520000,759882000,774830000,850348000
42,Investments,- -,- -,- -,- -,- -,- -,61932000,103937000,122159000
43,Tax Assets,- -,48222000,81519000,6639000,43950000,12160000,13872000,31304000,36174000
44,Other Non-Current Assets,- -,5867000,6812000,126319000,153558000,160461000,18002000,24884000,37636000
45,Total Non-Current Assets,- -,90835000,158530000,212435000,671370000,599797000,935147000,1250286000,1317838000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,262038000,397161000,990973000,1283858000,2421828000,2977258000,3894072000,2945344000
48,Accounts Payable,- -,4437000,10598000,9561000,12464000,17119000,24993000,30738000,40366000
49,Short-Term Debt,- -,312000,526000,766000,688000,1420000,855189000,923926000,391245000
50,Tax Payable,- -,2539000,3977000,5296000,8321000,8248000,20861000,28592000,52203000
