,https://roic.ai/company/ACIU,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,30269000,39090000,23214000,20255000,7194000,111026000,15431000,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,16116000,17049000,25774000,32663000,44277000,50432000,59487000,62282000
6,General and Administrative Exp.,1999000,2040000,4728000,6274000,7564000,9421000,11086000,10879000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1999000,2040000,4728000,6274000,7564000,9421000,11086000,10879000
9,Other Expenses,1437000,1377000,3168000,3857000,4903000,6637000,6118000,5849000
10,Operating Expenses,19552000,20466000,33670000,42794000,56744000,66490000,76691000,79010000
11,COGS and Expenses,19552000,20466000,33670000,42794000,56744000,66490000,76691000,79010000
12,Interest Income ,22000,55000,43000,330000,29000,304000,78000,6485000
13,Interest Expense (Gain),4000,26000,256000,147000,298000,1894000,184000,581000
14,Depreciation and Amortization,298000,287000,278000,580000,961000,1694000,1967000,2406000
15,EBITDA,11046000,20583000,-6562000,-25684000,-49692000,49030000,-59770000,-70119000
16,EBITDA ratio,0.3649,0.5266,-0.2827,-1.2680,-6.9074,0.4416,-3.8734,-Infinity
17,Operating Income,10717000,18624000,-10456000,-22539000,-49550000,44536000,-61260000,-79010000
18,Operating Income ratio,0.3541,0.4764,-0.4504,-1.1128,-6.8877,0.4011,-3.9699,-Infinity
19,Total Other Income Expenses (Gains),27000,1646000,3360000,-3872000,-1401000,906000,-661000,6017000
20,Income Before Tax,10744000,20270000,-7096000,-26411000,-50951000,45442000,-61921000,-72993000
21,Income Before Tax Ratio,0.3550,0.5185,-0.3057,-1.3039,-7.0824,0.4093,-4.0128,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,3000
23,Net Income,10744000,20270000,-7096000,-26411000,-50951000,45442000,-61921000,-72996000
24,Net Income ratio,0.3550,0.5185,-0.3057,-1.3039,-7.0824,0.4093,-4.0128,-Infinity
25,EPS,0.19,0.47,-0.14,-0.46,-0.82,0.64,-0.86,-0.97
26,EPS Diluted,0.19,0.44,-0.14,-0.46,-0.82,0.64,-0.86,-0.97
27,Weighted Average Shares Outstanding,55396042,43412250,50096859,57084295,61838228,70603611,71900212,74951833
28,Weighted Average Shares Outstanding Diluted,55396042,46043198,50096859,57084295,61838228,71103341,71900212,74951833
