,https://roic.ai/company/TEL,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,9930000000,9217000000,10079000000,10924000000,12812000000,13460000000,14834000000,10256000000,12070000000,14312000000,13282000000,13280000000,13912000000,12233000000,11352000000,12185000000,13988000000,13448000000,12172000000,14923000000
2,COGS,- -,- -,- -,- -,9447000000,10012000000,11064000000,7720000000,8293000000,9890000000,9236000000,8951000000,9220000000,8146000000,7525000000,8002000000,9243000000,9054000000,8437000000,10036000000
3,Gross Profit,- -,- -,2901000000,2978000000,3365000000,3448000000,3770000000,2536000000,3777000000,4422000000,4046000000,4329000000,4692000000,4087000000,3827000000,4183000000,4745000000,4394000000,3735000000,4887000000
4,Gross Profit Ratio,- -,- -,0.2878,0.2726,0.2626,0.2562,0.2541,0.2473,0.3129,0.3090,0.3046,0.3260,0.3373,0.3341,0.3371,0.3433,0.3392,0.3267,0.3069,0.3275
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,536000000,585000000,733000000,688000000,675000000,675000000,627000000,603000000,611000000,680000000,644000000,613000000,677000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,1664000000,1680000000,1408000000,1538000000,1780000000,1685000000,1777000000,1882000000,1504000000,1396000000,1543000000,1594000000,1490000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,1664000000,1680000000,1408000000,1538000000,1780000000,1685000000,1777000000,1882000000,1504000000,1396000000,1543000000,1594000000,1490000000,- -,1512000000
9,Other Expenses,- -,- -,-7178000000,-7946000000,1956000000,1031000000,344000000,4044000000,138000000,- -,155000000,321000000,90000000,207000000,108000000,153000000,140000000,282000000,1392000000,- -
10,Operating Expenses,- -,- -,-7178000000,-7946000000,1956000000,2695000000,2024000000,5988000000,2261000000,2513000000,2528000000,2773000000,2647000000,2338000000,2107000000,2307000000,2414000000,2416000000,2005000000,2189000000
11,COGS and Expenses,- -,- -,- -,- -,11403000000,12707000000,13088000000,13708000000,10554000000,12571000000,11764000000,11724000000,11867000000,10484000000,9544000000,10309000000,11657000000,11470000000,10442000000,12225000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,17000000,20000000,22000000,23000000,17000000,19000000,17000000,19000000,20000000,15000000,19000000,15000000,17000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,165000000,155000000,161000000,176000000,142000000,131000000,136000000,127000000,130000000,107000000,68000000,48000000,56000000
14,Depreciation and Amortization,- -,- -,- -,- -,531000000,535000000,559000000,515000000,520000000,574000000,609000000,607000000,617000000,616000000,585000000,635000000,667000000,690000000,711000000,769000000
15,EBITDA,-4440000000,-228000000,762000000,1144000000,1756000000,475000000,2899000000,-2000000000,2271000000,2356000000,2152000000,1996000000,2736000000,3509000000,1942000000,2703000000,2995000000,2587000000,1301000000,3209000000
16,EBITDA ratio,-0.4471,-0.0247,0.0756,0.1047,0.1371,0.0353,0.1954,-0.1950,0.1882,0.1646,0.1620,0.1503,0.1967,0.2868,0.1711,0.2218,0.2141,0.1924,0.1069,0.2150
17,Operating Income,-4253000000,547000000,1574000000,1961000000,1409000000,753000000,1746000000,-3474000000,1516000000,1741000000,1518000000,1556000000,2045000000,1749000000,1902000000,2047000000,2331000000,1978000000,537000000,2434000000
18,Operating Income ratio,-0.4283,0.0593,0.1562,0.1795,0.1100,0.0559,0.1177,-0.3387,0.1256,0.1216,0.1143,0.1172,0.1470,0.1430,0.1675,0.1680,0.1666,0.1471,0.0441,0.1631
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-208000000,-397000000,411000000,-196000000,42000000,-112000000,-103000000,-308000000,-49000000,-174000000,-881000000,-327000000,-91000000,-47000000,-13000000,-56000000
20,Income Before Tax,- -,- -,- -,- -,1201000000,356000000,2157000000,-3670000000,1558000000,1629000000,1415000000,1248000000,1996000000,1575000000,1021000000,1720000000,2240000000,1931000000,524000000,2378000000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.0937,0.0264,0.1454,-0.3578,0.1291,0.1138,0.1065,0.0940,0.1435,0.1288,0.0899,0.1412,0.1601,0.1436,0.0430,0.1594
22,Income Tax expense (Gain),- -,- -,- -,- -,32000000,494000000,558000000,576000000,493000000,376000000,249000000,-29000000,207000000,337000000,-779000000,255000000,-344000000,-15000000,783000000,123000000
23,Net Income,-4440000000,-228000000,762000000,1144000000,1193000000,-554000000,1782000000,-3256000000,1103000000,1245000000,1118000000,1276000000,1781000000,2420000000,2009000000,1683000000,2565000000,1844000000,-241000000,2261000000
24,Net Income ratio,-0.4471,-0.0247,0.0756,0.1047,0.0931,-0.0412,0.1201,-0.3175,0.0914,0.0870,0.0842,0.0961,0.1280,0.1978,0.1770,0.1381,0.1834,0.1371,-0.0198,0.1515
25,EPS,-8.93,-0.46,1.53,2.30,2.40,-1.11,3.69,-7.09,2.43,2.84,2.61,3.05,4.34,5.98,5.49,4.74,7.33,5.46,-0.73,6.85
26,EPS Diluted,-8.93,-0.46,1.53,2.30,2.40,-1.11,3.67,-7.09,2.41,2.81,2.59,3.02,4.27,5.89,5.44,4.70,7.27,5.42,-0.73,6.79
27,Weighted Average Shares Outstanding,497000000,495652174,498039216,497391304,497000000,497000000,483000000,459000000,453000000,438000000,426000000,418000000,410000000,405000000,366000000,355000000,350000000,338000000,332000000,330000000
28,Weighted Average Shares Outstanding Diluted,497000000,495652174,498039216,497391304,497000000,497000000,486000000,459000000,457000000,443000000,430000000,423000000,417000000,411000000,369000000,358000000,353000000,340000000,332000000,333000000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1385157/000104746907010039/0001047469-07-010039-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746908012452/0001047469-08-012452-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746909010297/0001047469-09-010297-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746910009566/0001047469-10-009566-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746911009687/0001047469-11-009687-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746912010439/0001047469-12-010439-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746913010572/0001047469-13-010572-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746914009088/0001047469-14-009088-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746915008508/0001047469-15-008508-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746916016719/0001047469-16-016719-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746917007037/0001047469-17-007037-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746918007210/0001047469-18-007210-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000155837019010758/0001558370-19-010758-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000155837020013511/0001558370-20-013511-index.htm,https://www.sec.gov/Archives/edgar/data/1385157/000155837021015228/0001558370-21-015228-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
