,https://roic.ai/company/MASI,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6700000,- -,- -,38832000,46734000,69357000,107890000,224338000,256300000,- -,307100000,349100000,438988000,493200000,547200000,- -,586643000,694625000,790248000,858289000,937837000,- -,1143744000
2,COGS,6400000,- -,- -,18635000,22448000,- -,42717000,61640000,73600000,- -,89500000,100300000,144854000,167000000,188400000,- -,195864000,230826000,268216000,283397000,308665000,- -,400679000
3,Gross Profit,300000,- -,- -,20197000,24286000,- -,65173000,162698000,182700000,- -,217600000,248800000,294134000,326200000,358800000,- -,390779000,463799000,522032000,574892000,629172000,- -,743065000
4,Gross Profit Ratio,0.0448,- -,- -,0.5201,0.5197,- -,0.6041,0.7252,0.7128,- -,0.7086,0.7127,0.6700,0.6614,0.6557,- -,0.6661,0.6677,0.6606,0.6698,0.6709,- -,0.6497
5,Research and Development Exp.,6000000,- -,- -,4369000,4567000,- -,8548000,24875000,23000000,- -,25500000,31700000,38412000,47100000,55600000,- -,56581000,59362000,61953000,76967000,93295000,- -,118659000
6,General and Administrative Exp.,7800000,- -,- -,- -,- -,- -,43085000,91493000,91200000,- -,120100000,134600000,169205000,193900000,215500000,- -,241016000,253667000,276292000,289456000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7800000,- -,- -,14636000,21947000,- -,43085000,91493000,91234000,- -,120069000,134875000,169205000,193948000,215469000,- -,241016000,253667000,275786000,289456000,314661000,- -,369057000
9,Other Expenses,-0,- -,- -,1118000,4245000,- -,1736000,-201368000,1466000,- -,631000,25000,- -,-48000,8031000,- -,-10331000,- -,506000,425000,- -,- -,- -
10,Operating Expenses,13800000,- -,- -,20123000,30759000,- -,53369000,-85000000,115700000,- -,146200000,166600000,207617000,241000000,279100000,- -,287266000,313029000,338245000,366848000,407956000,- -,487716000
11,COGS and Expenses,20200000,- -,- -,38758000,53207000,- -,96086000,-84597000,189300000,- -,235700000,266900000,352471000,408000000,467500000,- -,483130000,543855000,606461000,650245000,716621000,- -,888395000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000,- -,- -,- -,- -,- -,- -,- -,- -,13917000,- -,5534000
13,Interest Expense (Gain),300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,- -,- -,- -,- -,- -,- -,- -,- -,328000,- -,338000
14,Depreciation and Amortization,1600000,- -,- -,- -,- -,2300000,2958000,3669000,5263000,- -,5745000,5979000,7342000,9369000,11421000,- -,12818000,16817000,20061000,21127000,23487000,- -,29300000
15,EBITDA,-11300000,- -,- -,-183000,-6892000,-1543000,10327000,318072000,73430000,- -,78109000,87412000,93520000,93552000,89826000,- -,113014000,435158000,212608000,234903000,257981000,- -,293394000
16,EBITDA ratio,-1.6866,- -,- -,-0.0047,-0.1475,-0.0222,0.0957,1.4178,0.2865,- -,0.2543,0.2504,0.2130,0.1897,0.1642,- -,0.1926,0.6265,0.2690,0.2737,0.2751,- -,0.2565
17,Operating Income,-13500000,- -,- -,74000,-6473000,69357000,11804000,308935000,66900000,- -,71400000,82200000,86517000,85226000,79717000,- -,103513000,420770000,197361000,208044000,221216000,- -,255823000
18,Operating Income ratio,-2.0149,- -,- -,0.0019,-0.1385,1.0000,0.1094,1.3771,0.2610,- -,0.2325,0.2355,0.1971,0.1728,0.1457,- -,0.1764,0.6058,0.2497,0.2424,0.2359,- -,0.2237
19,Total Other Income Expenses (Gains),300000,- -,- -,-255000,-419000,- -,-4435000,5468000,1200000,- -,1000000,- -,14000,-1426000,-4017000,- -,-1472000,-2429000,-11561000,5732000,12950000,- -,7913000
20,Income Before Tax,-13200000,- -,- -,-181000,-6892000,- -,7369000,314403000,68100000,- -,72400000,82200000,86531000,83800000,75700000,- -,102041000,418341000,185800000,213776000,234166000,- -,263736000
21,Income Before Tax Ratio,-1.9701,- -,- -,-0.0047,-0.1475,- -,0.0683,1.4015,0.2657,- -,0.2358,0.2355,0.1971,0.1699,0.1383,- -,0.1739,0.6023,0.2351,0.2491,0.2497,- -,0.2306
22,Income Tax expense (Gain),- -,- -,- -,-1000,2000,- -,-26012000,132577000,25867000,- -,40464000,28158000,22478000,21883000,20005000,- -,27678000,117675000,67758000,20233000,37950000,- -,23454000
23,Net Income,-13200000,- -,- -,-182000,-6894000,-3843000,33381000,181826000,42300000,- -,31900000,53200000,63700000,62300000,58400000,- -,72518000,300666000,124789000,193543000,196216000,- -,240302000
24,Net Income ratio,-1.9701,- -,- -,-0.0047,-0.1475,-0.0554,0.3094,0.8105,0.1650,- -,0.1039,0.1524,0.1451,0.1263,0.1067,- -,0.1236,0.4328,0.1579,0.2255,0.2092,- -,0.2101
25,EPS,-0.25,- -,- -,-0.93,-1.64,-1.31,0.57,3.79,0.71,- -,0.57,0.92,1.07,1.08,1.03,- -,1.33,6.07,2.55,3.70,3.67,- -,4.39
