,https://roic.ai/company/ELTK,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,25000000,23800000,22309000,24617000,25989000,23244000,24732000,28838000,31378000,41171000,37476000,43138000,36442000,37514000,46830000,45646000,50235000,46626000,41350000,37065000,32754000,33939000,34794000,36707000,33823000
2,COGS,19100000,18200000,16260000,17523000,21961000,22905000,23440000,25377000,25143000,32313000,31879000,37282000,30882000,32690000,38101000,37836000,42242000,40604000,34802000,34248000,31427000,31342000,28787000,28969000,26926000
3,Gross Profit,5900000,5600000,6049000,7094000,4028000,339000,1292000,3461000,6235000,8858000,5597000,5856000,5560000,4824000,8729000,7810000,7993000,6022000,6548000,2817000,1327000,2597000,6007000,7738000,6897000
4,Gross Profit Ratio,0.2360,0.2353,0.2711,0.2882,0.1550,0.0146,0.0522,0.1200,0.1987,0.2152,0.1493,0.1358,0.1526,0.1286,0.1864,0.1711,0.1591,0.1292,0.1584,0.0760,0.0405,0.0765,0.1726,0.2108,0.2039
5,Research and Development Exp.,- -,- -,- -,- -,86000,25000,-4000,- -,140000,163000,74000,- -,- -,- -,- -,- -,- -,72000,90000,117000,41000,- -,16000,2000,78000
6,General and Administrative Exp.,- -,2900000,2608000,- -,3093000,3260000,3424000,4214000,4315000,5754000,5683000,7199000,6016000,6033000,6155000,6040000,6722000,6773000,4961000,4699000,4704000,4669000,4604000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2200000,2900000,2608000,2926000,3093000,3260000,3424000,4214000,4315000,5754000,5683000,7199000,6016000,6033000,6155000,6040000,6722000,6773000,4961000,4699000,4704000,4669000,4604000,4704000,4870000
9,Other Expenses,1600000,1800000,1978000,3193000,- -,63000,133000,136000,129000,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3800000,4700000,4586000,6119000,3179000,3348000,3553000,4350000,4584000,5917000,5757000,7099000,6016000,6033000,6155000,6040000,6722000,6845000,5051000,4816000,4745000,4669000,4620000,4706000,4948000
11,COGS and Expenses,22900000,22900000,20846000,23642000,25140000,26253000,26993000,29727000,29727000,38230000,37636000,44381000,36898000,38723000,44256000,43876000,48964000,47449000,39853000,39064000,36172000,36011000,33407000,33675000,31874000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),700000,- -,666000,451000,390000,311000,683000,680000,228000,568000,336000,681000,424000,609000,166000,407000,390000,149000,277000,304000,262000,384000,306000,16000,30000
14,Depreciation and Amortization,1600000,1800000,1978000,3193000,2503000,3054000,3544000,3235000,2497000,2457000,2264000,2224000,2030000,2054000,2091000,2253000,1739000,1893000,1731000,1856000,2070000,1649000,1508000,1592000,1781000
15,EBITDA,3700000,1100000,2728000,2931000,3507000,65000,1305000,2400000,3868000,5467000,2299000,459000,1608000,960000,4134000,3402000,2977000,1011000,3269000,-306000,-1369000,-511000,3684000,4287000,3313000
16,EBITDA ratio,0.1480,0.0462,0.1223,0.1191,0.1349,0.0028,0.0528,0.0832,0.1233,0.1328,0.0613,0.0106,0.0441,0.0256,0.0883,0.0745,0.0593,0.0217,0.0791,-0.0083,-0.0418,-0.0151,0.1059,0.1168,0.0980
17,Operating Income,2100000,900000,1463000,975000,849000,-3009000,-2261000,-889000,1651000,2941000,-160000,-1622000,-456000,-1209000,2574000,1289000,1271000,-903000,1497000,-1999000,-3418000,-2072000,1387000,3032000,1949000
18,Operating Income ratio,0.0840,0.0378,0.0656,0.0396,0.0327,-0.1295,-0.0914,-0.0308,0.0526,0.0714,-0.0043,-0.0376,-0.0125,-0.0322,0.0550,0.0282,0.0253,-0.0194,0.0362,-0.0539,-0.1044,-0.0611,0.0399,0.0826,0.0576
19,Total Other Income Expenses (Gains),- -,-1000000,-713000,-1237000,-235000,-248000,-688000,-668000,-555000,-562000,-137000,-825000,-420000,-607000,-728000,-541000,-465000,-318000,-253000,-568000,-283000,-472000,483000,-353000,-447000
20,Income Before Tax,- -,- -,- -,- -,614000,-3257000,-2949000,-1557000,1096000,2379000,-297000,-2447000,-876000,-1816000,1846000,748000,806000,-1221000,1244000,-2567000,-3701000,-2544000,1870000,2679000,1502000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.0236,-0.1401,-0.1192,-0.0540,0.0349,0.0578,-0.0079,-0.0567,-0.0240,-0.0484,0.0394,0.0164,0.0160,-0.0262,0.0301,-0.0693,-0.1130,-0.0750,0.0537,0.0730,0.0444
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,82000,44000,-164000,- -,166000,- -,- -,34000,19000,31000,52000,-2975000,1634000,218000,1158000,74000,63000,77000,71000,-3537000
23,Net Income,1400000,-700000,84000,-713000,614000,-3382000,-2966000,-1351000,1143000,2276000,-301000,-2446000,-880000,-1722000,1846000,690000,3823000,-2665000,1043000,-3624000,-3775000,-2607000,1793000,2608000,5039000
24,Net Income ratio,0.0560,-0.0294,0.0038,-0.0290,0.0236,-0.1455,-0.1199,-0.0468,0.0364,0.0553,-0.0080,-0.0567,-0.0241,-0.0459,0.0394,0.0151,0.0761,-0.0572,0.0252,-0.0978,-0.1153,-0.0768,0.0515,0.0710,0.1490
25,EPS,1.95,-0.75,0.10,-0.75,0.65,-3.45,-2.46,-0.94,0.84,2.03,-0.25,-1.85,-0.65,-1.30,1.40,0.50,2.65,-1.30,0.50,-1.80,-1.58,-1.28,0.48,0.58,- -
26,EPS Diluted,1.95,-0.75,0.10,-0.75,0.65,-3.45,-2.46,-0.94,0.84,1.65,-0.25,-1.85,-0.65,-1.30,1.40,0.50,2.65,-1.30,0.50,-1.80,-1.58,-1.28,0.48,0.58,- -
27,Weighted Average Shares Outstanding,717949,933333,950600,982600,977200,977200,1189600,1377000,1736200,1123400,1249400,1322000,1322021,1322021,1322000,1322000,1439800,2028600,2028600,2028600,2028552,2029000,3734000,4495000,- -
28,Weighted Average Shares Outstanding Diluted,717949,933333,950600,982600,977200,977200,1189600,1377000,1736200,1390800,1249400,1322000,1322021,1322021,1322000,1322000,1439800,2028600,2028600,2028600,2028552,2029000,3734000,4501000,- -
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1024672/000117891311001608/zk110961.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891312000947/zk1211114.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891313001260/zk1312956.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891314001425/zk1414785.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891315001168/0001178913-15-001168-index.html,https://www.sec.gov/Archives/edgar/data/1024672/000117891316004807/0001178913-16-004807-index.html,https://www.sec.gov/Archives/edgar/data/1024672/000117891317000898/0001178913-17-000898-index.html,https://www.sec.gov/Archives/edgar/data/1024672/000117891318001342/zk1821546.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891319001176/zk1922934.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891320001233/zk2024297.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,200000,378000,- -,1424000,1342000,998000,986000,1577000,2030000,2467000,1556000,1258000,1513000,892000,1935000,2514000,1129000,1038000,1234000,887000,992000,1628000,4735000,9283000
