,https://roic.ai/company/CBAY,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,3050000,- -,- -,- -,- -,10000000,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,9280000,4525000,15823000,17026000,15941000,18938000,58124000,83837000,35882000,64542000
6,General and Administrative Exp.,4208000,4871000,8185000,8871000,9645000,12387000,14381000,19238000,17425000,23040000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4208000,4871000,8185000,8871000,9645000,12387000,14381000,19238000,17425000,23040000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,13488000,9396000,24008000,25897000,25586000,31325000,72505000,103075000,53307000,87582000
11,COGS and Expenses,13488000,9396000,24008000,25897000,25586000,31325000,72505000,103075000,53307000,- -
12,Interest Income ,22000,10000,74000,160000,176000,621000,3988000,5342000,1616000,167000
13,Interest Expense (Gain),841000,822000,755000,913000,1337000,1080000,336000,- -,- -,-2583000
14,Depreciation and Amortization,119000,55000,18000,22000,29000,35000,105000,572000,632000,- -
15,EBITDA,-10295000,-9341000,-23990000,-25875000,-25557000,-26442000,-72400000,-102503000,-53380000,-87582000
16,EBITDA ratio,-3.3754,-Infinity,-Infinity,-Infinity,-Infinity,-2.6442,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-10438000,-9396000,-24008000,-25897000,-25586000,-21325000,-72505000,-108150000,-52602000,-87582000
18,Operating Income ratio,-3.4223,-Infinity,-Infinity,-Infinity,-Infinity,-2.1325,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-817000,-677000,-7909000,10368000,-1085000,-6232000,-43000,5342000,1616000,-2416000
20,Income Before Tax,-11255000,-10073000,-31917000,-15529000,-26671000,-27557000,-72548000,-102808000,-50986000,-89998000
21,Income Before Tax Ratio,-3.6902,-Infinity,-Infinity,-Infinity,-Infinity,-2.7557,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-11255000,-10073000,-31917000,-15529000,-26671000,-27557000,-72548000,-102808000,-50986000,-89998000
24,Net Income ratio,-3.6902,-Infinity,-Infinity,-Infinity,-Infinity,-2.7557,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-1.70,17.35,-2.65,-0.82,-1.14,-0.79,-1.25,-1.53,-0.74,-1.30
26,EPS Diluted,-1.70,-0.72,-2.65,-0.83,-1.14,-0.79,-1.26,-1.53,-0.74,-1.30
27,Weighted Average Shares Outstanding,14064495,14064495,12048985,18900473,23447003,34903960,57808254,67033046,68893127,69022937
28,Weighted Average Shares Outstanding Diluted,14064495,14064495,12048985,18917213,23447003,34903960,57838299,67033046,68893127,69022937
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1042074/000119312514124127/0001193125-14-124127-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000119312515101933/0001193125-15-101933-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000119312516521392/0001193125-16-521392-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000119312517093759/0001193125-17-093759-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000156459018005831/0001564590-18-005831-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000156459019005435/0001564590-19-005435-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000119312520074946/0001193125-20-074946-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000119312521094424/0001193125-21-094424-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000119312522078287/0001193125-22-078287-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,7726000,24401000,11586000,7706000,10495000,23054000,48995000,24869000,28193000,125806000
32,Short-Term Investments,- -,6843000,23209000,33774000,6499000,74156000,129669000,166076000,118130000,- -
33,Cash and Short-Term Investments,7726000,31244000,34795000,41480000,16994000,97210000,178664000,190945000,146323000,125806000
34,Net Receivables,117000,178000,347000,186000,- -,5000000,- -,687000,277000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,147000,817000,2087000,1128000,1534000,1334000,2898000,11291000,4985000,65293000
37,Total Current Assets,7990000,32239000,37229000,42794000,18528000,103544000,181562000,202923000,151585000,191099000
38,PP&E,84000,3000,86000,64000,77000,69000,2905000,2644000,2033000,1432000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,118130000,60729000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,42000,258000,159000,221000,754000,634000,2280000,160000,-117923000,- -
45,Total Non-Current Assets,126000,261000,245000,285000,831000,703000,5185000,2804000,2240000,62161000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8116000,32500000,37474000,43079000,19359000,104247000,186747000,205727000,153825000,253260000
48,Accounts Payable,657000,697000,2085000,1008000,899000,1311000,1973000,2503000,231000,2728000
49,Short-Term Debt,13737000,38000,1355000,509000,2700000,3108000,- -,407000,482000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3556000,8753000,17019000,4629000,5712000,11891000,12442000,14726000,9144000,15638000
53,Total Current Liabilities,17950000,9488000,20459000,6146000,9311000,16310000,14415000,17636000,9857000,18366000
54,Long-Term Debt,- -,4407000,3152000,8799000,6098000,2990000,- -,- -,- -,695000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,318733000,9000,13000,19000,13000,- -,1914000,1743000,1262000,50320000
58,Total Non-Current Liabilities,318733000,4416000,3165000,8818000,6111000,2990000,1914000,1743000,1262000,51015000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
