,https://roic.ai/company/ICCT,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,347096000,165132000,438122000,595506,105692,366447,- -,- -,653000,1089000,1014000,2124
2,COGS,149561000,71224000,4876000,5296,17787,211758,- -,- -,296000,449000,305000,1009
3,Gross Profit,197535000,93908000,433246000,590210,87905,154689,- -,- -,357000,640000,709000,1115
4,Gross Profit Ratio,0.5691,0.5687,0.9889,0.9911,0.8317,0.4221,- -,- -,0.5467,0.5877,0.6992,0.5249
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1352567,4051579,2057446,2195782,7289916,3463790,- -,- -,2319000,3451000,- -,3447
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1509728,4204583,2086087,2195782,7289916,3463790,- -,- -,2319000,3451000,3434000,3447014
9,Other Expenses,5970533,3136527,2124474,1645034,109011,7875,- -,- -,262000,407000,655000,-3442661
10,Operating Expenses,7480261,7341110,4210561,3840816,7398927,3471665,- -,- -,2581000,3858000,4089000,4353
11,COGS and Expenses,5609467000,5873977000,2097714000,4700691,9133188,3683423,- -,- -,2877000,4307000,4394000,5362
12,Interest Income ,4128,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),224775,710640,550749,640445,1326074,1223816,- -,- -,2265000,232000,236000,238820
14,Depreciation and Amortization,2012855,2056033,2065723,1168034,14179,7876,- -,- -,262000,407000,655000,905217
15,EBITDA,- -,- -,- -,-2780557,-5905168,3184746,- -,- -,-1963000,-4551000,-2092000,1140546
16,EBITDA ratio,- -,- -,- -,-4.6692,-55.8715,8.6909,- -,- -,-3.0061,-4.1791,-2.0631,537.0845
17,Operating Income,-7282726,-7928875,-4631409,-4105185,-9027496,-3316976,- -,- -,-2224000,-3218000,-3380000,-3238330
18,Operating Income ratio,-0.0210,-0.0480,-0.0106,-6.8936,-85.4132,-9.0517,- -,- -,-3.4058,-2.9550,-3.3333,-1524.9340
19,Total Other Income Expenses (Gains),-7282726000,-7764878000,-4631409000,-483851,- -,- -,- -,- -,-2266000,-1972000,- -,3234839
20,Income Before Tax,- -,- -,- -,-4589036,-9027496,-3316976,- -,- -,-4490000,-5190000,-3380000,-3491
21,Income Before Tax Ratio,- -,- -,- -,-7.7061,-85.4132,-9.0517,- -,- -,-6.8760,-4.7658,-3.3333,-1.6440
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,- -,-4589036,-7245421,1953054,- -,- -,-4490000,-5190000,-2983000,-3491
24,Net Income ratio,- -,- -,- -,-7.7061,-68.5522,5.3297,- -,- -,-6.8760,-4.7658,-2.9418,-1.6440
25,EPS,-160.43,-142.60,-35.65,-17.83,-17.83,3.30,- -,- -,-5.63,-0.12,-0.05,-0.05
26,EPS Diluted,-160.43,-142.60,-35.65,-17.83,-18.15,1.69,- -,- -,-5.63,-0.12,-0.05,-0.05
27,Weighted Average Shares Outstanding,47940,81024,161063,202422,399244,591742,- -,- -,796845,44622040,58546699,76459645
28,Weighted Average Shares Outstanding Diluted,47940,81024,161063,202422,399244,1153894,- -,- -,796845,44622040,58546699,76459645
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1408057/000118518509001039/0001185185-09-001039-index.htm,https://www.sec.gov/Archives/edgar/data/1408057/000118518510001119/0001185185-10-001119-index.htm,https://www.sec.gov/Archives/edgar/data/1408057/000118518512000278/0001185185-12-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1408057/000118518513000586/0001185185-13-000586-index.htm,https://www.sec.gov/Archives/edgar/data/1408057/000118518514000401/0001185185-14-000401-index.htm,https://www.sec.gov/Archives/edgar/data/1408057/000135448815005443/0001354488-15-005443-index.htm,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1408057/000147793220001558/0001477932-20-001558-index.html,https://www.sec.gov/Archives/edgar/data/1408057/000147793221002413/0001477932-21-002413-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,52615000,86644000,18208000,67,513272,190820,- -,- -,- -,1000,445000,7619
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,52615000,86644000,18208000,67,513272,190820,- -,- -,- -,1000,445000,7619
34,Net Receivables,- -,10000000,251780000,33980,8186,18897,- -,- -,- -,224000,101000,126472
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3213000,6001000,298108000,- -,- -,25691,- -,- -,- -,9000,8000,20103
37,Total Current Assets,55828000,102645000,568096000,34047,521458,235408,- -,- -,- -,234000,554000,154194
38,PP&E,16545000,8291000,1345000,- -,- -,13051,- -,- -,- -,11000,53000,2405
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,416000,- -,491376
40,Intangible Assets,- -,- -,- -,117645,- -,- -,- -,- -,- -,1074000,- -,- -
41,Intangible Assets,- -,- -,- -,117645,- -,- -,- -,- -,- -,1490000,393000,491376
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,-55645,- -,1475061,- -,- -,- -,- -,1522000,- -
45,Total Non-Current Assets,16545000,8291000,1345000,62000,- -,1488112,- -,- -,- -,1501000,1968000,493781
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,72373000,110936000,569441000,96047,521458,1723520,- -,- -,- -,1735000,2522000,647975
48,Accounts Payable,1585901000,1791670000,1804101000,2809949,1149320,442407,- -,- -,- -,- -,1001000,1664125
49,Short-Term Debt,3711552,4931301,3293079,4389636,4820361,1292064,- -,- -,- -,1859000,935000,1518295
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,60000000,- -,- -,- -,- -,- -,- -,- -,- -,108000000,2775
52,Other Current Liabilities,3829461448,4926369699,3471785921,- -,-4181576,3049102,- -,- -,- -,664000,-108000000,- -
53,Total Current Liabilities,5419074000,6782971000,5279180000,7199585,1788105,4783573,- -,- -,- -,2523000,1936000,3185195
54,Long-Term Debt,3624198000,1791670000,1804101000,1220395,- -,4604006,- -,- -,- -,55000,13000,1429207
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,115000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108000,- -
58,Total Non-Current Liabilities,3624198000,1791670000,1804101000,1220395,- -,4604006,- -,- -,- -,170000,121000,1429207
59,Other Liabilities,- -,3678331000,- -,- -,11523327,11165388,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000,150477
61,Total Liabilities,6688070000,8669632000,5279180000,8134065,13311432,11344955,- -,- -,- -,2693000,2057000,134422
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,332377000,415462,997299,1151411,- -,- -,- -,51000,67000,90081
64,Retained Earnings,- -,- -,- -,-47986879,-55232300,-54264291,- -,- -,- -,-71344000,-74340000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,941339,- -,-334947825,39651044,41445027,43491445,- -,- -,- -,70335000,74738000,-719021
67,Total Stockholders Equity,941339,-3561912,-2570825,-7920373,-12789974,-9621435,- -,- -,- -,-958000,465000,-628940
