,https://roic.ai/company/PINS,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,472852000,755932000,1142761000,1692658000,2578027000
2,COGS,178664000,241584000,358903000,449358000,529320000
3,Gross Profit,294188000,514348000,783858000,1243300000,2048707000
4,Gross Profit Ratio,0.6222,0.6804,0.6859,0.7345,0.7947
5,Research and Development Exp.,207973000,251662000,1207059000,606194000,780264000
6,General and Administrative Exp.,61635000,77478000,354075000,336803000,300977000
7,Selling and Marketing Exp.,162514000,259929000,611590000,442807000,641279000
8,"Selling, General and Administrative Exp.",224149000,337407000,965665000,779610000,942256000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,432122000,589069000,2172724000,1385804000,1722520000
11,COGS and Expenses,610786000,830653000,2531627000,1835162000,2251840000
12,Interest Income ,8313000,13152000,30164000,16119000,4204000
13,Interest Expense (Gain),112000,995000,2137000,635000,9420000
14,Depreciation and Amortization,16135000,20859000,27791000,36988000,27500000
15,EBITDA,-113486000,-40710000,-1330911000,-89397000,357891000
16,EBITDA ratio,-0.2400,-0.0539,-1.1646,-0.0528,0.1388
17,Operating Income,-137934000,-74721000,-1388866000,-142504000,326187000
18,Operating Income ratio,-0.2917,-0.0988,-1.2154,-0.0842,0.1265
19,Total Other Income Expenses (Gains),8201000,12157000,28027000,15484000,-5216000
20,Income Before Tax,-129733000,-62564000,-1360839000,-127020000,320971000
21,Income Before Tax Ratio,-0.2744,-0.0828,-1.1908,-0.0750,0.1245
22,Income Tax expense (Gain),311000,410000,532000,1303000,4533000
23,Net Income,-130044000,-62974000,-1361371000,-128323000,316438000
24,Net Income ratio,-0.2750,-0.0833,-1.1913,-0.0758,0.1227
25,EPS,-0.29,-0.14,-3.24,-0.22,0.51
26,EPS Diluted,-0.29,-0.14,-3.24,-0.22,0.51
27,Weighted Average Shares Outstanding,448639000,448639000,420473000,596264000,618214000
28,Weighted Average Shares Outstanding Diluted,448639000,448639000,420473000,596264000,618214000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1506293/000150629320000013/0001506293-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1506293/000150629321000025/0001506293-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1506293/000150629322000016/0001506293-22-000016-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,71468000,122509000,649666000,669230000,1419630000
32,Short-Term Investments,640160000,505304000,1063679000,1091076000,1060488000
33,Cash and Short-Term Investments,711628000,627813000,1713345000,1760306000,2480118000
34,Net Receivables,136597000,221932000,316367000,563733000,653355000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,38734000,39607000,37522000,33502000,48090000
37,Total Current Assets,886959000,889352000,2067234000,2357541000,3181563000
38,PP&E,239512000,226715000,280243000,225291000,281313000
39,Goodwill,6905000,6905000,6905000,- -,40208000
40,Intangible Assets,2132000,7166000,7671000,- -,20907000
41,Intangible Assets,9037000,14071000,14576000,13562000,61115000
42,Investments,- -,- -,- -,1091076000,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,37537000,22593000,31264000,-1078011000,13247000
45,Total Non-Current Assets,286086000,263379000,326083000,251918000,355675000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,1173045000,1152731000,2393317000,2609459000,3537238000
48,Accounts Payable,15428000,22169000,34334000,49491000,17675000
49,Short-Term Debt,- -,- -,- -,- -,41693000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,64374000,376274000,141823000,155340000,200438000
53,Total Current Liabilities,79802000,398443000,176157000,204831000,259806000
54,Long-Term Debt,- -,- -,- -,- -,209181000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1639707000,168534000,193455000,162257000,29508000
58,Total Non-Current Liabilities,1639707000,168534000,193455000,162257000,238689000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,178074000,151395000,219919000,182954000,250874000
61,Total Liabilities,1719509000,566977000,369612000,367088000,498495000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,1000,5000,6000,6000,7000
64,Retained Earnings,-782381000,-1730881000,-2206726000,-2335049000,-2018611000
65,Other Comprehensive Income/Loss,-33027000,-51249000,1000000,2000000,-2181000
66,Other Total Stockholders Equity,268943000,2367879000,4229425000,4575414000,- -
67,Total Stockholders Equity,-546464000,585754000,2023705000,2242371000,3038743000
68,Total Liabilities And Stockholders Equity,1173045000,1152731000,2393317000,2609459000,3537238000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1173045000,1152731000,2393317000,2609459000,3537238000
