,https://roic.ai/company/WKHS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,140707,190035,272098,177500,177500,139980,6414800,10846460,763173,376562,1392519,-851922
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,13578262,24516863,15953565,5844891,13067108,132492110
3,Gross Profit,- -,- -,- -,140707,190035,272098,177500,177500,139980,-7163462,-13670403,-15190392,-5468329,-11674589,-133344032
4,Gross Profit Ratio,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,-1.1167,-1.2604,-19.9043,-14.5217,-8.3838,156.5214
5,Research and Development Exp.,- -,- -,- -,- -,264415,57786,211833,3436751,4740331,6145801,18060180,7391693,8199074,9148931,11610027
6,General and Administrative Exp.,1800,24476,1427268,5089964,5292781,3716354,5235050,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,65152,- -,293557,429483,119677,- -,- -,- -,- -,11485482,- -,- -,- -
8,"Selling, General and Administrative Exp.",1800,24476,1492420,5089964,5586338,4145837,5354727,2950467,3860618,6202569,10328211,11485482,10199534,20157658,40160795
9,Other Expenses,- -,- -,34864,57107,2961953,63629,437419,- -,- -,- -,- -,- -,-15849800,-323111944,- -
10,Operating Expenses,- -,24476,1527284,5147071,8812706,4267252,6003979,6387218,8600949,12348370,28388391,18877175,2548808,-293805355,51770822
11,COGS and Expenses,1800,24476,1527284,5147071,8812706,4267252,6003979,6387218,8600949,25926632,52905254,34830740,8393699,-280738247,184262932
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,736,13199,10585,230887,258261,- -,- -,- -,- -,2434749,29145690,12528799,6737902
14,Depreciation and Amortization,- -,- -,34864,40733,58037,63629,319649,388006,371226,381823,549973,348339,388401,809645,1908419
15,EBITDA,-1800,-24476,-1492420,-4974174,-8637089,-3977973,-5532644,-6220674,-9055627,-19174045,-41689258,-33719228,-7628736,104948873,-414545581
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-35.3513,-45.4500,-14.6196,-31.1698,-35.0461,-64.6923,-2.9890,-3.8436,-44.1829,-20.2589,75.3662,486.6004
17,Operating Income,- -,- -,1528020,5019563,- -,4041602,5826479,6209718,8460969,19511832,42058794,- -,-8017137,282130766,-185114854
18,Operating Income ratio,- -,- -,Infinity,35.6739,- -,14.8535,32.8252,34.9843,60.4441,3.0417,3.8777,- -,-21.2904,202.6046,217.2908
19,Total Other Income Expenses (Gains),- -,- -,3097,-8543,-83040,-8314091,-11937033,-12818398,-17887822,-39067700,-84298025,-2434749,-29145690,-190520337,-238077049
20,Income Before Tax,- -,- -,- -,- -,-8705711,-4272489,-6110554,-6608680,-9426853,-19555868,-42239231,-36502316,-37162827,91610429,-423191903
21,Income Before Tax Ratio,- -,- -,- -,- -,-45.8111,-15.7020,-34.4257,-37.2320,-67.3443,-3.0486,-3.8943,-47.8297,-98.6898,65.7876,496.7496
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21833930,-21847089
23,Net Income,-1800,-24476,-1524923,-5028106,-8705711,-4272489,-6110554,-6608680,-9426853,-19555868,-42239231,-36502316,-37162827,69776499,-401344813
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-35.7346,-45.8111,-15.7020,-34.4257,-37.2320,-67.3443,-3.0486,-3.8943,-47.8297,-98.6898,50.1081,471.1051
25,EPS,-0.00,-0.01,-62.04,-2.30,-2.60,-1.00,-0.80,-0.50,-0.55,-0.78,-1.09,-0.74,-0.55,0.75,-4.32
26,EPS Diluted,-0.00,-0.01,-62.04,-2.30,-2.60,-1.00,-0.80,-0.50,-0.55,-0.78,-1.09,-0.74,-0.55,0.70,-4.02
27,Weighted Average Shares Outstanding,4340000,4431670,24577,2201905,3388873,4491522,7571061,13602883,17293394,25201261,38755796,50377909,67105000,92871936,92871936
28,Weighted Average Shares Outstanding Diluted,4340000,4431670,24577,2201905,3388873,4491522,7571061,13602883,17293394,25201261,38755796,50377909,67105000,99949868,99949868
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1425287/000116552709000207/0001165527-09-000207-index.html,https://www.sec.gov/Archives/edgar/data/1425287/000101376210000713/0001013762-10-000713-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1425287/000101376213000511/0001013762-13-000511-index.htm,https://www.sec.gov/Archives/edgar/data/1425287/000101376214000406/0001013762-14-000406-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1425287/000101376216001424/0001013762-16-001424-index.html,https://www.sec.gov/Archives/edgar/data/1425287/000121390017002275/0001213900-17-002275-index.html,https://www.sec.gov/Archives/edgar/data/1425287/000121390018002957/0001213900-18-002957-index.html,https://www.sec.gov/Archives/edgar/data/1425287/000121390019004319/0001213900-19-004319-index.html,https://www.sec.gov/Archives/edgar/data/1425287/000162828020003532/0001628280-20-003532-index.html,https://www.sec.gov/Archives/edgar/data/1425287/000162828021003538/0001628280-21-003538-index.htm,https://www.sec.gov/Archives/edgar/data/1425287/000142528722000031/0001425287-22-000031-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,72,- -,385293,89488,39819,7019,442257,7677163,469570,4069477,1512750,23868416,46817825,201647394
32,Short-Term Investments,- -,46306,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,330556744,- -
33,Cash and Short-Term Investments,- -,46378,- -,385293,89488,39819,7019,442257,7677163,469570,4069477,1512750,23868416,377374569,201647394
34,Net Receivables,3100,- -,- -,58042,5019,- -,- -,- -,- -,727100,1058723,48271,41021,1037466,149776
35,Inventory,- -,- -,- -,- -,122000,41002,392750,392750,78917,2464835,4236506,2533616,1798146,15467012,10067367
36,Other Current Assets,- -,- -,13688,9855,51210,13025,43967,74623,3149289,255163,946134,2274595,5812088,-103386286,4357829
37,Total Current Assets,3100,46378,13688,453190,267717,93846,443736,909630,10905369,3916668,10310840,6369232,31519671,290492761,216222366
38,PP&E,- -,- -,66006,76171,182177,126847,4407261,4042359,3736359,6002631,5596013,5237451,6830181,11398166,9436659
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12194800,330556744,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,15291,- -,- -,- -,- -,- -,- -,- -,- -,320494,212004,198090,129177,94698,2479865
45,Total Non-Current Assets,15291,- -,66006,76171,182177,126847,4407261,4042359,3736359,6323125,5808017,5435541,19154158,342049608,11916524
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18391,46378,79694,529361,449894,220693,4850997,4951989,14641728,10239793,16118857,11804773,50673829,632542369,228138890
48,Accounts Payable,17091,60288,379819,658036,1367367,1589784,1546388,1603555,1606695,3923758,5539864,4340463,1678983,4790763,7849607
49,Short-Term Debt,- -,- -,60000,6179,20641,230756,338225,1278904,16306926,79521,381497,1340700,19620000,1411000,363714
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,25000,618000,177500,- -,- -,- -,54405,406000,303000,- -,- -
52,Other Current Liabilities,- -,5500,143587,120393,523640,- -,2402465,384776,511242,331111,1181589,12827974,25442048,11395302,19336743
