,https://roic.ai/company/CMT,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,64900000,77700000,90604268,83545359,68365000,94088850,92783334,111845276,130542864,162329990,122711887,116654835,83338676,100257644,143421000,162450000,144125000,175204000,199068000,174882000,161673000,269485000,284290000,222356000,307483000
2,COGS,48800000,60700000,78294972,69962354,60533000,80269359,78885427,94536137,107060372,132461055,105743905,95445252,71913360,83908976,113538000,136602000,120551000,145018000,162816000,146958000,136993000,242344000,262784000,187882000,266139000
3,Gross Profit,16100000,17000000,12309296,13583005,7832000,13819491,13897907,17309139,23482492,29868935,16967982,21209583,11425316,16348668,29883000,25848000,23574000,30186000,36252000,27924000,24680000,27141000,21506000,34474000,41344000
4,Gross Profit Ratio,0.2481,0.2188,0.1359,0.1626,0.1146,0.1469,0.1498,0.1548,0.1799,0.1840,0.1383,0.1818,0.1371,0.1631,0.2084,0.1591,0.1636,0.1723,0.1821,0.1597,0.1527,0.1007,0.0756,0.1550,0.1345
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,7500000,7800000,9143030,9053490,7939000,9236808,9494740,10737490,13088739,14013186,11398760,12019998,8939820,9931351,12939000,13358000,13460000,15539000,17754000,16379000,16690000,27838000,28934000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7500000,7800000,9143030,9053490,7939000,9236808,9494740,10737490,13088739,14013186,11398760,12019998,8939820,9931351,12939000,13358000,13460000,15539000,17754000,16379000,16690000,27838000,28934000,- -,30276000
9,Other Expenses,2000000,1500000,1445840,1667666,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24084000,- -
10,Operating Expenses,9500000,9300000,10588870,10721156,7939000,9236808,9494740,10737490,13088739,14013186,11398760,12019998,8939820,9931351,12939000,13358000,13460000,15539000,17754000,16379000,16690000,27838000,28934000,24084000,30276000
11,COGS and Expenses,58300000,70000000,88883842,80683510,68472000,89506167,88380167,105273627,120149111,146474241,117142665,107465250,80853180,93840327,126477000,149960000,134011000,160557000,180570000,163337000,153683000,270182000,291718000,211966000,296415000
12,Interest Income ,- -,- -,- -,339512,305000,132922,87508,6584,226202,645120,542167,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,1700000,- -,1970378,1999000,2025187,1852065,872296,750763,488310,717162,689135,951051,1341734,696000,334000,214000,122000,330000,298000,245000,2394000,4144000,5923000,2311000
14,Depreciation and Amortization,2000000,1500000,1445840,1667666,1596000,1635037,1708571,1648548,1802148,2067463,3409867,3544676,3855603,3949378,3942000,4523000,4878000,5023000,6041000,6283000,6240000,9384000,10376000,11662000,11616000
15,EBITDA,6600000,9500000,1574818,4869027,1793000,6850642,6199246,8226781,12422103,18568332,9521256,12734261,6341099,10366695,20886000,17013000,14992000,19670000,24539000,17828000,14230000,6332000,-1058000,22132000,22846000
16,EBITDA ratio,0.1017,0.1223,0.0174,0.0583,0.0262,0.0728,0.0668,0.0736,0.0952,0.1144,0.0776,0.1092,0.0761,0.1034,0.1456,0.1047,0.1040,0.1123,0.1233,0.1019,0.0880,0.0235,-0.0037,0.0995,0.0743
17,Operating Income,6600000,7700000,1720426,2861849,-108000,4582683,4403167,6571649,10393753,15855749,5569222,9189585,2485496,6417317,16944000,12490000,10114000,14647000,18498000,11545000,7990000,-3100000,-11528000,10390000,11068000
18,Operating Income ratio,0.1017,0.0991,0.0190,0.0343,-0.0016,0.0487,0.0475,0.0588,0.0796,0.0977,0.0454,0.0788,0.0298,0.0640,0.1181,0.0769,0.0702,0.0836,0.0929,0.0660,0.0494,-0.0115,-0.0406,0.0467,0.0360
19,Total Other Income Expenses (Gains),-2000000,-1400000,-1591448,-1630866,-1694000,-1392265,-1764557,-865712,-524561,156810,-174995,-689135,-951051,-1341734,-696000,-334000,-214000,-122000,-330000,-298000,-245000,-2346000,-4050000,-5843000,-2149000
20,Income Before Tax,4600000,6300000,128978,1230983,-1802000,3190418,2638610,5705937,9869192,16012559,5394227,8500450,1534445,5075583,16248000,12156000,9900000,14525000,18168000,11247000,7745000,-5446000,-15578000,4547000,8919000
21,Income Before Tax Ratio,0.0709,0.0811,0.0014,0.0147,-0.0264,0.0339,0.0284,0.0510,0.0756,0.0986,0.0440,0.0729,0.0184,0.0506,0.1133,0.0748,0.0687,0.0829,0.0913,0.0643,0.0479,-0.0202,-0.0548,0.0204,0.0290
22,Income Tax expense (Gain),1900000,2600000,57640,515632,58000,1183995,973351,571287,3583136,5601912,1667754,2856964,516740,2642511,5722000,3966000,3034000,4891000,6118000,3836000,2286000,-664000,-355000,-3618000,4248000
23,Net Income,2700000,3700000,71338,715351,-1860000,2006423,1665259,5134650,6286056,10410647,3726473,5643486,1017705,2433072,10526000,8190000,6866000,9634000,12050000,7411000,5459000,-4782000,-15223000,8165000,4671000
24,Net Income ratio,0.0416,0.0476,0.0008,0.0086,-0.0272,0.0213,0.0179,0.0459,0.0482,0.0641,0.0304,0.0484,0.0122,0.0243,0.0734,0.0504,0.0476,0.0550,0.0605,0.0424,0.0338,-0.0177,-0.0535,0.0367,0.0152
25,EPS,0.29,0.38,0.01,0.07,-0.19,0.21,0.17,0.53,0.63,1.03,0.43,0.84,0.15,0.36,1.51,1.15,0.95,1.28,1.59,0.97,0.71,-0.62,-1.94,0.98,0.55
26,EPS Diluted,0.28,0.37,0.01,0.07,-0.19,0.21,0.17,0.52,0.60,1.00,0.41,0.81,0.15,0.34,1.44,1.11,0.92,1.28,1.58,0.97,0.70,-0.62,-1.94,0.98,0.55
27,Weighted Average Shares Outstanding,9555774,9706412,9778680,9778680,9778680,9778680,9778680,9778680,9913209,10078800,8686905,6742316,6772065,6846993,6954000,7104000,7220000,7508000,7583000,7621000,7690000,7750000,7830000,7936000,8062000
28,Weighted Average Shares Outstanding Diluted,9713020,9975360,9820352,9778680,9778680,9778680,9778680,9820946,10412774,10387122,9004429,6992249,6824552,7067020,7300000,7379000,7435000,7553000,7623000,7661000,7747000,7750000,7830000,7939000,8062000
