,https://roic.ai/company/BATL,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,20020000,- -,- -,68015000,81877000,182690000,87078000,112334000,102611000,247945000,999506000,1148261000,550278000,420205000,377965000,226609000,224685000,148289000,285205000
2,COGS,- -,- -,- -,- -,18266000,21574000,38030000,42775000,39954000,39070000,163907000,697727000,787184000,537546000,105431000,224446000,123963000,183507000,107868000,- -
3,Gross Profit,- -,- -,- -,- -,49749000,60303000,144660000,44303000,72380000,63541000,84038000,301779000,361077000,12732000,314774000,153519000,102646000,41178000,40421000,285205000
4,Gross Profit Ratio,- -,- -,- -,- -,0.7314,0.7365,0.7918,0.5088,0.6443,0.6192,0.3389,0.3019,0.3145,0.0231,0.7491,0.4062,0.4530,0.1833,0.2726,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,18846000,17909000,20763000,111349000,132410000,116532000,87766000,161853000,111351000,62056000,41661000,18456000,16514000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,18846000,17909000,20763000,111349000,132410000,116532000,87766000,161853000,111351000,62056000,41661000,18456000,16514000
9,Other Expenses,- -,15412000,- -,- -,28189000,36697000,80106000,31650000,27225000,21345000,- -,11745000,26719000,40281000,427230000,40783000,60090000,46869000,66072000,165317000
10,Operating Expenses,- -,15412000,- -,- -,28189000,36697000,80106000,50496000,45134000,42108000,111349000,144155000,143251000,128047000,589083000,152134000,122146000,88530000,84528000,181831000
11,COGS and Expenses,12872000,15412000,164392,324786,46455000,58271000,118136000,93271000,85088000,81178000,275256000,841882000,930435000,665593000,694514000,376580000,246109000,272037000,192396000,- -
12,Interest Income ,- -,41000,- -,989337,309000,- -,- -,82000,27000,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,4912000,- -,- -,17050000,- -,- -,18590000,22655000,17373000,31223000,58198000,145689000,232878000,-196848000,71097000,43015000,38881000,6634000,-8018000
14,Depreciation and Amortization,2947000,4098000,1418,3501,14240000,19893000,47955000,31650000,27225000,21345000,- -,463655000,- -,- -,167454000,- -,- -,- -,62053000,45408000
15,EBITDA,-9925000,7231000,-162974,-321285,37803000,10791000,-186506000,-24490000,53292000,44117000,-35843000,-858525000,460569000,-1680657000,-500551000,601783000,184765000,-1108057000,-161020000,21385000
16,EBITDA ratio,-Infinity,0.3612,-Infinity,-Infinity,0.5558,0.1318,-1.0209,-0.2812,0.4744,0.4299,-0.1446,-0.8589,0.4011,-3.0542,-1.1912,1.5922,0.8153,-4.9316,-1.0859,0.0750
17,Operating Income,-2689000,4608000,-164392,-324786,21560000,23606000,64554000,-55782000,25719000,23990000,-29717000,-1290947000,-58387000,-2744506000,-274309000,715423000,92140000,-1051977000,-261832000,103374000
18,Operating Income ratio,-Infinity,0.2302,-Infinity,-Infinity,0.3170,0.2883,0.3534,-0.6406,0.2290,0.2338,-0.1199,-1.2916,-0.0508,-4.9875,-0.6528,1.8928,0.4066,-4.6820,-1.7657,0.3625
19,Total Other Income Expenses (Gains),23920000,-4871000,308032,989337,-15047000,-32708000,-299015000,-18948000,-22307000,-18591000,-37349000,-89431000,373267000,830971000,-196848000,-184737000,49610000,-94961000,32125000,-131691000
20,Income Before Tax,21231000,-263000,143640,664551,6513000,-9102000,-234461000,-74730000,3412000,5399000,-67066000,-1380378000,314880000,-1913535000,-471157000,530686000,141750000,-1146938000,-229707000,-28317000
21,Income Before Tax Ratio,Infinity,-0.0131,Infinity,Infinity,0.0958,-0.1112,-1.2834,-0.8582,0.0304,0.0526,-0.2705,-1.3811,0.2742,-3.4774,-1.1213,1.4041,0.6255,-5.1046,-1.5490,-0.0993
22,Income Tax expense (Gain),-7975000,228000,79115,313550,1465000,-7852000,-96389000,-16347000,995000,6802000,-13181000,-157716000,-1076000,9086000,-3922000,-5000000,95791000,-95791000,- -,12312000
23,Net Income,2086000,-2007000,64525,351001,5048000,-1250000,-138072000,-58383000,2417000,-1403000,-53885000,-1222662000,315956000,-1922621000,-467235000,535686000,45959000,-1051147000,-229707000,-28317000
