,https://roic.ai/company/ITP,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,30561249,39707431,65200000,102100000,124000000,150700000,151100000,125700000,137041450,135303170,134744600,117023580,86746760,117614890,100943269,160881720
2,COGS,- -,- -,25230151,33098875,52600000,82100000,97800000,117800000,124100000,102400000,114263300,107442570,109212720,97067630,80926360,103935370,95241284,149864161
3,Gross Profit,- -,- -,5331098,6608556,12600000,20000000,26200000,32900000,27000000,23300000,22778150,27860600,25531880,19955950,5820400,13679520,5701985,11017559
4,Gross Profit Ratio,- -,- -,0.1744,0.1664,0.1933,0.1959,0.2113,0.2183,0.1787,0.1854,0.1662,0.2059,0.1895,0.1705,0.0671,0.1163,0.0565,0.0685
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,292833,273941,- -,- -,- -,- -,- -,- -,- -,- -,- -,11307395,- -,- -,-11157789,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,292833,273941,327825,2029201,3074256,2517530,3360520,4567079,4859215,9663835,12401858,11307395,13098373,9781719,11157789,-9558190
9,Other Expenses,- -,- -,- -,- -,- -,- -,1115362,- -,- -,-171125,-22614,-555605,- -,-41529,-241189,-261136,-22315578,- -
10,Operating Expenses,- -,- -,292833,273941,327825,2029201,4189618,2517530,3360520,4395954,4836601,9108230,12401858,11265866,12857184,9520583,-11157789,-9558190
11,COGS and Expenses,- -,- -,25522984,33372816,53000000,84100000,102000000,120600000,130100000,106900000,119628540,117106400,121792880,112343310,97929070,113717090,84083495,140305971
12,Interest Income ,- -,- -,- -,- -,65316,108610,163183,36437,30674,90260,149783,70319,96976,34590,36632,64717,32033,38766
