,https://roic.ai/company/AGO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,249900000,294534000,302000000,512286000,52500000,-3500000,5500000,-658500000,38000000,-337800000,-155100000,553800000,763000000,1262000000,1739000000,1082000000,1200000000,1170000000,524000000,548000000,1066000000,698000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,3500000,5500000,- -,38000000,337800000,155100000,553800000,- -,- -,- -,1082000000,1200000000,1170000000,524000000,548000000,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,-1.0000,1.0000,- -,1.0000,-1.0000,-1.0000,1.0000,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000000,228000000,230000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,1336000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000000,228000000,230000000
9,Other Expenses,- -,- -,- -,- -,103900000,51400000,118300000,140200000,416264000,779800000,691900000,730400000,- -,- -,- -,722000000,609000000,694000000,367000000,256000000,- -,- -
10,Operating Expenses,- -,- -,- -,- -,103900000,51400000,118300000,140200000,417600000,779800000,691900000,730400000,- -,- -,- -,722000000,609000000,694000000,367000000,434000000,- -,- -
11,COGS and Expenses,131800000,184434000,218800000,266109000,103900000,51400000,118300000,140200000,417600000,779800000,691900000,730400000,631000000,120000000,208000000,722000000,609000000,694000000,367000000,434000000,671000000,221000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204000000
13,Interest Expense (Gain),11500000,11500000,10600000,5738000,-10700000,-13000000,-13000000,-23500000,-23000000,-62000000,99621000,99112000,92000000,82000000,92000000,101000000,102000000,97000000,94000000,89000000,85000000,87000000
14,Depreciation and Amortization,- -,- -,- -,9119000,8825000,7026000,6075000,2649000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,104700000,75300000,72600000,261034000,231425000,223626000,182975000,-483951000,89300000,72100000,648921000,1133512000,224000000,1224000000,1623000000,1532000000,1119000000,1027000000,678000000,553000000,492000000,534000000
16,EBITDA ratio,0.4190,0.2557,0.2404,0.5095,4.4081,-63.8931,33.2682,0.7349,2.3500,-0.2134,-4.1839,2.0468,0.2936,0.9699,0.9333,1.4159,0.9325,0.8778,1.2939,1.0091,0.4615,0.7650
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,-98466000,3700000,-5738000,-10800000,-13500000,-13700000,-23500000,-23300000,-62800000,-99600000,-99100000,108000000,- -,14000000,-101000000,-102000000,-97000000,-94000000,-85000000,75000000,94000000
20,Income Before Tax,118100000,110100000,83200000,246177000,233300000,229600000,190000000,-463000000,112300000,132900000,549300000,1034500000,132000000,1142000000,1531000000,1431000000,1017000000,991000000,580000000,464000000,413000000,477000000
21,Income Before Tax Ratio,0.4726,0.3738,0.2755,0.4805,4.4438,-65.6000,34.5455,0.7031,2.9553,-0.3934,-3.5416,1.8680,0.1730,0.9049,0.8804,1.3226,0.8475,0.8470,1.1069,0.8467,0.3874,0.6834
22,Income Tax expense (Gain),- -,- -,-10600000,31655000,50500000,41200000,30200000,-159800000,43400000,36900000,55600000,258800000,22000000,334000000,443000000,375000000,136000000,200000000,63000000,63000000,45000000,58000000
23,Net Income,93200000,63800000,72600000,214522000,182800000,188400000,159700000,-303300000,68900000,97200000,493700000,775600000,110000000,808000000,1088000000,1056000000,881000000,730000000,521000000,401000000,362000000,389000000
24,Net Income ratio,0.3729,0.2166,0.2404,0.4188,3.4819,-53.8286,29.0364,0.4606,1.8132,-0.2877,-3.1831,1.4005,0.1442,0.6403,0.6256,0.9760,0.7342,0.6239,0.9943,0.7318,0.3396,0.5573
25,EPS,1.24,0.85,0.97,2.86,2.44,2.55,2.18,-4.46,0.76,0.77,2.98,4.23,0.58,4.33,6.30,7.12,6.61,6.05,4.73,4.31,4.22,4.55
26,EPS Diluted,1.24,0.85,0.97,2.86,2.44,2.53,2.15,-4.46,0.76,0.75,2.90,4.18,0.57,4.30,6.26,7.08,6.56,5.96,4.68,4.00,4.19,4.51
27,Weighted Average Shares Outstanding,75161290,75058824,74845361,75007692,74913115,73901176,73272477,67998206,86977000,126500000,184000000,183400000,189200000,186600000,172600000,148100000,133000000,120600000,110000000,93274987,85500000,85500000
28,Weighted Average Shares Outstanding Diluted,75161290,75058824,74845361,75007692,74913115,74485375,74294884,67998206,88063000,129100000,188900000,185500000,190700000,187600000,173600000,149000000,134100000,122300000,111300000,100200000,86200000,86200000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1273813/000110465906013292/0001104659-06-013292-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000110465907014987/0001104659-07-014987-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1273813/000104746909001890/0001047469-09-001890-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000104746910001650/0001047469-10-001650-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000104746911001611/0001047469-11-001611-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000104746912001832/0001047469-12-001832-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1273813/000127381316000055/0001273813-16-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000127381317000009/0001273813-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000127381318000004/0001273813-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000127381319000004/0001273813-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000127381320000006/0001273813-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000127381321000004/0001273813-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1273813/000127381322000007/0001273813-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,32365000,17000000,6000000,5000000,8000000,12000000,44000000,108000000,215000000,138000000,184000000,75000000,166000000,118000000,144000000,104000000,169000000,162000000,120000000
32,Short-Term Investments,- -,- -,- -,137517000,- -,- -,- -,- -,- -,- -,- -,- -,10873000000,10615000000,11258000000,- -,- -,- -,- -,- -,9624000000,9427000000
33,Cash and Short-Term Investments,- -,- -,- -,169882000,17000000,6000000,5000000,8000000,12000000,44000000,108000000,215000000,11011000000,10799000000,11333000000,166000000,118000000,144000000,104000000,169000000,9786000000,9547000000
34,Net Receivables,- -,- -,- -,301121000,- -,3000000,- -,- -,21000000,- -,- -,76000000,1520000000,1086000000,958000000,- -,- -,- -,- -,- -,2363000000,2173000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,6181000000,4780000000,- -,12272000000,10808000000,10729000000,11022000000,- -,- -,- -,11192000000,10985000000,11395000000,10873000000,10240000000,-12032000000,-8645000000
37,Total Current Assets,- -,- -,- -,- -,- -,6190000000,4785000000,- -,12305000000,10852000000,10837000000,11313000000,- -,- -,- -,11358000000,11103000000,11539000000,10977000000,10409000000,117000000,3075000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102000000,1913000000,5271000000
39,Goodwill,- -,- -,- -,87062000,- -,85417000000,85417000000,- -,85417000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117000000,117000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216000000,86000000,58000000
41,Intangible Assets,- -,- -,- -,87062000,- -,85417000000,85417000000,- -,85417000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216000000,203000000,175000000
42,Investments,- -,- -,- -,2052217000,- -,- -,- -,- -,- -,- -,- -,- -,13561000000,13180000000,12660000000,- -,- -,- -,- -,- -,510000000,9687000000
