,https://roic.ai/company/HTGC,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,9700894,24641840,59539000,65357000,64890000,50902000,66603000,72420000,130953000,109143000,89658000,106352000,126849000,128825000,236526000,297774000,260170000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,411418,6242822,11805247,10262000,13185000,21786000,21528000,43403000,25661000,31507000,36374000,46741000,45649000,47851000,52329000,60702000,18910000,16111000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",411418,6242822,5408785,5437000,6899000,7281000,7086000,7992000,8108000,9354000,10209000,16658000,16106000,16105000,15488000,19183000,18910000,16111000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,17553000,22153000,27746000,30084000,21543000,31746000,36841000,43745000,51603000,69904000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,25661000,31507000,37955000,46742000,37649000,47851000,52329000,62928000,70513000,86015000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,214100,9791214,26278090,48757000,67283000,62200000,54700000,70346000,87603000,123671000,126618000,140266000,158727000,172196000,190636000,247513000,263379000,253360000
13,Interest Expense (Gain),- -,1800536,5770485,4404000,13121000,9387000,8572000,13252000,19835000,30334000,28041000,30834000,32016000,37857000,39435000,54596000,59605000,54447000
14,Depreciation and Amortization,7533,-766564,65185,204000,306000,367000,400000,348000,289000,252000,266000,193000,202000,201000,199000,262000,415000,317000
15,EBITDA,- -,3393537,17862356,47019000,34422000,23326000,13954000,60536000,66883000,130032000,99495000,73943000,100921000,117056000,116130000,228456000,287281000,228919000
16,EBITDA ratio,- -,0.3498,0.7249,0.7897,0.5267,0.3595,0.2741,0.9089,0.9235,0.9930,0.9116,0.8247,0.9489,0.9228,0.9015,0.9659,0.9648,0.8799
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
