,https://roic.ai/company/CNET,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,11963,40000,21508000,37720000,41590000,28730000,46600000,30290000,37966000,32265000,34750000,46633000,57146000,58080000,38408000
2,COGS,- -,- -,- -,13786000,21230000,18970000,12030000,31560000,16560000,31671000,24655000,26999000,42020000,54728000,52582000,37776000
3,Gross Profit,- -,11963,- -,7722000,16490000,22620000,16700000,15040000,13730000,6295000,7610000,7751000,4613000,2418000,5498000,632000
4,Gross Profit Ratio,- -,1.0000,- -,0.3590,0.4372,0.5439,0.5813,0.3227,0.4533,0.1658,0.2359,0.2231,0.0989,0.0423,0.0947,0.0165
5,Research and Development Exp.,- -,- -,- -,202000,480000,910000,2130000,1820000,2000000,2660000,2164000,1996000,1261000,933000,869000,539000
6,General and Administrative Exp.,- -,- -,- -,1041000,2404000,3460000,7904000,6030000,7691000,6207000,7498000,7670000,7464000,5486000,5777000,5433000
7,Selling and Marketing Exp.,- -,- -,- -,2705000,4198000,3403000,3506000,2683000,2574000,7017000,4586000,4074000,2734000,1970000,540000,361000
8,"Selling, General and Administrative Exp.",- -,- -,- -,3746000,6602000,6863000,11410000,8713000,10265000,13224000,12084000,11744000,10198000,7456000,6317000,5794000
9,Other Expenses,- -,93352,161299,- -,- -,-3000,2000,-1000,-5000,-1000,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,93352,161299,3948000,7082000,7770000,13542000,10532000,12260000,15883000,14248000,13740000,11459000,8389000,7186000,6333000
11,COGS and Expenses,- -,93352,160000,17734000,28320000,26740000,25570000,42090000,29370000,50954000,41581000,40898000,56075000,72111000,59768000,44109000
12,Interest Income ,- -,- -,- -,8000,14000,13000,13000,186000,125000,122000,117000,90000,40000,- -,- -,1000
13,Interest Expense (Gain),- -,- -,- -,- -,-4410000,-16727000,-60000,30000,26000,52000,47000,13000,147000,37000,35000,-1000
14,Depreciation and Amortization,- -,13882,20619,77000,207000,465000,1012000,1637000,1617000,1437000,1768000,1572000,1422000,541000,260000,856000
15,EBITDA,- -,-67507,-109381,3839000,697000,678000,4992000,5197000,2233000,-12727000,-8773000,-4805000,-10164000,-12683000,-917000,-4509000
16,EBITDA ratio,- -,-5.6430,-2.7345,0.1785,0.0185,0.0163,0.1738,0.1115,0.0737,-0.3352,-0.2719,-0.1383,-0.2180,-0.2219,-0.0158,-0.1174
17,Operating Income,- -,-81389,-126210,3774000,9409000,14847000,3162000,4510000,1470000,-14634000,-9316000,-6148000,-9442000,-14512000,-1688000,-5701000
18,Operating Income ratio,- -,-6.8034,-3.1553,0.1755,0.2494,0.3570,0.1101,0.0968,0.0485,-0.3855,-0.2887,-0.1769,-0.2025,-0.2539,-0.0291,-0.1484
19,Total Other Income Expenses (Gains),- -,- -,-3790,-12000,-4509000,1883000,878000,-120000,-750000,1688000,104000,-35000,-318000,1149000,467000,623000
20,Income Before Tax,- -,- -,-130000,3762000,4900000,16730000,4040000,4390000,720000,-12946000,-9212000,-6183000,-9760000,-13363000,-1221000,-5078000
21,Income Before Tax Ratio,- -,- -,-3.2500,0.1749,0.1299,0.4023,0.1406,0.0942,0.0238,-0.3410,-0.2855,-0.1779,-0.2093,-0.2338,-0.0210,-0.1322
22,Income Tax expense (Gain),- -,- -,- -,962000,880000,350000,1040000,530000,820000,-478000,-1496000,102000,-1608000,764000,49000,-143000
23,Net Income,- -,-81389,-130000,2800000,4020000,16590000,3000000,3000000,-230000,-13738000,-9092000,-6492000,-10125000,-14025000,-1261000,-5221000
24,Net Income ratio,- -,-6.8034,-3.2500,0.1302,0.1066,0.3989,0.1044,0.0644,-0.0076,-0.3619,-0.2818,-0.1868,-0.2171,-0.2454,-0.0217,-0.1359
25,EPS,- -,-0.05,-0.05,0.70,-0.38,2.35,0.35,0.35,-0.03,-1.52,-0.85,-0.58,-0.84,-0.88,-0.07,-0.24
26,EPS Diluted,- -,-0.05,-0.05,0.70,-0.38,1.98,0.35,0.35,-0.03,-1.52,-0.85,-0.58,-0.84,-0.88,-0.07,-0.24
27,Weighted Average Shares Outstanding,- -,2140000,2229483,4000000,5930050,6711270,7418243,8874222,8913794,8965809,10706269,11357907,12116783,15863894,17130335,21602107
28,Weighted Average Shares Outstanding Diluted,- -,2140000,2229483,4000000,5930050,8358424,7503696,8874222,8913794,8965809,10706269,11357907,12116783,15863894,17130335,21602107
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1376321/000112178108000168/0001121781-08-000168-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1376321/000114420410017155/0001144204-10-017155-index.html,https://www.sec.gov/Archives/edgar/data/1376321/000114420411019249/v216752_10k.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184312001253/f10k_041012.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184313001354/f10k_041513.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184314002841/f10k_061614.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184315001980/f10k_041515.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184316009166/f10k_041216p.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184317001878/0001171843-17-001878-index.html,https://www.sec.gov/Archives/edgar/data/1376321/000117184318002741/f10k_040218p.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184319002416/f10k_040819p.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184320004001/f10k_051420p.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184321002452/0001171843-21-002452-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,71,17513,8234000,13917000,15590000,10695000,8998000,16309000,5037000,5503000,3035000,2952000,3742000,1603000,4297000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000
33,Cash and Short-Term Investments,- -,71,17513,8234000,13917000,15590000,10695000,8998000,16309000,5037000,5503000,3035000,2952000,3742000,1603000,4364000
34,Net Receivables,- -,- -,- -,- -,6301000,12315000,8558000,11641000,12474000,10850000,4500000,3624000,9875000,4985000,3341000,2407000
35,Inventory,- -,- -,- -,- -,2000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,4141000,4866000,15489000,14782000,5472000,11794000,11035000,7816000,4073000,3773000,6991000,6113000
37,Total Current Assets,- -,71,17513,8234000,24361000,32773000,34742000,35421000,34255000,27681000,21038000,14475000,16900000,12500000,11935000,12884000
38,PP&E,- -,44556,16734,7417000,1355000,2010000,1902000,1636000,1057000,943000,681000,471000,299000,142000,90000,60000
39,Goodwill,- -,- -,- -,- -,- -,- -,10999000,11083000,11450000,6772000,4396000,4970000,5277000,- -,- -,- -
40,Intangible Assets,- -,- -,25203,9041000,- -,51000,8151000,7167000,6015000,9238000,5638000,7264000,3808000,45000,1899000,2557000
41,Intangible Assets,- -,- -,25203,9041000,- -,51000,19150000,18250000,17465000,16010000,10034000,12234000,9085000,45000,1899000,2557000
42,Investments,- -,- -,- -,- -,- -,7162000,1396000,959000,845000,909000,1133000,1340000,918000,- -,35000,67000
43,Tax Assets,- -,- -,- -,- -,- -,- -,92000,652000,759000,1037000,1550000,1522000,1358000,556000,713000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,48000,- -,- -,- -,2453000,850000,1024000,- -,- -,3725000,3879000,-67000
45,Total Non-Current Assets,- -,44556,41937,16458000,1403000,9223000,22540000,21497000,22579000,19749000,14422000,15567000,11660000,4468000,6616000,2617000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,44627,59450,24692000,25764000,41996000,57282000,56918000,56834000,47430000,35460000,30042000,28560000,16968000,18551000,15501000
48,Accounts Payable,- -,60218,63717,51943000,290000,174000,268000,110000,421000,782000,95000,102000,2851000,2869000,408000,608000
49,Short-Term Debt,- -,- -,- -,35000000,- -,- -,- -,- -,818000,817000,- -,721000,765000,874000,566000,221000
50,Tax Payable,- -,- -,- -,- -,1978000,2193000,5040000,6683000,7029000,3332000,3186000,2910000,3168000,2997000,3214000,3430000
51,Deferred Revenue,- -,- -,- -,- -,914000,2120000,724000,1065000,995000,832000,1313000,1420000,3559000,1061000,2006000,- -
52,Other Current Liabilities,- -,23948,5678,2625000,3735000,3859000,6706000,9070000,7993000,7983000,5962000,5377000,5788000,3636000,4033000,7193000
53,Total Current Liabilities,- -,84166,69395,89568000,4939000,6153000,7698000,10245000,10227000,10414000,7370000,7620000,12963000,8440000,7013000,8022000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134000,128000,125000,32000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,1893000,1689000,1439000,964000,118000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,9692000,132000,137000,139000,143000,143000,264000,126000,- -,606000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,9692000,132000,2030000,1828000,1582000,1107000,382000,126000,134000,734000,125000,32000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136000,253000
61,Total Liabilities,- -,84166,69395,89568000,14631000,6285000,9728000,12073000,11809000,11521000,7752000,7746000,13097000,9174000,7138000,5000000
62,Preferred Stock,- -,- -,- -,- -,4000,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,5350,5659,5783000,16000,17000,22000,22000,22000,29000,30000,12000,14000,16000,20000,- -
64,Retained Earnings,- -,-81389,-206545,-333476000,50000,14630000,16688000,19505000,18965000,5222000,-3870000,-10362000,-20487000,-34512000,-35773000,- -
65,Other Comprehensive Income/Loss,- -,-13882,-11216,- -,117000,930000,2132000,4689000,6291000,6232000,4663000,3307000,4205000,4064000,4112000,3727000
66,Other Total Stockholders Equity,- -,50382,202157,- -,10946000,20201000,22864000,20008000,19870000,24703000,26510000,29285000,31554000,38275000,43111000,12479000
67,Total Stockholders Equity,- -,-39539,-9945,-64876000,11133000,35781000,41706000,44224000,45148000,36186000,27333000,22242000,15286000,7843000,11470000,12545000
68,Total Liabilities And Stockholders Equity,- -,44627,59450,24692000,25764000,42066000,51434000,56297000,56957000,47707000,35085000,29988000,28383000,17017000,18608000,17545000
69,Minority Interest,- -,- -,- -,- -,- -,-70000,5848000,621000,-123000,-277000,375000,54000,177000,-49000,-57000,-2044000
70,Total Liabilities & Equity,- -,44627,59450,24692000,25764000,41996000,57282000,56918000,56834000,47430000,35460000,30042000,28560000,16968000,18551000,15501000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1376321/000112178108000168/0001121781-08-000168-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1376321/000114420410017155/0001144204-10-017155-index.html,https://www.sec.gov/Archives/edgar/data/1376321/000114420411019249/v216752_10k.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184312001253/f10k_041012.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184313001354/f10k_041513.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184314002841/f10k_061614.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184315001980/f10k_041515.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184316009166/f10k_041216p.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184317001878/0001171843-17-001878-index.html,https://www.sec.gov/Archives/edgar/data/1376321/000117184318002741/f10k_040218p.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184319002416/f10k_040819p.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184320004001/f10k_051420p.htm,https://www.sec.gov/Archives/edgar/data/1376321/000117184321002452/0001171843-21-002452-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,-81389,-130000,2800000,4020000,16590000,3000000,3000000,-230000,-13738000,-9092000,-6492000,-10125000,-14025000,-1261000,-5221000
74,Depreciation and Amortization,- -,13882,20619,77000,207000,465000,1012000,1637000,1617000,1437000,1768000,1572000,1422000,541000,260000,856000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,27000,-828000,-486000,-850000,-1558000,102000,251000,764000,-168000,143000
76,Stock Based Compensation,- -,- -,- -,- -,360000,337000,2900000,48000,125000,4840000,2256000,2309000,2271000,233000,393000,2152000
77,Change in Working Capital,- -,84166,32213,-2062000,100756000,7198000,424000,-2163000,-1148000,-6761000,-3599000,-6813000,-2918000,123000,862000,-60000
78,Accounts Receivable,- -,- -,- -,-741000,-2262000,-1013000,-2100000,-5516000,-3676000,5226000,-580000,-975000,-4848000,-232000,699000,116000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-281000,253000,-123000,27000,-158000,301000,390000,-509000,-137000,2654000,161000,-2441000,180000
81,Other Working Capital,- -,-84095,-51882,- -,19422000,26620000,27044000,25176000,24028000,17267000,13668000,6855000,3937000,4060000,4922000,4862000
82,Other Non-Cash Items,- -,1250,-42140,6000,-100726000,-13008000,-7966000,3334000,2878000,17030000,15957000,8759000,7779000,6975000,-4397000,2456000
83,Cash Provided by Operating Activities,- -,17909,-119308,821000,4617000,11582000,-603000,5028000,2756000,1958000,5732000,-563000,-1320000,-5389000,-4311000,326000
84,CAPEX,- -,-27838,-18000,-497000,-930000,-1061000,-2186000,-314000,-79000,-280000,-4236000,-2117000,-4000,-4180000,-2122000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-1327000,-3898000,-5775000,-2258000,- -,- -,28000,444000,-1436000,-36000,-28000
86,Purchases of Investments,- -,- -,- -,- -,- -,-6985000,- -,- -,-40000,-18000,-1163000,-470000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3140000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-7000,- -,-60000,-1445000,-3830000,-3356000,1189000,-3108000,-1986000,-2518000,-1600000,-2122000,-3444000
