,https://roic.ai/company/DAO,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,455746000,731598000,1304883000,3167515000,4015794000
2,COGS,293807000,515133000,934261000,1713229000,2026956000
3,Gross Profit,161939000,216465000,370622000,1454286000,1988838000
4,Gross Profit Ratio,0.3553,0.2959,0.2840,0.4591,0.4953
5,Research and Development Exp.,133092000,184020000,275367000,424593000,607373000
6,General and Administrative Exp.,22476000,38177000,73289000,138459000,190297000
7,Selling and Marketing Exp.,136412000,213405000,622884000,2697018000,2077638000
8,"Selling, General and Administrative Exp.",158888000,251582000,696173000,2835477000,2267935000
9,Other Expenses,- -,-10330000,-18087000,-80533000,- -
10,Operating Expenses,291980000,425272000,953453000,3179537000,2875308000
11,COGS and Expenses,585787000,940405000,1887714000,4892766000,4902264000
12,Interest Income ,- -,- -,- -,25524000,18780000
13,Interest Expense (Gain),- -,- -,- -,31215000,31644000
14,Depreciation and Amortization,3330000,6398000,10578000,16105000,- -
15,EBITDA,-125085000,-191218000,-588493000,-1702540000,-957363000
16,EBITDA ratio,-0.2745,-0.2614,-0.4510,-0.5375,-0.2384
17,Operating Income,-130041000,-219137000,-600918000,-1805784000,-943248000
18,Operating Income ratio,-0.2853,-0.2995,-0.4605,-0.5701,-0.2349
19,Total Other Income Expenses (Gains),-28729000,21136000,1895000,55361000,23809000
20,Income Before Tax,-158770000,-198001000,-599023000,-1750423000,-919439000
21,Income Before Tax Ratio,-0.3484,-0.2706,-0.4591,-0.5526,-0.2290
22,Income Tax expense (Gain),5162000,11294000,2432000,2929000,6648000
23,Net Income,-133577000,-208910000,-601503000,-1752789000,-995655000
24,Net Income ratio,-0.2931,-0.2856,-0.4610,-0.5534,-0.2479
25,EPS,-1.35,-2.31,-5.70,-15.53,-8.82
26,EPS Diluted,-1.35,-2.31,-5.70,-15.53,-8.82
27,Weighted Average Shares Outstanding,98814815,90257191,111767756,112864452,112864452
28,Weighted Average Shares Outstanding Diluted,98814815,90257191,111767756,112864452,112864452
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,39831000,41738000,173328000,609199000,322777000
32,Short-Term Investments,250000,393625000,1446863000,585262000,504099000
33,Cash and Short-Term Investments,40081000,435363000,1620191000,1194461000,826876000
34,Net Receivables,74351000,96002000,221857000,312333000,254531000
35,Inventory,1542000,23832000,73225000,148662000,255411000
36,Other Current Assets,29007000,39871000,114639000,196110000,932844000
37,Total Current Assets,144981000,595068000,2029912000,1851566000,2269662000
38,PP&E,13342000,18375000,48424000,151501000,198419000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,42484000,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3530000,6174000,8128000,24697000,165986000
45,Total Non-Current Assets,16872000,24549000,56552000,218682000,364405000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,161853000,619617000,2086464000,2070248000,2634067000
48,Accounts Payable,19947000,34558000,62675000,141304000,161006000
49,Short-Term Debt,878000000,878000000,882166000,907982000,878000000
50,Tax Payable,9117000,17389000,25977000,54895000,53323000
51,Deferred Revenue,94531000,177536000,456805000,1461865000,1065639000
52,Other Current Liabilities,127372000,210304000,357068000,882414000,929314000
53,Total Current Liabilities,1119850000,1300398000,1758714000,3393565000,3033959000
54,Long-Term Debt,- -,- -,21206000,79748000,328098000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,460652000,5517000,4043000,2411000
