,https://roic.ai/company/VERO,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,17230000,15600000,21297000,21956000,110406000,78014000,105622000
2,COGS,12513000,10431000,12150000,12450000,33753000,26623000,31528000
3,Gross Profit,4717000,5169000,9147000,9506000,76653000,51391000,74094000
4,Gross Profit Ratio,0.2738,0.3313,0.4295,0.4330,0.6943,0.6587,0.7015
5,Research and Development Exp.,7399000,7474000,7135000,8374000,8034000,7754000,8258000
6,General and Administrative Exp.,3256000,4144000,4904000,8834000,47497000,57882000,45940000
7,Selling and Marketing Exp.,14587000,12483000,14390000,18204000,41409000,26203000,37438000
8,"Selling, General and Administrative Exp.",17843000,16627000,19294000,27038000,88906000,84085000,83378000
9,Other Expenses,- -,- -,0,0,- -,- -,- -
10,Operating Expenses,25242000,24101000,26429000,35412000,96940000,91839000,91636000
11,COGS and Expenses,37755000,34532000,38579000,47862000,130693000,118462000,123164000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2892000,2483000,2027000,2224000,7846000,8343000,4955000
14,Depreciation and Amortization,860000,654000,574000,813000,2040000,4804000,- -
15,EBITDA,-19219000,-18709000,-15185000,-25642000,-28876000,-67378000,-18765000
16,EBITDA ratio,-1.1154,-1.1993,-0.7130,-1.1679,-0.2615,-0.8637,-0.1777
17,Operating Income,-20525000,-18932000,-17282000,-25906000,-30278000,-67898000,-14767000
18,Operating Income ratio,-1.1912,-1.2136,-0.8115,-1.1799,-0.2742,-0.8703,-0.1398
19,Total Other Income Expenses (Gains),-2446000,-2914000,-504000,-2773000,-10160000,-13739000,-8081000
20,Income Before Tax,-22971000,-21846000,-17786000,-28679000,-40438000,-81637000,-22848000
21,Income Before Tax Ratio,-1.3332,-1.4004,-0.8351,-1.3062,-0.3663,-1.0464,-0.2163
22,Income Tax expense (Gain),- -,- -,56000,47000,1857000,1181000,-707000
23,Net Income,-22971000,-21846000,-17842000,-28726000,-40619000,-81706000,-23013000
24,Net Income ratio,-1.3332,-1.4004,-0.8378,-1.3083,-0.3679,-1.0473,-0.2179
25,EPS,-14.95,-15.00,-36.30,-12.90,-4.77,-2.33,-0.42
26,EPS Diluted,-14.95,-15.00,-36.30,-12.90,-4.77,-2.33,-0.42
27,Weighted Average Shares Outstanding,1536774,1430232,492183,2234156,8517000,36626000,54466000
28,Weighted Average Shares Outstanding Diluted,1536774,1430232,492183,2234156,8517000,36626000,54466000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1409269/000156459018004378/0001564590-18-004378-index.html,https://www.sec.gov/Archives/edgar/data/1409269/000156459019008643/0001564590-19-008643-index.html,https://www.sec.gov/Archives/edgar/data/1409269/000156459020014222/0001564590-20-014222-index.html,https://www.sec.gov/Archives/edgar/data/1409269/000156459021016142/0001564590-21-016142-index.htm,https://www.sec.gov/Archives/edgar/data/1409269/000143774922007293/0001437749-22-007293-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,17127000,11906000,23545000,16122000,15666000,34297000,30876000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,17127000,11906000,23545000,16122000,15666000,34297000,30876000
34,Net Receivables,1494000,2481000,3864000,6569000,60681000,56353000,46918000
35,Inventory,5634000,2742000,2761000,5522000,18844000,17759000,20543000
36,Other Current Assets,1134000,810000,1562000,1278000,4512000,6995000,8657000
37,Total Current Assets,25389000,17939000,31732000,29491000,99703000,115404000,106994000
38,PP&E,988000,1459000,1138000,1299000,4648000,3539000,2669000
39,Goodwill,- -,- -,- -,- -,27450000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,22338000,18865000,- -
41,Intangible Assets,- -,- -,- -,- -,49788000,18865000,15393000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,622000,884000,284000
44,Other Non-Current Assets,100000,100000,100000,183000,36366000,21833000,28527000
45,Total Non-Current Assets,1088000,1559000,1238000,1482000,91424000,45121000,46873000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,26477000,19498000,32970000,30973000,191127000,160525000,153867000
48,Accounts Payable,1031000,1740000,2044000,3815000,9401000,6322000,4913000
49,Short-Term Debt,- -,7449000,7730000,49000,7789000,- -,543000
50,Tax Payable,133000,129000,- -,- -,5315000,8664000,294000
51,Deferred Revenue,1324000,1521000,1517000,1407000,6437000,3702000,4708000
52,Other Current Liabilities,2605000,2340000,2755000,4108000,24546000,22491000,21051000
53,Total Current Liabilities,4960000,13050000,14046000,9379000,48173000,32515000,31215000
54,Long-Term Debt,19713000,13001000,5271000,19418000,61229000,79601000,77325000
55,Deferred Revenue,- -,- -,- -,- -,1681000,1778000,1355000
56,Deferred Tax Liabilities,- -,- -,- -,- -,1017000,811000,46000
57,Other Non-Current Liabilities,124009000,136991000,459000,594000,2349000,2059000,2330000
58,Total Non-Current Liabilities,143722000,149992000,5730000,20012000,66276000,84249000,81056000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,148682000,163042000,19776000,29391000,114449000,116764000,112271000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,3000,4000,24000,26000,27000
64,Retained Earnings,-124799000,-146645000,-164487000,-193213000,-75686000,-157392000,-180405000
65,Other Comprehensive Income/Loss,14000,14000,-79000,-50000,-8711000,- -,- -
66,Other Total Stockholders Equity,5409000,6283000,177757000,194841000,158551000,201598000,- -
67,Total Stockholders Equity,-122205000,-143544000,13194000,1582000,74178000,44232000,40943000
68,Total Liabilities And Stockholders Equity,26477000,19498000,32970000,30973000,188627000,160996000,153214000
69,Minority Interest,- -,- -,- -,- -,2500000,-471000,653000
70,Total Liabilities & Equity,26477000,19498000,32970000,30973000,191127000,160525000,153867000
