,https://roic.ai/company/DMRC,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,11071000,13025000,19782000,19071000,31150000,36039000,44375000,34964000,25658000,22189000,21793000,25213000,21192000,22987000,23990000,26520000
2,COGS,3769000,4032000,6026000,6301000,6700000,6937000,6508000,8205000,8431000,8947000,8497000,8558000,8426000,8036000,7934000,8777000
3,Gross Profit,7302000,8993000,13756000,12770000,24450000,29102000,37867000,26759000,17227000,13242000,13296000,16655000,12766000,14951000,16056000,17743000
4,Gross Profit Ratio,0.6596,0.6904,0.6954,0.6696,0.7849,0.8075,0.8533,0.7653,0.6714,0.5968,0.6101,0.6606,0.6024,0.6504,0.6693,0.6690
5,Research and Development Exp.,2448000,2912000,3843000,4989000,5687000,7327000,9989000,13403000,15504000,13990000,15030000,16904000,17253000,17959000,17314000,17542000
6,General and Administrative Exp.,3433000,- -,6352000,7312000,9067000,9956000,9457000,9624000,8972000,7954000,8298000,9680000,9897000,10848000,12710000,19634000
7,Selling and Marketing Exp.,3740000,- -,3082000,3034000,3545000,4336000,3827000,6144000,7974000,9275000,11888000,16636000,19140000,19875000,18845000,20433000
8,"Selling, General and Administrative Exp.",7173000,7391000,9434000,10346000,12612000,14292000,13284000,15768000,16946000,17229000,20186000,26316000,29037000,30723000,31555000,40067000
9,Other Expenses,1589000,- -,- -,- -,- -,1094000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,11210000,10303000,13277000,15335000,18299000,22713000,23273000,29171000,32450000,31219000,35216000,43220000,46290000,48682000,48869000,57609000
11,COGS and Expenses,14979000,14335000,19303000,21636000,24999000,29650000,29781000,37376000,40881000,40166000,43713000,51778000,54716000,56718000,56803000,66386000
12,Interest Income ,- -,- -,- -,- -,- -,195000,179000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,616000,612000,766000,589000,644000,737000,985000,1989000,2314000,2433000,2457000,2426000,2143000,2207000,2772000,2541000
15,EBITDA,-2050000,689000,2278000,-2145000,4860000,4607000,14651000,-314000,-12854000,-15435000,-19205000,-23551000,-30324000,-30612000,-29764000,-32202000
16,EBITDA ratio,-0.1852,0.0529,0.1152,-0.1125,0.1560,0.1278,0.3302,-0.0090,-0.5010,-0.6956,-0.8812,-0.9341,-1.4309,-1.3317,-1.2407,-1.2143
17,Operating Income,-3908000,-1310000,479000,-2565000,6151000,6389000,14594000,-2412000,-15223000,-17977000,-21920000,-26565000,-33524000,-33731000,-32813000,-39866000
18,Operating Income ratio,-0.3530,-0.1006,0.0242,-0.1345,0.1975,0.1773,0.3289,-0.0690,-0.5933,-0.8102,-1.0058,-1.0536,-1.5819,-1.4674,-1.3678,-1.5032
19,Total Other Income Expenses (Gains),1242000,1387000,1033000,-169000,-1935000,-2519000,-928000,109000,55000,109000,258000,588000,1057000,912000,277000,5123000
20,Income Before Tax,-2666000,77000,1512000,-2734000,4216000,3870000,13666000,-2303000,-15168000,-17868000,-21662000,-25977000,-32467000,-32819000,-32536000,-34743000
21,Income Before Tax Ratio,-0.2408,0.0059,0.0764,-0.1434,0.1353,0.1074,0.3080,-0.0659,-0.5912,-0.8053,-0.9940,-1.0303,-1.5320,-1.4277,-1.3562,-1.3101
22,Income Tax expense (Gain),21000,22000,21000,23000,42000,-1786000,5394000,-1796000,652000,66000,10000,-206000,39000,21000,1000,16000
23,Net Income,-2687000,55000,1491000,-2757000,4174000,5656000,8272000,-507000,-15820000,-17934000,-21672000,-25771000,-32506000,-32840000,-32537000,-34759000
24,Net Income ratio,-0.2427,0.0042,0.0754,-0.1446,0.1340,0.1569,0.1864,-0.0145,-0.6166,-0.8082,-0.9944,-1.0221,-1.5339,-1.4286,-1.3563,-1.3107
25,EPS,-0.38,0.01,0.21,-0.39,0.59,0.84,1.16,-0.10,-2.22,-2.19,-2.36,-2.44,-2.86,-2.79,-3.41,-2.12
26,EPS Diluted,-0.38,0.01,0.21,-0.39,0.55,0.76,1.12,-0.10,-2.22,-2.19,-2.36,-2.44,-2.86,-2.79,-3.41,-2.12
27,Weighted Average Shares Outstanding,7143000,7143000,7147000,7140000,7120000,6741000,6757000,6866000,7187000,8198000,9188000,10571000,11360000,11762000,12906000,16430000
28,Weighted Average Shares Outstanding Diluted,7143000,7143000,7147000,7140000,7623000,7430000,6989000,6866000,7187000,8198000,9188000,10571000,11360000,11762000,12906000,16430000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1438231/000104746909001962/0001047469-09-001962-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000119312510038844/0001193125-10-038844-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000119312511054776/d10k.htm,https://www.sec.gov/Archives/edgar/data/1438231/000119312512078765/0001193125-12-078765-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000119312513071702/0001193125-13-071702-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000119312514062441/d643515d10k.htm,https://www.sec.gov/Archives/edgar/data/1438231/000119312515056195/d843140d10k.htm,https://www.sec.gov/Archives/edgar/data/1438231/000119312516478031/0001193125-16-478031-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000156459017002248/0001564590-17-002248-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000156459018002871/0001564590-18-002871-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000156459019003876/0001564590-19-003876-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000156459020007343/0001564590-20-007343-index.html,https://www.sec.gov/Archives/edgar/data/1438231/000156459021009019/0001564590-21-009019-index.htm,https://www.sec.gov/Archives/edgar/data/1438231/000156459022008846/0001564590-22-008846-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,33073000,29145000,18928000,8884000,6340000,3419000,6866000,3811000,6122000,3160000,11638000,40823000,27278000,11213000,19696000,13789000
32,Short-Term Investments,- -,3568000,21240000,33902000,28441000,22244000,25403000,25851000,32201000,33027000,44496000,26915000,16378000,25604000,58032000,19537000
33,Cash and Short-Term Investments,33073000,32713000,40168000,42786000,34781000,25663000,32269000,29662000,38323000,36187000,56134000,67738000,43656000,36817000,77728000,33326000
34,Net Receivables,2441000,3752000,3839000,3570000,3481000,3502000,4216000,5838000,4545000,4616000,5078000,6404000,3888000,4021000,3907000,8369000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,309000,387000,875000,872000,1345000,1306000,1016000,1658000,2611000,1487000,1695000,2171000,2100000,2456000,2197000,2316000
37,Total Current Assets,35823000,36852000,44882000,47228000,39607000,30471000,37501000,37158000,45479000,42290000,62907000,76313000,49644000,43294000,83832000,44011000
38,PP&E,1472000,1227000,1212000,1114000,1330000,1395000,1453000,2395000,2976000,3010000,3570000,4236000,3955000,3650000,3272000,2875000
39,Goodwill,- -,- -,- -,- -,- -,- -,1114000,1114000,1114000,1114000,1114000,1114000,1114000,1114000,1114000,1114000
40,Intangible Assets,- -,- -,456000,1302000,2174000,2808000,6721000,6709000,6720000,6613000,6422000,6381000,6649000,6670000,6612000,6611000
41,Intangible Assets,- -,- -,456000,1302000,2174000,2808000,7835000,7823000,7834000,7727000,7536000,7495000,7763000,7784000,7726000,7725000
42,Investments,- -,- -,5744000,409000,12192000,8130000,6787000,5302000,749000,2999000,4392000,- -,- -,- -,58032000,8292000
43,Tax Assets,- -,- -,- -,- -,- -,2634000,3589000,3949000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,363000,372000,147000,430000,462000,355000,166000,570000,378000,338000,331000,326000,425000,2660000,-55834000,1973000
45,Total Non-Current Assets,1835000,1599000,7559000,3255000,16158000,15322000,19830000,20039000,11937000,14074000,15829000,12057000,12143000,14094000,13196000,20865000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,37658000,38451000,52441000,50483000,55765000,45793000,57331000,57197000,57416000,56364000,78736000,88370000,61787000,57388000,97028000,64876000
48,Accounts Payable,- -,464000,- -,- -,- -,- -,1143000,1560000,1379000,1657000,1523000,1914000,1092000,- -,2827000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3947000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
