,https://roic.ai/company/RTNTF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,19033000000,22465000000,29700000000,54264000000,41825000000,56576000000,60537000000,50967000000,51171000000,47664000000,34829000000,33781000000,40030000000,40522000000,43165000000,44611000000,63495000000
2,COGS,12436000000,13892000000,20752000000,37641000000,33818000000,36667000000,36260000000,19699000000,20187000000,23074000000,18984000000,16984000000,18145000000,19139000000,18669000000,17573000000,21836000000
3,Gross Profit,6597000000,8573000000,8948000000,16623000000,8007000000,19909000000,24277000000,31268000000,30984000000,24590000000,15845000000,16797000000,21885000000,21383000000,24496000000,27038000000,41659000000
4,Gross Profit Ratio,0.3466,0.3816,0.3013,0.3063,0.1914,0.3519,0.4010,0.6135,0.6055,0.5159,0.4549,0.4972,0.5467,0.5277,0.5675,0.6061,0.6561
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,1437000000,129000000,231000000,112000000,104000000,60000000,58000000,45000000,45000000,45000000,65000000
6,General and Administrative Exp.,- -,- -,321000000,1134000000,514000000,594000000,- -,8464000000,7568000000,6659000000,5446000000,4881000000,4765000000,4728000000,4522000000,4770000000,5513000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,321000000,1134000000,514000000,594000000,- -,8464000000,7568000000,6659000000,5446000000,4881000000,4765000000,4728000000,4522000000,4770000000,5513000000
9,Other Expenses,- -,- -,-2000000,-2231000000,-692000000,-1361000000,-89000000,11211000000,9137000000,4846000000,4224000000,5333000000,4399000000,4253000000,4716000000,4140000000,6264000000
10,Operating Expenses,- -,- -,319000000,-1097000000,-178000000,-767000000,1348000000,19804000000,16936000000,11617000000,9774000000,10274000000,9222000000,9026000000,9283000000,8955000000,11842000000
11,COGS and Expenses,12436000000,13892000000,21071000000,36544000000,33640000000,35900000000,37608000000,39503000000,37123000000,34691000000,28758000000,27258000000,27367000000,28165000000,27952000000,26528000000,33678000000
12,Interest Income ,82000000,106000000,134000000,204000000,120000000,163000000,115000000,116000000,14000000,10000000,8000000,6000000,4000000,7000000,4000000,4000000,2000000
13,Interest Expense (Gain),173000000,160000000,538000000,1618000000,929000000,778000000,497000000,276000000,507000000,649000000,750000000,787000000,598000000,481000000,550000000,648000000,596000000
14,Depreciation and Amortization,1334000000,1469000000,2115000000,3475000000,3427000000,3437000000,3817000000,4441000000,4791000000,4860000000,4645000000,4794000000,4375000000,4015000000,4384000000,4279000000,4697000000
15,EBITDA,8536000000,11440000000,12055000000,12511000000,11304000000,23835000000,16579000000,2156000000,11389000000,15089000000,5522000000,11765000000,17700000000,22376000000,17091000000,19687000000,34645000000
16,EBITDA ratio,0.4485,0.5092,0.4059,0.2306,0.2703,0.4213,0.2739,0.0423,0.2226,0.3166,0.1585,0.3483,0.4422,0.5522,0.3959,0.4413,0.5456
17,Operating Income,6597000000,8573000000,8629000000,9705000000,6612000000,19694000000,13940000000,-1153000000,7430000000,11346000000,3615000000,6795000000,14135000000,17687000000,11466000000,16829000000,29817000000
18,Operating Income ratio,0.3466,0.3816,0.2905,0.1788,0.1581,0.3481,0.2303,-0.0226,0.1452,0.2380,0.1038,0.2011,0.3531,0.4365,0.2656,0.3772,0.4696
19,Total Other Income Expenses (Gains),715000000,1667000000,1207000000,-527000000,1248000000,883000000,-726000000,-1415000000,-3925000000,-1794000000,-4341000000,-452000000,-1319000000,480000000,-347000000,-1438000000,-26000000
20,Income Before Tax,7312000000,10240000000,9836000000,9178000000,7860000000,20577000000,13214000000,-2568000000,3505000000,9552000000,-726000000,6343000000,12816000000,18167000000,11119000000,15391000000,29791000000
21,Income Before Tax Ratio,0.3842,0.4558,0.3312,0.1691,0.1879,0.3637,0.2183,-0.0504,0.0685,0.2004,-0.0208,0.1878,0.3202,0.4483,0.2576,0.3450,0.4692
22,Income Tax expense (Gain),1814000000,2373000000,2090000000,3742000000,2076000000,5296000000,6439000000,429000000,2426000000,3053000000,993000000,1567000000,3965000000,4242000000,4147000000,4991000000,8258000000
23,Net Income,5215000000,7438000000,7312000000,3676000000,4872000000,14324000000,5826000000,-2990000000,3665000000,6527000000,-866000000,4617000000,8762000000,13638000000,8010000000,9769000000,21094000000
24,Net Income ratio,0.2740,0.3311,0.2462,0.0677,0.1165,0.2532,0.0962,-0.0587,0.0716,0.1369,-0.0249,0.1367,0.2189,0.3366,0.1856,0.2190,0.3322
