,https://roic.ai/company/NIO,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,- -,4951171000,7824904000,16257933000,36136423000
2,COGS,- -,- -,5207047000,9023726000,14384514000,29314990000
3,Gross Profit,- -,- -,-255876000,-1198822000,1873419000,6821433000
4,Gross Profit Ratio,- -,- -,-0.0517,-0.1532,0.1152,0.1888
5,Research and Development Exp.,1465353000,2602889000,3997942000,4428580000,2487770000,4591852000
6,General and Administrative Exp.,859370000,1698254000,3933506000,4067911000,2921997000,- -
7,Selling and Marketing Exp.,239549000,523535000,1158519000,818053000,675142000,- -
8,"Selling, General and Administrative Exp.",1098919000,2221789000,5092025000,4885964000,3597139000,6878132000
9,Other Expenses,38268000,128918000,249765000,565823000,396155000,-152248000
10,Operating Expenses,2602540000,4953596000,9339732000,9880367000,6481064000,11317736000
11,COGS and Expenses,2602540000,4953596000,14546779000,18904093000,20865578000,40632726000
12,Interest Income ,27556000,18970000,133384000,160279000,166904000,911833000
13,Interest Expense (Gain),55000,18084000,123643000,370536000,426015000,637410000
14,Depreciation and Amortization,46087000,167858000,474223000,1520973000,1545721000,- -
15,EBITDA,-2525468000,-4830824000,-8977364000,-9387114000,-3321016000,-3306055000
16,EBITDA ratio,-Infinity,-Infinity,-1.8132,-1.1996,-0.2043,-0.0915
17,Operating Income,-2602540000,-4953596000,-9595608000,-11079189000,-4607645000,-4496303000
18,Operating Income ratio,-Infinity,-Infinity,-1.9380,-1.4159,-0.2834,-0.1244
19,Total Other Income Expenses (Gains),33600000,-59672000,-21327000,-208575000,-690069000,521619000
20,Income Before Tax,-2568940000,-5013268000,-9616935000,-11287764000,-5297714000,-3974684000
21,Income Before Tax Ratio,-Infinity,-Infinity,-1.9424,-1.4425,-0.3259,-0.1100
22,Income Tax expense (Gain),4314000,7906000,22044000,7888000,6368000,42265000
23,Net Income,-2536316000,-4984734000,-9597274000,-11286511000,-5299120000,-3985730000
24,Net Income ratio,-Infinity,-Infinity,-1.9384,-1.4424,-0.3259,-0.1103
25,EPS,-2.24,-7.37,-70.23,-11.08,-4.74,-49.90
26,EPS Diluted,-2.24,-7.37,-70.23,-11.08,-4.74,-49.90
27,Weighted Average Shares Outstanding,1572702112,1026010046,332153211,1029931705,1182660948,79867332
28,Weighted Average Shares Outstanding Diluted,1572702112,1026010046,332153211,1029931705,1182660948,79867332
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1736541/000114420419017601/0001144204-19-017601-index.htm,https://www.sec.gov/Archives/edgar/data/1736541/000110465920061585/0001104659-20-061585-index.htm,https://www.sec.gov/Archives/edgar/data/1736541/000110465921046834/0001104659-21-046834-index.htm,- -
