,https://roic.ai/company/SEII,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24418385,42285485,53457566,79548609,55579262,57199221,72112662,75958676,49565576,17364332,13522056,9508042,29655,51925,237756
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17366000,31740041,40536636,58628150,42275919,44062636,54446324,58217667,42215959,14817880,13677889,13924107,24812,853,179672
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7052385,10545444,12920930,20920459,13303343,13136585,17666338,17741009,7349617,2546452,-155833,-4416065,4843,51072,58084
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2888,0.2494,0.2417,0.2630,0.2394,0.2297,0.2450,0.2336,0.1483,0.1466,-0.0115,-0.4645,0.1633,0.9836,0.2443
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116061,98780,304054,420023,498803,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16211430,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,950,1100,1979,1107293,2176282,1880455,5091592,4007997,3050911,3126992,4193643,2782651,1999067,3619382,16211430,5811832,2684310,3997677
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,282797,305832,326972,319239,1112769,1535715,573090,721449,2890621,1555809,1100944,1132052,299874,337683,261063
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,950,1100,1979,1390090,2482114,2207427,5410831,5120766,4586626,3700082,5031153,5772052,3858930,5140349,17842285,6111706,3021993,4258740
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,950,1100,1979,18756090,34222155,42744063,64038981,47396685,48649262,58146406,63248820,47988011,18676810,18818238,31766392,6136518,3022846,4438412
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2942,13569,2727,3794,3652,11384,22287,18127,40034,24342,12574,16108,117,20,17
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2324859,311127,147428,193709,305659,300381,238226,235366,124937,137823,374387,322201,965163,377915
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,989847,733858,1895312,3279866,5442675,6612931,6799877,8565997,8223881,5742285,4275122,5129441,299874,337683,233710
15,EBITDA,- -,- -,- -,- -,- -,- -,- -,- -,- -,-950,-1100,-1979,12952018,8775928,12734385,18827502,13737398,12818772,18285630,17631670,-2966255,-5811932,-8085537,-35613460,-26465022,-5416601,-3285888
16,EBITDA ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,0.5304,0.2075,0.2382,0.2367,0.2472,0.2241,0.2536,0.2321,-0.0598,-0.3347,-0.5980,-3.7456,-892.4303,-104.3159,-13.8204
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,-950,-1100,-1979,5662295,8063330,10713503,15509628,8182577,6343706,11393000,8909909,-11245871,-1312478,-12232131,-32797949,-7039746,-3176127,-4075022
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,0.2319,0.1907,0.2004,0.1950,0.1472,0.1109,0.1580,0.1173,-0.2269,-0.0756,-0.9046,-3.4495,-237.3882,-61.1676,-17.1395
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6299876,-2346119,-185557,-109420,-81563,-443524,-207628,-82462,-179631,-80744,-187975,-9304369,4483203,-3612518,177509
