,https://roic.ai/company/DOYU,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,786841976,1885717001,3654383126,7283230253,9601873937,9165331000
2,COGS,1155081738,1890368777,3503356228,6087073336,8041528585,8075421000
3,Gross Profit,-368239762,-4651776,151026898,1196156917,1560345352,1089910000
4,Gross Profit Ratio,-0.4680,-0.0025,0.0413,0.1642,0.1625,0.1189
5,Research and Development Exp.,93454164,212114009,329334413,383886857,416272985,490019000
6,General and Administrative Exp.,95011126,100641525,196824280,446142859,375935570,375976000
7,Selling and Marketing Exp.,223479681,310282787,538898272,598695105,580373601,952902000
8,"Selling, General and Administrative Exp.",318490807,410924312,735722552,1044837964,956309171,1328878000
9,Other Expenses,-2622899,-9302582,-27430993,-100898056,-74298644,-80325000
10,Operating Expenses,409322072,613735739,1037625972,1327826765,1298283512,1738572000
11,COGS and Expenses,1564403810,2504104516,4540982200,7414900101,9339812097,9813993000
12,Interest Income ,3889188,6878388,85840246,159096901,145235383,77393000
13,Interest Expense (Gain),8904370,- -,- -,- -,- -,- -
14,Depreciation and Amortization,7063681,26042713,45545358,90121814,- -,- -
15,EBITDA,-766923707,-586855231,-830734470,129875046,485498597,-504913000
16,EBITDA ratio,-0.9747,-0.3112,-0.2273,0.0178,0.0506,-0.0551
17,Operating Income,-776388308,-618387515,-859119990,-131669848,262061840,-648662000
18,Operating Income ratio,-0.9867,-0.3279,-0.2351,-0.0181,0.0273,-0.0708
19,Total Other Income Expenses (Gains),-4249471,6618578,-9949153,168259556,141367399,43541000
20,Income Before Tax,-780637779,-611768937,-869069143,36589708,403429239,-605121000
21,Income Before Tax Ratio,-0.9921,-0.3244,-0.2378,0.0050,0.0420,-0.0660
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,-782891758,-612897944,-876279828,39753232,485498597,-504913000
24,Net Income ratio,-0.9950,-0.3250,-0.2398,0.0055,0.0506,-0.0551
25,EPS,-3.81,-2.19,-3.13,0.13,1.52,-1.55
26,EPS Diluted,-3.81,-2.19,-3.13,0.13,1.47,-1.55
27,Weighted Average Shares Outstanding,280212650,279698950,280212650,192546610,319635260,325448780
28,Weighted Average Shares Outstanding Diluted,280212650,293486430,280212650,314429310,330126820,325448780
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
