,https://roic.ai/company/FDBL,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,167080,151190,28880,8690,6190,242700,660
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,660
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,330000,160000,30000,259980,249220,493920,235450,80550,299120,- -
6,General and Administrative Exp.,20000,40000,10000,10000,590000,3120000,1160000,1989600,1492750,2907200,1726720,958610,838125,834090
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48375,108776
8,"Selling, General and Administrative Exp.",20000,40000,10000,10000,590000,3120000,1160000,1989600,1492750,2907200,1726720,958610,886500,942866
9,Other Expenses,4395,-470,-515,-1682,2184,125372,889007,-259984,45357,8630,-554874,-208182,75134,1233894
10,Operating Expenses,24395,39530,9485,8318,922184,3405372,2079007,1989596,1787327,3409750,1407296,830978,1260754,2176760
11,COGS and Expenses,20000,40000,10000,10000,950000,3410000,2720000,3848750,3228210,5484190,5471880,3128190,9704690,2176760
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,2385,614911,1240935,1416715,2073893,3507102,2052216,621149,450275
14,Depreciation and Amortization,- -,1167,2333,2333,- -,- -,- -,- -,- -,- -,- -,- -,- -,52218
15,EBITDA,-20000,-28833,-7667,-7667,-950000,-3410000,-2829469,-2440735,-1660305,-4039347,-2131078,-1069784,-9562261,-3622870
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-14.6082,-10.9816,-139.8666,-245.2334,-172.8246,-39.3995,-5489.1970
17,Operating Income,-24395,-34675,-9485,-8318,-972308,-3407757,-2718918,-3464276,-3082112,-5455308,-5463182,-3087004,-1042126,-1774855
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-20.7342,-20.3857,-188.8957,-628.6746,-498.7082,-4.2939,-2689.1742
19,Total Other Income Expenses (Gains),4395,4675,-515,-1682,22308,-2243,-151082,-217394,5092,-657932,-174998,-34996,-9141284,-2350508
20,Income Before Tax,-20000,-30000,-10000,-10000,-950000,-3410000,-2870000,-3681670,-3077020,-6113240,-5638180,-3122000,-10183410,-4125363
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-22.0354,-20.3520,-211.6773,-648.8124,-504.3619,-41.9588,-6250.5500
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-20000,-30000,-10000,-10000,-950000,-3410000,-2870000,-3681670,-3077020,-6113240,-5638180,-3122000,-10183410,-4125363
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-22.0354,-20.3520,-211.6773,-648.8124,-504.3619,-41.9588,-6250.5500
25,EPS,-0.29,-6935.00,-1897.00,-1897.00,-954677.00,-3407757.00,-573924.40,-7483.06,-535.71,-178.57,-41.34,-10.15,-2.56,-0.05
26,EPS Diluted,-0.29,-6935.00,-1897.00,-1897.00,-954677.00,-3407757.00,-573924.40,-50714.29,-535.71,-178.57,-41.34,-10.15,-2.56,-0.05
27,Weighted Average Shares Outstanding,84584,5,5,5,1,1,5,492,5408,31981,136401,307725,3981702,83486003
28,Weighted Average Shares Outstanding Diluted,84584,5,5,5,1,1,5,492,5408,31981,136401,307725,3981702,83486003
