,https://roic.ai/company/LEAT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,17977995,16839916,15845560,18649889,18525657,16519831,20139785,24392312,28317817,38604289,72475813
2,COGS,7469581,7668054,7158943,8636546,8741131,8178017,10674447,12820453,15311013,21215669,41029710
3,Gross Profit,10508414,9171862,8686617,10013343,9784526,8341814,9465338,11571859,13006804,17388620,31446103
4,Gross Profit Ratio,0.5845,0.5447,0.5482,0.5369,0.5282,0.5050,0.4700,0.4744,0.4593,0.4504,0.4339
5,Research and Development Exp.,1224965,1107042,1170039,1222209,1180227,1443451,1358512,1412866,1491155,1522758,1826846
6,General and Administrative Exp.,5622195,5794110,5716891,5745851,5111535,5003174,5224550,5571453,6228952,6460181,3523288
7,Selling and Marketing Exp.,2077828,2041639,2037932,2024051,2069244,2154704,2214037,2326902,2347419,2753954,2170788
8,"Selling, General and Administrative Exp.",7700023,7835749,7754823,7769902,7180779,7157878,7438587,7898355,8576371,9214135,5694076
9,Other Expenses,398389,420770,334049,304690,495302,472201,378514,651919,713757,743468,- -
10,Operating Expenses,9323377,9363561,9258911,9296801,8856308,9073530,9175613,9963140,10781283,11480361,7520922
11,COGS and Expenses,16792958,17031615,16417854,17933347,17597439,17251547,19850060,22783593,26092296,32696030,48550632
12,Interest Income ,23142,60817,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,4724,- -
14,Depreciation and Amortization,398389,420770,334049,304690,371089,409534,476552,695605,760217,832216,- -
15,EBITDA,1280061,547111,-213007,956801,1331611,-224661,692607,2221689,2702674,6879345,29190022
16,EBITDA ratio,0.0712,0.0325,-0.0134,0.0513,0.0719,-0.0136,0.0344,0.0911,0.0954,0.1782,0.4028
17,Operating Income,858530,65524,-567076,641257,928218,-731716,225512,1486964,1980757,5836397,16615748
18,Operating Income ratio,0.0478,0.0039,-0.0358,0.0344,0.0501,-0.0443,0.0112,0.0610,0.0699,0.1512,0.2293
19,Total Other Income Expenses (Gains),23142,60817,20020,10854,32304,97521,-9457,39120,-38300,206008,12574274
20,Income Before Tax,881672,126341,-547056,652111,960522,-634195,216055,1526084,1942457,6042405,29190022
21,Income Before Tax Ratio,0.0490,0.0075,-0.0345,0.0350,0.0518,-0.0384,0.0107,0.0626,0.0686,0.1565,0.4028
22,Income Tax expense (Gain),117173,47698,-171880,233760,385590,-178958,-21237,329240,566729,1618533,16615585
23,Net Income,764499,78643,-375176,418351,574932,-455237,237292,1196844,1375728,4423872,12574437
24,Net Income ratio,0.0425,0.0047,-0.0237,0.0224,0.0310,-0.0276,0.0118,0.0491,0.0486,0.1146,0.1735
25,EPS,0.15,0.01,-0.07,0.08,0.11,-0.09,0.04,0.22,0.26,0.82,2.30
26,EPS Diluted,0.15,0.01,-0.07,0.08,0.10,-0.09,0.04,0.22,0.25,0.74,2.03
27,Weighted Average Shares Outstanding,5208398,5200623,5200623,5200623,5216483,5310966,5365137,5366712,5385249,5390420,5461933
28,Weighted Average Shares Outstanding Diluted,5208398,5200623,5200623,5200623,5537476,5448942,5544925,5532339,5546098,5990798,6190748
