,https://roic.ai/company/ERYP,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,1802262,- -,- -,- -,- -,- -,- -,- -
2,COGS,3460571,5327988,6612873,10776000,19719000,25462000,33468000,52193000,57580000
3,Gross Profit,- -,-3525726,- -,- -,- -,-25463000,-33468000,-52193000,-57580000
4,Gross Profit Ratio,- -,-1.9563,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity
5,Research and Development Exp.,- -,2502790,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,3296250,3548519,4361181,7616000,6660000,8524000,14600000,16413000,14284000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3296250,3548519,4361181,7616000,6660000,8524000,14600000,16413000,14284000
9,Other Expenses,-5682740,-4294147,-2025688,-2808000,-3989000,-3099000,-4447000,-4532000,-3032000
10,Operating Expenses,-2386490,1757162,2335493,4808000,2671000,5425000,10153000,11881000,11252000
11,COGS and Expenses,1074081,7085150,8948366,15584000,22390000,30887000,43621000,64074000,68832000
12,Interest Income ,- -,- -,- -,- -,545000,405000,163000,7000,12000
13,Interest Expense (Gain),9382,4656,6801,5000,4000,15000,9000,491000,2162000
14,Depreciation and Amortization,292088,180297,276522,288000,425000,532000,797000,4216000,4991000
15,EBITDA,-1865207,-7999786,-8737806,-15247000,-21473000,-32986000,-37416000,-57953000,-66796000
16,EBITDA ratio,-Infinity,-4.4387,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-1074080,-7085150,-8948367,-15583000,-22390000,-30889000,-43621000,-64074000,-68832000
18,Operating Income ratio,-Infinity,-3.9313,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-1090318,-1099589,68173,567000,488000,-2644000,5399000,1414000,-4465000
20,Income Before Tax,-2164398,-8184739,-8880194,-15016000,-21902000,-33533000,-38222000,-62660000,-73297000
21,Income Before Tax Ratio,-Infinity,-4.5414,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),7637,-40018,-20158,-3000,10000,-3000,2000,-1000,3000
23,Net Income,-2172035,-8144721,-8860036,-15013000,-21913000,-33530000,-38224000,-62659000,-73300000
